timestamp,yes,no
2025-05-13 00:00:06,0.335,0.665
2025-05-14 00:00:07,0.225,0.775
2025-05-15 00:00:07,0.19,0.81
2025-05-16 00:00:06,0.21,0.79
2025-05-17 00:00:07,0.22,0.78
2025-05-18 00:00:06,0.185,0.815
2025-05-19 00:00:06,0.18,0.82
2025-05-20 00:00:06,0.185,0.815
2025-05-21 00:00:06,0.255,0.745
2025-05-22 00:00:07,0.24,0.76
2025-05-23 00:00:07,0.21,0.79
2025-05-24 00:00:07,0.215,0.785
2025-05-25 00:00:06,0.205,0.795
2025-05-26 00:00:07,0.205,0.795
2025-05-27 00:00:06,0.195,0.805
2025-05-28 00:00:06,0.18,0.82
2025-05-29 00:00:07,0.175,0.825
2025-05-30 00:00:07,0.13,0.87
2025-05-31 00:00:07,0.135,0.865
2025-06-01 00:00:07,0.135,0.865
2025-06-02 00:00:06,0.125,0.875
2025-06-03 00:00:07,0.13,0.87
2025-06-04 00:00:06,0.125,0.875
2025-06-05 00:00:06,0.11,0.89
2025-06-06 00:00:06,0.065,0.935
2025-06-07 00:00:07,0.06,0.94
2025-06-08 00:00:07,0.06,0.94
2025-06-09 00:00:07,0.055,0.945
2025-06-10 00:00:06,0.032,0.968
2025-06-11 00:00:07,0.03,0.97
2025-06-12 00:00:07,0.041,0.959
2025-06-13 00:00:07,0.045,0.955
2025-06-14 00:00:08,0.04,0.96
2025-06-15 00:00:08,0.0385,0.9615
2025-06-16 00:00:07,0.0395,0.9605
2025-06-17 00:00:08,0.0455,0.9545
2025-06-18 00:00:08,0.062,0.938
2025-06-19 00:00:07,0.0565,0.9435
2025-06-20 00:00:08,0.0435,0.9565
2025-06-21 00:00:08,0.0325,0.9675
2025-06-22 00:00:06,0.01,0.99
2025-06-23 00:00:07,0.008,0.992
2025-06-24 00:00:07,0.009,0.991
2025-06-25 00:00:07,0.01,0.99
2025-06-26 00:00:08,0.0095,0.9905
2025-06-27 00:00:07,0.0095,0.9905
2025-06-28 00:00:07,0.0095,0.9905
2025-06-29 00:00:08,0.0085,0.9915
2025-06-30 00:00:07,0.0095,0.9905
2025-07-01 00:00:08,0.0045,0.9955
