timestamp,yes,no
2025-09-01 00:00:12,0.865,
2025-09-02 00:00:03,0.87,0.13
2025-09-03 00:00:14,0.885,
2025-09-04 00:00:13,0.77,
2025-09-05 00:00:10,0.85,
2025-09-06 00:00:20,0.87,
2025-09-07 00:00:14,0.87,
2025-09-08 00:00:08,0.87,
2025-09-09 00:00:08,0.82,
2025-09-10 00:00:03,0.81,
2025-09-11 00:00:05,0.79,
2025-09-12 00:00:14,0.74,
2025-09-13 00:00:05,0.6,
2025-09-14 00:00:18,0.745,
2025-09-15 00:00:10,0.64,
2025-09-16 00:00:25,0.605,
2025-09-17 00:00:10,0.53,
2025-09-18 00:00:02,0.36,
2025-09-19 00:00:19,0.26,
2025-09-20 00:00:21,0.41,
2025-09-21 00:00:07,0.415,
2025-09-22 00:00:08,0.445,
2025-09-23 00:00:08,0.6,
2025-09-24 00:00:12,0.485,
2025-09-25 00:00:07,0.345,0.655
2025-09-26 00:00:05,0.325,
2025-09-27 00:00:08,0.105,0.895
2025-09-28 00:00:13,0.2,
2025-09-29 00:00:09,0.12,
2025-09-30 00:00:07,0.07,
2025-10-01 00:00:09,0.06,
