timestamp,yes,no
2023-10-20 00:00:02,0.505,0.495
2023-10-21 00:00:02,0.155,0.845
2023-10-22 00:00:02,0.125,0.875
2023-10-23 00:00:02,0.125,0.875
2023-10-24 00:00:02,0.125,0.875
2023-10-25 00:00:02,0.125,0.875
2023-10-26 00:00:02,0.125,0.875
2023-10-27 00:00:02,0.125,0.875
2023-10-28 00:00:02,0.125,0.875
2023-10-29 00:00:03,0.125,0.875
2023-10-30 00:00:03,0.14,0.86
2023-10-31 00:00:02,0.14,0.86
2023-11-01 00:00:02,0.14,0.86
2023-11-02 00:00:02,0.08,0.92
2023-11-03 00:00:02,0.08,0.92
2023-11-04 00:00:02,0.08,0.92
2023-11-05 00:00:02,0.075,0.925
2023-11-06 00:00:06,0.075,0.925
2023-11-07 00:00:02,0.07,0.93
2023-11-08 00:00:02,0.07,0.93
2023-11-09 00:00:03,0.07,0.93
2023-11-10 00:00:02,0.065,0.935
2023-11-11 00:00:02,0.065,0.935
2023-11-12 00:00:02,0.07,0.93
2023-11-13 00:00:02,0.07,0.93
2023-11-14 00:00:02,0.07,0.93
2023-11-15 00:00:02,0.065,0.935
2023-11-16 00:00:02,0.065,0.935
2023-11-17 00:00:03,0.065,0.935
2023-11-18 00:00:02,0.065,0.935
2023-11-19 00:00:03,0.065,0.935
2023-11-20 00:00:02,0.06,0.94
2023-11-21 00:00:02,0.06,0.94
2023-11-22 00:00:02,0.06,0.94
2023-11-23 00:00:02,0.04,0.96
2023-11-24 00:00:02,0.04,0.96
2023-11-25 00:00:02,0.035,0.965
2023-11-26 00:00:02,0.0375,0.9625
2023-11-27 00:00:02,0.0375,0.9625
2023-11-28 00:00:02,0.0375,0.9625
2023-11-29 00:00:02,0.0375,0.9625
2023-11-30 00:00:02,0.042,0.958
2023-12-01 00:00:02,0.045,0.955
2023-12-02 00:00:03,0.0445,0.9555
2023-12-03 00:00:02,0.036,0.964
2023-12-04 00:00:02,0.025,0.975
2023-12-05 00:00:02,0.0105,0.9895
2023-12-06 00:00:03,0.0095,0.9905
