timestamp,yes,no
2024-05-23 00:00:03,0.925,0.075
2024-05-24 00:00:03,0.94,0.06
2024-05-25 00:00:03,0.945,0.055
2024-05-26 00:00:03,0.935,0.065
2024-05-27 00:00:03,0.935,0.065
2024-05-28 00:00:03,0.925,0.075
2024-05-29 00:00:04,0.925,0.075
2024-05-30 00:00:03,0.925,0.075
2024-05-31 00:00:03,0.93,0.07
2024-06-01 00:00:03,0.935,0.065
2024-06-02 00:00:03,0.94,0.06
2024-06-03 00:00:03,0.945,0.055
2024-06-04 00:00:02,0.945,0.055
2024-06-05 00:00:02,0.95,0.05
2024-06-06 00:00:03,0.95,0.05
2024-06-07 00:00:02,0.955,0.045
2024-06-08 00:00:02,0.955,0.045
2024-06-09 00:00:03,0.955,0.045
2024-06-10 00:00:04,0.955,0.045
2024-06-11 00:00:02,0.955,0.045
2024-06-12 00:00:03,0.955,0.045
2024-06-13 00:00:03,0.955,0.045
2024-06-14 00:00:03,0.955,0.045
2024-06-15 00:00:04,0.955,0.045
2024-06-16 00:00:04,0.955,0.045
2024-06-17 00:00:04,0.955,0.045
2024-06-18 00:00:03,0.955,0.045
2024-06-19 00:00:03,0.955,0.045
2024-06-20 00:00:04,0.955,0.045
2024-06-21 00:00:03,0.955,0.045
2024-06-22 00:00:02,0.955,0.045
2024-06-23 00:00:03,0.955,0.045
2024-06-24 00:00:03,0.955,0.045
2024-06-25 00:00:03,0.955,0.045
2024-06-26 00:00:03,0.9755,0.0245
2024-06-27 00:00:02,0.976,0.024
2024-06-28 00:00:03,0.977,0.023
2024-06-29 00:00:02,0.978,0.022
2024-06-30 00:00:02,0.991,0.009
2024-07-01 00:00:02,0.9895,0.0105
2024-07-02 00:00:03,0.99,0.01
2024-07-03 00:00:02,0.9895,0.0105
2024-07-04 00:00:03,0.9895,0.0105
2024-07-05 00:00:02,0.9915,0.0085
