timestamp,yes,no
2025-04-16 00:00:05,0.49,0.51
2025-04-17 00:00:06,0.545,0.455
2025-04-18 00:00:04,0.545,0.455
2025-04-19 00:00:06,0.53,0.47
2025-04-20 00:00:06,0.53,0.47
2025-04-21 00:00:06,0.53,0.47
2025-04-22 00:00:06,0.535,0.465
2025-04-23 00:00:07,0.535,0.465
2025-04-24 00:00:06,0.52,0.48
2025-04-25 00:00:06,0.515,0.485
2025-04-26 00:00:06,0.52,0.48
2025-04-27 00:00:05,0.555,0.445
2025-04-28 00:00:05,0.53,0.47
2025-04-29 00:00:05,0.5,0.5
2025-04-30 00:00:06,0.54,0.46
2025-05-01 00:00:06,0.55,0.45
2025-05-02 00:00:06,0.56,0.44
2025-05-03 00:00:06,0.7,0.3
2025-05-04 00:00:05,0.9955,0.0045
