timestamp,yes,no
2023-10-10 00:00:02,0.9,0.1
2023-10-11 00:00:02,0.945,0.055
2023-10-12 00:00:02,0.955,0.045
2023-10-13 00:00:02,0.955,0.045
2023-10-14 00:00:02,0.735,0.265
2023-10-15 00:00:02,0.935,0.065
2023-10-16 00:00:02,0.84,0.16
2023-10-17 00:00:02,0.87,0.13
2023-10-18 00:00:02,0.91,0.09
2023-10-19 00:00:02,0.885,0.115
2023-10-20 00:00:02,0.89,0.11
2023-10-21 00:00:02,0.9,0.1
2023-10-22 00:00:02,0.88,0.12
2023-10-23 00:00:02,0.905,0.095
2023-10-24 00:00:02,0.91,0.09
2023-10-25 00:00:02,0.92,0.08
2023-10-26 00:00:02,0.93,0.07
2023-10-27 00:00:02,0.935,0.065
2023-10-28 00:00:02,0.945,0.055
2023-10-29 00:00:03,0.945,0.055
2023-10-30 00:00:03,0.935,0.065
2023-10-31 00:00:02,0.94,0.06
2023-11-01 00:00:02,0.945,0.055
2023-11-02 00:00:02,0.93,0.07
2023-11-03 00:00:02,0.925,0.075
2023-11-04 00:00:02,0.925,0.075
2023-11-05 00:00:02,0.94,0.06
2023-11-06 00:00:06,0.93,0.07
2023-11-07 00:00:02,0.935,0.065
2023-11-08 00:00:02,0.94,0.06
2023-11-09 00:00:03,0.94,0.06
2023-11-10 00:00:02,0.94,0.06
2023-11-11 00:00:02,0.945,0.055
2023-11-12 00:00:02,0.945,0.055
2023-11-13 00:00:02,0.945,0.055
2023-11-14 00:00:02,0.945,0.055
2023-11-15 00:00:02,0.92,0.08
2023-11-16 00:00:02,0.875,0.125
2023-11-17 00:00:03,0.925,0.075
2023-11-18 00:00:02,0.925,0.075
2023-11-19 00:00:03,0.925,0.075
2023-11-20 00:00:02,0.92,0.08
2023-11-21 00:00:02,0.925,0.075
2023-11-22 00:00:02,0.915,0.085
2023-11-23 00:00:02,0.925,0.075
2023-11-24 00:00:02,0.93,0.07
2023-11-25 00:00:02,0.935,0.065
2023-11-26 00:00:02,0.935,0.065
2023-11-27 00:00:02,0.935,0.065
2023-11-28 00:00:02,0.935,0.065
2023-11-29 00:00:02,0.945,0.055
2023-11-30 00:00:02,0.945,0.055
2023-12-01 00:00:02,0.96,0.04
2023-12-02 00:00:03,0.9495,0.0505
2023-12-03 00:00:02,0.9525,0.0475
2023-12-04 00:00:02,0.953,0.047
2023-12-05 00:00:02,0.9745,0.0255
2023-12-06 00:00:03,0.973,0.027
2023-12-07 00:00:02,0.9725,0.0275
2023-12-08 00:00:02,0.9735,0.0265
2023-12-09 00:00:02,0.9735,0.0265
2023-12-10 00:00:02,0.9745,0.0255
2023-12-11 00:00:02,0.9745,0.0255
2023-12-12 00:00:02,0.9745,0.0255
2023-12-13 00:00:02,0.975,0.025
2023-12-14 00:00:02,0.975,0.025
2023-12-15 00:00:02,0.9745,0.0255
2023-12-16 00:00:02,0.9745,0.0255
2023-12-17 00:00:02,0.9835,0.0165
2023-12-18 00:00:02,0.9825,0.0175
2023-12-19 00:00:02,0.982,0.018
2023-12-20 00:00:02,0.978,0.022
2023-12-21 00:00:03,0.982,0.018
2023-12-22 00:00:02,0.96,0.04
2023-12-23 00:00:02,0.96,0.04
2023-12-24 00:00:02,0.96,0.04
2023-12-25 00:00:02,0.96,0.04
2023-12-26 00:00:02,0.96,0.04
2023-12-27 00:00:03,0.96,0.04
2023-12-28 00:00:03,0.96,0.04
2023-12-29 00:00:02,0.96,0.04
2023-12-30 00:00:02,0.96,0.04
2023-12-31 00:00:02,0.96,0.04
2024-01-01 00:00:02,0.96,0.04
