timestamp,yes,no
2024-01-09 00:00:03,0.05,0.95
2024-01-10 00:00:03,0.0385,0.9615
2024-01-11 00:00:03,0.0425,0.9575
2024-01-12 00:00:03,0.042,0.958
2024-01-13 00:00:02,0.5135,0.4865
2024-01-14 00:00:02,0.513,0.487
2024-01-15 00:00:03,0.513,0.487
2024-01-16 00:00:02,0.0635,0.9365
2024-01-17 00:00:03,0.0635,0.9365
2024-01-18 00:00:02,0.0585,0.9415
2024-01-19 00:00:02,0.051,0.949
2024-01-20 00:00:03,0.051,0.949
2024-01-21 00:00:02,0.051,0.949
2024-01-22 00:00:02,0.051,0.949
2024-01-23 00:00:03,0.051,0.949
2024-01-24 00:00:02,0.0635,0.9365
2024-01-25 00:00:02,0.0635,0.9365
2024-01-26 00:00:02,0.0635,0.9365
2024-01-27 00:00:02,0.0905,0.9095
2024-01-28 00:00:02,0.087,0.913
2024-01-29 00:00:02,0.086,0.914
2024-01-30 00:00:02,0.0855,0.9145
2024-01-31 00:00:02,0.085,0.915
2024-02-01 00:00:02,0.0845,0.9155
2024-02-02 00:00:02,0.086,0.914
2024-02-03 00:00:02,0.086,0.914
2024-02-04 00:00:03,0.085,0.915
2024-02-05 00:00:02,0.085,0.915
2024-02-06 00:00:02,0.0795,0.9205
2024-02-07 00:00:02,0.075,0.925
2024-02-08 00:00:02,0.0795,0.9205
2024-02-09 00:00:02,0.0795,0.9205
2024-02-10 00:00:03,0.09,0.91
2024-02-11 00:00:03,0.0835,0.9165
2024-02-12 00:00:03,0.0855,0.9145
2024-02-13 00:00:02,0.0855,0.9145
2024-02-14 00:00:03,0.085,0.915
2024-02-15 00:00:03,0.0835,0.9165
2024-02-16 00:00:03,0.084,0.916
2024-02-17 00:00:02,0.084,0.916
2024-02-18 00:00:02,0.084,0.916
2024-02-19 00:00:02,0.084,0.916
2024-02-20 00:00:02,0.084,0.916
2024-02-21 00:00:03,0.083,0.917
2024-02-22 00:00:02,0.082,0.918
2024-02-23 00:00:02,0.083,0.917
2024-02-24 00:00:02,0.0915,0.9085
2024-02-25 00:00:02,0.093,0.907
2024-02-26 00:00:02,0.0935,0.9065
2024-02-27 00:00:02,0.094,0.906
2024-02-28 00:00:03,0.094,0.906
2024-02-29 00:00:02,0.094,0.906
2024-03-01 00:00:02,0.094,0.906
2024-03-02 00:00:03,0.093,0.907
2024-03-03 00:00:03,0.0925,0.9075
2024-03-04 00:00:03,0.0905,0.9095
2024-03-05 00:00:03,0.0905,0.9095
2024-03-06 00:00:03,0.09,0.91
2024-03-07 00:00:02,0.09,0.91
2024-03-08 00:00:02,0.09,0.91
2024-03-09 00:00:03,0.0915,0.9085
2024-03-10 00:00:02,0.0915,0.9085
2024-03-11 00:00:02,0.091,0.909
2024-03-12 00:00:02,0.091,0.909
2024-03-13 00:00:03,0.06,0.94
2024-03-14 00:00:03,0.06,0.94
2024-03-15 00:00:03,0.06,0.94
2024-03-16 00:00:02,0.06,0.94
2024-03-17 00:00:03,0.06,0.94
2024-03-18 00:00:03,0.06,0.94
2024-03-19 00:00:02,0.0595,0.9405
2024-03-20 00:00:03,0.06,0.94
2024-03-21 00:00:03,0.06,0.94
2024-03-22 00:00:02,0.06,0.94
2024-03-23 00:00:03,0.0735,0.9265
2024-03-24 00:00:03,0.077,0.923
2024-03-25 00:00:03,0.0775,0.9225
2024-03-26 00:00:02,0.0775,0.9225
2024-03-27 00:00:03,0.0775,0.9225
2024-03-28 00:00:03,0.0775,0.9225
2024-03-29 00:00:02,0.077,0.923
2024-03-30 00:00:02,0.0775,0.9225
2024-03-31 00:00:03,0.0775,0.9225
2024-04-01 00:00:02,0.0775,0.9225
2024-04-02 00:00:03,0.091,0.909
2024-04-03 00:00:03,0.0915,0.9085
2024-04-04 00:00:03,0.0915,0.9085
2024-04-05 00:00:03,0.0945,0.9055
2024-04-06 00:00:03,0.0955,0.9045
2024-04-07 00:00:02,0.0825,0.9175
2024-04-08 00:00:03,0.0825,0.9175
2024-04-09 00:00:03,0.0825,0.9175
2024-04-10 00:00:03,0.092,0.908
2024-04-11 00:00:03,0.093,0.907
2024-04-12 00:00:03,0.093,0.907
2024-04-13 00:00:02,0.093,0.907
2024-04-14 00:00:03,0.093,0.907
2024-04-15 00:00:03,0.093,0.907
2024-04-16 00:00:03,0.092,0.908
2024-04-17 00:00:03,0.092,0.908
2024-04-18 00:00:03,0.092,0.908
2024-04-19 00:00:03,0.092,0.908
2024-04-20 00:00:02,0.092,0.908
2024-04-21 00:00:03,0.0895,0.9105
2024-04-22 00:00:03,0.089,0.911
2024-04-23 00:00:02,0.089,0.911
2024-04-24 00:00:03,0.088,0.912
2024-04-25 00:00:03,0.0875,0.9125
2024-04-26 00:00:02,0.088,0.912
2024-04-27 00:00:03,0.088,0.912
2024-04-28 00:00:03,0.0875,0.9125
2024-04-29 00:00:03,0.087,0.913
2024-04-30 00:00:04,0.088,0.912
2024-05-01 00:00:03,0.0875,0.9125
2024-05-02 00:00:03,0.0875,0.9125
2024-05-03 00:00:03,0.0795,0.9205
2024-05-04 00:00:03,0.078,0.922
2024-05-05 00:00:03,0.078,0.922
2024-05-06 00:00:02,0.0775,0.9225
2024-05-07 00:00:02,0.077,0.923
2024-05-08 00:00:03,0.0775,0.9225
2024-05-09 00:00:03,0.077,0.923
2024-05-10 00:00:03,0.077,0.923
2024-05-11 00:00:04,0.077,0.923
2024-05-12 00:00:03,0.077,0.923
2024-05-13 00:00:04,0.0765,0.9235
2024-05-14 00:00:03,0.077,0.923
2024-05-15 00:00:04,0.077,0.923
2024-05-16 00:00:04,0.077,0.923
2024-05-17 00:00:03,0.077,0.923
2024-05-18 00:00:03,0.0775,0.9225
2024-05-19 00:00:03,0.0775,0.9225
2024-05-20 00:00:03,0.0775,0.9225
2024-05-21 00:00:03,0.0775,0.9225
2024-05-22 00:00:03,0.0775,0.9225
2024-05-23 00:00:03,0.0775,0.9225
2024-05-24 00:00:03,0.0775,0.9225
2024-05-25 00:00:03,0.0775,0.9225
2024-05-26 00:00:03,0.0775,0.9225
2024-05-27 00:00:03,0.0775,0.9225
2024-05-28 00:00:03,0.0775,0.9225
2024-05-29 00:00:04,0.0775,0.9225
2024-05-30 00:00:03,0.0775,0.9225
2024-05-31 00:00:03,0.0775,0.9225
2024-06-01 00:00:03,0.077,0.923
2024-06-02 00:00:03,0.0775,0.9225
2024-06-03 00:00:03,0.0775,0.9225
2024-06-04 00:00:02,0.077,0.923
2024-06-05 00:00:02,0.077,0.923
2024-06-06 00:00:03,0.0765,0.9235
2024-06-07 00:00:02,0.0765,0.9235
2024-06-08 00:00:02,0.0765,0.9235
2024-06-09 00:00:03,0.0805,0.9195
2024-06-10 00:00:04,0.081,0.919
2024-06-11 00:00:02,0.081,0.919
2024-06-12 00:00:03,0.0815,0.9185
2024-06-13 00:00:03,0.079,0.921
2024-06-14 00:00:03,0.0825,0.9175
2024-06-15 00:00:04,0.0825,0.9175
2024-06-16 00:00:04,0.082,0.918
2024-06-17 00:00:04,0.082,0.918
2024-06-18 00:00:03,0.082,0.918
2024-06-19 00:00:03,0.082,0.918
2024-06-20 00:00:04,0.0835,0.9165
2024-06-21 00:00:03,0.0835,0.9165
2024-06-22 00:00:02,0.084,0.916
2024-06-23 00:00:03,0.084,0.916
2024-06-24 00:00:03,0.084,0.916
2024-06-25 00:00:03,0.084,0.916
2024-06-26 00:00:03,0.0845,0.9155
2024-06-27 00:00:02,0.0825,0.9175
2024-06-28 00:00:03,0.0825,0.9175
2024-06-29 00:00:02,0.08,0.92
2024-06-30 00:00:02,0.085,0.915
2024-07-01 00:00:02,0.085,0.915
2024-07-02 00:00:03,0.0845,0.9155
2024-07-03 00:00:02,0.0815,0.9185
2024-07-04 00:00:03,0.073,0.927
2024-07-05 00:00:02,0.0795,0.9205
2024-07-06 00:00:02,0.075,0.925
2024-07-07 00:00:02,0.073,0.927
2024-07-08 00:00:02,0.071,0.929
2024-07-09 00:00:02,0.071,0.929
2024-07-10 00:00:03,0.071,0.929
2024-07-11 00:00:03,0.071,0.929
2024-07-12 00:00:02,0.071,0.929
2024-07-13 00:00:03,0.0705,0.9295
2024-07-14 00:00:02,0.071,0.929
2024-07-15 00:00:03,0.071,0.929
2024-07-16 00:00:02,0.071,0.929
2024-07-17 00:00:01,0.0675,0.9325
2024-07-18 00:00:02,0.0675,0.9325
2024-07-19 00:00:01,0.067,0.933
2024-07-20 00:00:01,0.0655,0.9345
2024-07-21 00:00:01,0.0655,0.9345
2024-07-22 00:00:01,0.0655,0.9345
2024-07-23 00:00:01,0.067,0.933
2024-07-24 00:00:01,0.067,0.933
2024-07-25 00:00:01,0.067,0.933
2024-07-26 00:00:02,0.068,0.932
2024-07-27 00:00:02,0.067,0.933
2024-07-28 00:00:02,0.0675,0.9325
2024-07-29 00:00:02,0.067,0.933
2024-07-30 00:00:01,0.067,0.933
2024-07-31 00:00:02,0.067,0.933
2024-08-01 00:00:02,0.069,0.931
2024-08-02 00:00:01,0.0665,0.9335
2024-08-03 00:00:02,0.067,0.933
2024-08-04 00:00:01,0.0675,0.9325
2024-08-05 00:00:01,0.068,0.932
2024-08-06 00:00:01,0.0675,0.9325
2024-08-07 00:00:01,0.0675,0.9325
2024-08-08 00:00:01,0.066,0.934
2024-08-09 00:00:02,0.066,0.934
2024-08-10 00:00:02,0.0665,0.9335
2024-08-11 00:00:01,0.0645,0.9355
2024-08-12 00:00:01,0.0625,0.9375
2024-08-13 00:00:02,0.062,0.938
2024-08-14 00:00:02,0.0645,0.9355
2024-08-15 00:00:02,0.0635,0.9365
2024-08-16 00:00:02,0.064,0.936
2024-08-17 00:00:02,0.0585,0.9415
2024-08-18 00:00:02,0.0585,0.9415
2024-08-19 00:00:02,0.0565,0.9435
2024-08-20 00:00:01,0.057,0.943
2024-08-21 00:00:02,0.0575,0.9425
2024-08-22 00:00:02,0.0575,0.9425
2024-08-23 00:00:02,0.0575,0.9425
2024-08-24 00:00:02,0.0575,0.9425
2024-08-25 00:00:01,0.0575,0.9425
2024-08-26 00:00:02,0.0565,0.9435
2024-08-27 00:00:01,0.0635,0.9365
2024-08-28 00:00:01,0.059,0.941
2024-08-29 00:00:02,0.059,0.941
2024-08-30 00:00:02,0.059,0.941
2024-08-31 00:00:02,0.053,0.947
2024-09-01 00:00:02,0.053,0.947
2024-09-02 00:00:02,0.0525,0.9475
2024-09-03 00:00:02,0.043,0.957
2024-09-04 00:00:02,0.043,0.957
2024-09-05 00:00:02,0.042,0.958
2024-09-06 00:00:02,0.042,0.958
2024-09-07 00:00:02,0.0405,0.9595
2024-09-08 00:00:02,0.0405,0.9595
2024-09-09 00:00:01,0.0415,0.9585
2024-09-10 00:00:02,0.041,0.959
2024-09-11 00:00:01,0.041,0.959
2024-09-12 00:00:02,0.041,0.959
2024-09-13 00:00:02,0.041,0.959
2024-09-14 00:00:02,0.041,0.959
2024-09-15 00:00:02,0.041,0.959
2024-09-16 00:00:02,0.0415,0.9585
2024-09-17 00:00:02,0.0405,0.9595
2024-09-18 00:00:02,0.0405,0.9595
2024-09-19 00:00:01,0.0405,0.9595
2024-09-20 00:00:02,0.0405,0.9595
2024-09-21 00:00:02,0.0405,0.9595
2024-09-22 00:00:02,0.0405,0.9595
2024-09-23 00:00:02,0.0405,0.9595
2024-09-24 00:00:02,0.0405,0.9595
2024-09-25 00:00:02,0.0405,0.9595
2024-09-26 00:00:02,0.0405,0.9595
2024-09-27 00:00:02,0.0405,0.9595
2024-09-28 00:00:02,0.0405,0.9595
2024-09-29 00:00:03,0.0405,0.9595
2024-09-30 00:00:03,0.027,0.973
2024-10-01 00:00:02,0.027,0.973
