timestamp,yes,no
2023-10-20 00:00:02,0.535,0.465
2023-10-21 00:00:02,0.165,0.835
2023-10-22 00:00:02,0.17,0.83
2023-10-23 00:00:02,0.18,0.82
2023-10-24 00:00:02,0.185,0.815
2023-10-25 00:00:02,0.28,0.72
2023-10-26 00:00:02,0.28,0.72
2023-10-27 00:00:02,0.28,0.72
2023-10-28 00:00:02,0.225,0.775
2023-10-29 00:00:03,0.275,0.725
2023-10-30 00:00:03,0.275,0.725
2023-10-31 00:00:02,0.275,0.725
2023-11-01 00:00:02,0.275,0.725
2023-11-02 00:00:02,0.275,0.725
2023-11-03 00:00:02,0.275,0.725
2023-11-04 00:00:02,0.275,0.725
2023-11-05 00:00:02,0.18,0.82
2023-11-06 00:00:06,0.18,0.82
2023-11-07 00:00:02,0.2,0.8
2023-11-08 00:00:02,0.2,0.8
2023-11-09 00:00:03,0.2,0.8
2023-11-10 00:00:02,0.265,0.735
2023-11-11 00:00:02,0.265,0.735
2023-11-12 00:00:02,0.27,0.73
2023-11-13 00:00:02,0.26,0.74
2023-11-14 00:00:02,0.26,0.74
2023-11-15 00:00:02,0.24,0.76
2023-11-16 00:00:02,0.24,0.76
2023-11-17 00:00:03,0.235,0.765
2023-11-18 00:00:02,0.13,0.87
2023-11-19 00:00:03,0.185,0.815
2023-11-20 00:00:02,0.19,0.81
2023-11-21 00:00:02,0.245,0.755
2023-11-22 00:00:02,0.245,0.755
2023-11-23 00:00:02,0.305,0.695
2023-11-24 00:00:02,0.375,0.625
2023-11-25 00:00:02,0.39,0.61
2023-11-26 00:00:02,0.315,0.685
2023-11-27 00:00:02,0.32,0.68
2023-11-28 00:00:02,0.33,0.67
2023-11-29 00:00:02,0.265,0.735
2023-11-30 00:00:02,0.215,0.785
2023-12-01 00:00:02,0.265,0.735
2023-12-02 00:00:03,0.195,0.805
2023-12-03 00:00:02,0.22,0.78
2023-12-04 00:00:02,0.195,0.805
2023-12-05 00:00:02,0.42,0.58
2023-12-06 00:00:03,0.57,0.43
