timestamp,yes,no
2025-04-22 00:00:06,0.0495,0.9505
2025-04-23 00:00:07,0.045,0.955
2025-04-24 00:00:06,0.043,0.957
2025-04-25 00:00:06,0.043,0.957
2025-04-26 00:00:06,0.0515,0.9485
2025-04-27 00:00:05,0.0325,0.9675
2025-04-28 00:00:05,0.035,0.965
2025-04-29 00:00:05,0.035,0.965
2025-04-30 00:00:06,0.037,0.963
2025-05-01 00:00:06,0.0375,0.9625
2025-05-02 00:00:06,0.0395,0.9605
2025-05-03 00:00:06,0.0395,0.9605
2025-05-04 00:00:05,0.042,0.958
2025-05-05 00:00:05,0.0295,0.9705
2025-05-06 00:00:06,0.0405,0.9595
2025-05-07 00:00:05,0.0515,0.9485
2025-05-08 00:00:06,0.0355,0.9645
