timestamp,yes,no
2025-05-20 00:00:06,0.315,0.685
2025-05-21 00:00:06,0.21,0.79
2025-05-22 00:00:07,0.3,0.7
2025-05-23 00:00:07,0.39,0.61
2025-05-24 00:00:07,0.17,0.83
2025-05-25 00:00:06,0.16,0.84
2025-05-26 00:00:07,0.13,0.87
2025-05-27 00:00:06,0.085,0.915
2025-05-28 00:00:06,0.06,0.94
2025-05-29 00:00:07,0.07,0.93
2025-05-30 00:00:07,0.07,0.93
2025-05-31 00:00:07,0.045,0.955
2025-06-01 00:00:07,0.055,0.945
2025-06-02 00:00:06,0.05,0.95
2025-06-03 00:00:07,0.055,0.945
2025-06-04 00:00:06,0.055,0.945
2025-06-05 00:00:06,0.075,0.925
2025-06-06 00:00:06,0.045,0.955
2025-06-07 00:00:07,0.045,0.955
2025-06-08 00:00:07,0.045,0.955
2025-06-09 00:00:07,0.045,0.955
2025-06-10 00:00:06,0.045,0.955
2025-06-11 00:00:07,0.045,0.955
2025-06-12 00:00:07,0.045,0.955
2025-06-13 00:00:07,0.045,0.955
2025-06-14 00:00:08,0.05,0.95
2025-06-15 00:00:08,0.0325,0.9675
2025-06-16 00:00:07,0.0325,0.9675
2025-06-17 00:00:08,0.034,0.966
2025-06-18 00:00:08,0.036,0.964
2025-06-19 00:00:07,0.049,0.951
2025-06-20 00:00:08,0.039,0.961
2025-06-21 00:00:08,0.036,0.964
2025-06-22 00:00:06,0.038,0.962
2025-06-23 00:00:07,0.034,0.966
2025-06-24 00:00:07,0.034,0.966
2025-06-25 00:00:07,0.0345,0.9655
2025-06-26 00:00:08,0.0345,0.9655
2025-06-27 00:00:07,0.035,0.965
2025-06-28 00:00:07,0.0235,0.9765
2025-06-29 00:00:08,0.0205,0.9795
2025-06-30 00:00:07,0.023,0.977
2025-07-01 00:00:08,0.0265,0.9735
2025-07-02 00:00:07,0.0255,0.9745
2025-07-03 00:00:08,0.021,0.979
2025-07-04 00:00:08,0.026,0.974
2025-07-05 00:00:08,0.025,0.975
2025-07-06 00:00:07,0.0245,0.9755
2025-07-07 00:00:07,0.027,0.973
2025-07-08 00:00:08,0.03,0.97
2025-07-09 00:00:07,0.0275,0.9725
2025-07-10 00:00:08,0.029,0.971
2025-07-11 00:00:08,0.0335,0.9665
2025-07-12 00:00:09,0.0355,0.9645
2025-07-13 00:00:08,0.035,0.965
2025-07-14 00:00:07,0.0355,0.9645
2025-07-15 00:00:08,0.034,0.966
2025-07-16 00:00:08,0.034,0.966
2025-07-17 00:00:08,0.0305,0.9695
2025-07-18 00:00:08,0.032,0.968
2025-07-19 00:00:09,0.0275,0.9725
2025-07-20 00:00:08,0.0255,0.9745
2025-07-21 00:00:07,0.025,0.975
2025-07-22 00:00:09,0.024,0.976
2025-07-23 00:00:09,0.024,0.976
2025-07-24 00:00:09,0.0245,0.9755
2025-07-25 00:00:09,0.024,0.976
2025-07-26 00:00:09,0.0245,0.9755
2025-07-27 00:00:10,0.0245,0.9755
2025-07-28 00:00:09,0.026,0.974
2025-07-29 00:00:10,0.025,0.975
2025-07-30 00:00:10,0.0265,0.9735
2025-07-31 00:00:08,0.0255,0.9745
2025-08-01 00:00:09,0.011,0.989
2025-08-02 00:00:09,0.0095,0.9905
2025-08-03 00:00:08,0.01,0.99
2025-08-04 00:00:07,0.0135,0.9865
2025-08-05 00:00:08,0.0135,0.9865
2025-08-06 00:00:09,0.012,0.988
2025-08-07 00:00:06,0.0135,
2025-08-08 00:00:09,0.013,0.987
2025-08-09 00:00:10,0.0205,
2025-08-10 00:00:07,0.017,
2025-08-11 00:00:10,0.0235,
2025-08-12 00:00:08,0.0165,
2025-08-13 00:00:04,0.0155,
2025-08-14 00:00:03,0.0155,
2025-08-15 00:00:11,0.0175,
2025-08-16 00:00:10,0.0165,
2025-08-17 00:00:08,0.0195,
2025-08-18 00:00:06,0.018,
2025-08-19 00:00:11,0.03,
2025-08-20 00:00:04,0.042,
2025-08-21 00:00:05,0.0045,
2025-08-22 00:00:08,0.0055,0.9945
2025-08-23 00:00:14,0.0175,
2025-08-24 00:00:05,0.011,
2025-08-25 00:00:11,0.0055,
2025-08-26 00:00:02,0.0055,
2025-08-27 00:00:09,0.004,
2025-08-28 00:00:06,0.004,
2025-08-29 00:00:15,0.0035,
2025-08-30 00:00:03,0.0025,
2025-08-31 00:00:14,0.002,
2025-09-01 00:00:14,0.0005,
