timestamp,yes,no
2025-08-16 00:00:09,0.325,
2025-08-17 00:00:10,0.305,
2025-08-18 00:00:04,0.405,
2025-08-19 00:00:14,0.59,
2025-08-20 00:00:07,0.5,
2025-08-21 00:00:04,0.265,0.735
2025-08-22 00:00:05,0.135,
2025-08-23 00:00:16,0.135,0.865
2025-08-24 00:00:04,0.135,
2025-08-25 00:00:14,0.115,
2025-08-26 00:00:09,0.11,
2025-08-27 00:00:10,0.105,
2025-08-28 00:00:10,0.095,0.905
2025-08-29 00:00:16,0.085,
2025-08-30 00:00:02,0.085,
2025-08-31 00:00:09,0.085,
2025-09-01 00:00:08,0.075,
2025-09-02 00:00:13,0.065,
2025-09-03 00:00:02,0.065,
2025-09-04 00:00:07,0.045,
2025-09-05 00:00:03,0.045,
2025-09-06 00:00:18,0.05,
2025-09-07 00:00:04,0.0325,0.9675
2025-09-08 00:00:06,0.035,
2025-09-09 00:00:15,0.041,
2025-09-10 00:00:08,0.043,
2025-09-11 00:00:06,0.037,
2025-09-12 00:00:18,0.022,
2025-09-13 00:00:06,0.0215,
2025-09-14 00:00:03,0.023,
2025-09-15 00:00:08,0.0205,
2025-09-16 00:00:21,0.0195,0.9805
2025-09-17 00:00:16,0.019,
2025-09-18 00:00:12,0.016,
2025-09-19 00:00:19,0.014,
2025-09-20 00:00:07,0.0105,
2025-09-21 00:00:08,0.011,
2025-09-22 00:00:08,0.0075,
2025-09-23 00:00:04,0.007,0.993
2025-09-24 00:00:18,0.006,
2025-09-25 00:00:02,0.0085,
2025-09-26 00:00:13,0.0055,
2025-09-27 00:00:07,0.0025,
2025-09-28 00:00:08,0.002,0.998
2025-09-29 00:00:09,0.002,
2025-09-30 00:00:03,0.003,
2025-10-01 00:00:02,0.001,
