timestamp,yes,no
2025-04-10 00:00:05,0.365,0.635
2025-04-11 00:00:05,0.205,0.795
2025-04-12 00:00:06,0.105,0.895
2025-04-13 00:00:05,0.095,0.905
2025-04-14 00:00:05,0.11,0.89
2025-04-15 00:00:05,0.105,0.895
2025-04-16 00:00:05,0.11,0.89
2025-04-17 00:00:06,0.12,0.88
2025-04-18 00:00:04,0.12,0.88
2025-04-19 00:00:06,0.17,0.83
2025-04-20 00:00:06,0.165,0.835
2025-04-21 00:00:06,0.165,0.835
2025-04-22 00:00:06,0.165,0.835
2025-04-23 00:00:07,0.15,0.85
2025-04-24 00:00:06,0.12,0.88
2025-04-25 00:00:06,0.12,0.88
2025-04-26 00:00:06,0.12,0.88
2025-04-27 00:00:05,0.225,0.775
2025-04-28 00:00:05,0.225,0.775
2025-04-29 00:00:05,0.21,0.79
2025-04-30 00:00:06,0.0005,0.9995
2025-05-01 00:00:06,0.0005,0.9995
2025-05-02 00:00:06,0.0005,0.9995
2025-05-03 00:00:06,0.0005,0.9995
2025-05-04 00:00:05,0.0005,0.9995
2025-05-05 00:00:05,0.0005,0.9995
2025-05-06 00:00:06,0.0005,0.9995
2025-05-07 00:00:05,0.0005,0.9995
2025-05-08 00:00:06,0.0005,0.9995
2025-05-09 00:00:07,0.001,0.999
2025-05-10 00:00:06,0.007,0.993
2025-05-11 00:00:06,0.004,0.996
2025-05-12 00:00:06,0.005,0.995
2025-05-13 00:00:06,0.004,0.996
2025-05-14 00:00:07,0.004,0.996
2025-05-15 00:00:07,0.003,0.997
2025-05-16 00:00:06,0.01,0.99
2025-05-17 00:00:07,0.005,0.995
2025-05-18 00:00:06,0.0125,0.9875
2025-05-19 00:00:06,0.0085,0.9915
2025-05-20 00:00:06,0.005,0.995
2025-05-21 00:00:06,0.003,0.997
2025-05-22 00:00:07,0.0055,0.9945
2025-05-23 00:00:07,0.005,0.995
2025-05-24 00:00:07,0.0075,0.9925
2025-05-25 00:00:06,0.005,0.995
2025-05-26 00:00:07,0.0115,0.9885
2025-05-27 00:00:06,0.005,0.995
2025-05-28 00:00:06,0.011,0.989
2025-05-29 00:00:07,0.021,0.979
2025-05-30 00:00:07,0.007,0.993
2025-05-31 00:00:07,0.012,0.988
2025-06-01 00:00:07,0.006,0.994
2025-06-02 00:00:06,0.0245,0.9755
2025-06-03 00:00:07,0.0075,0.9925
2025-06-04 00:00:06,0.0065,0.9935
2025-06-05 00:00:06,0.0055,0.9945
2025-06-06 00:00:06,0.017,0.983
2025-06-07 00:00:07,0.019,0.981
2025-06-08 00:00:07,0.0125,0.9875
2025-06-09 00:00:07,0.017,0.983
2025-06-10 00:00:06,0.005,0.995
2025-06-11 00:00:07,0.0235,0.9765
2025-06-12 00:00:07,0.0245,0.9755
2025-06-13 00:00:07,0.0065,0.9935
2025-06-14 00:00:08,0.007,0.993
2025-06-15 00:00:08,0.004,0.996
2025-06-16 00:00:07,0.005,0.995
2025-06-17 00:00:08,0.008,0.992
2025-06-18 00:00:08,0.007,0.993
2025-06-19 00:00:07,0.0035,0.9965
2025-06-20 00:00:08,0.01,0.99
2025-06-21 00:00:08,0.003,0.997
2025-06-22 00:00:06,0.003,0.997
2025-06-23 00:00:07,0.003,0.997
2025-06-24 00:00:07,0.003,0.997
