timestamp,yes,no
2025-02-08 00:00:04,0.037,0.963
2025-02-09 00:00:06,0.0355,0.9645
2025-02-10 00:00:05,0.0255,0.9745
2025-02-11 00:00:04,0.024,0.976
2025-02-12 00:00:04,0.0235,0.9765
2025-02-13 00:00:04,0.0235,0.9765
2025-02-14 00:00:05,0.029,0.971
2025-02-15 00:00:04,0.0345,0.9655
2025-02-16 00:00:04,0.0355,0.9645
2025-02-17 00:00:04,0.0355,0.9645
2025-02-18 00:00:04,0.0365,0.9635
2025-02-19 00:00:04,0.036,0.964
2025-02-20 00:00:04,0.036,0.964
2025-02-21 00:00:05,0.036,0.964
2025-02-22 00:00:05,0.036,0.964
2025-02-23 00:00:04,0.036,0.964
2025-02-24 00:00:04,0.036,0.964
2025-02-25 00:00:04,0.036,0.964
2025-02-26 00:00:05,0.036,0.964
2025-02-27 00:00:05,0.036,0.964
2025-02-28 00:00:05,0.0365,0.9635
2025-03-01 00:00:05,0.036,0.964
2025-03-02 00:00:05,0.036,0.964
2025-03-03 00:00:05,0.036,0.964
2025-03-04 00:00:05,0.036,0.964
2025-03-05 00:00:04,0.036,0.964
2025-03-06 00:00:05,0.03,0.97
2025-03-07 00:00:05,0.0305,0.9695
2025-03-08 00:00:05,0.03,0.97
2025-03-09 00:00:05,0.03,0.97
2025-03-10 00:00:04,0.03,0.97
2025-03-11 00:00:05,0.03,0.97
2025-03-12 00:00:05,0.0305,0.9695
2025-03-13 00:00:06,0.031,0.969
2025-03-14 00:00:05,0.0315,0.9685
2025-03-15 00:00:04,0.0325,0.9675
2025-03-16 00:00:04,0.0235,0.9765
2025-03-17 00:00:04,0.031,0.969
2025-03-18 00:00:05,0.031,0.969
2025-03-19 00:00:05,0.0325,0.9675
2025-03-20 00:00:05,0.035,0.965
2025-03-21 00:00:05,0.035,0.965
2025-03-22 00:00:06,0.0355,0.9645
2025-03-23 00:00:06,0.0355,0.9645
2025-03-24 00:00:05,0.035,0.965
2025-03-25 00:00:06,0.035,0.965
2025-03-26 00:00:05,0.0365,0.9635
2025-03-27 00:00:06,0.037,0.963
2025-03-28 00:00:06,0.037,0.963
2025-03-29 00:00:06,0.04,0.96
2025-03-30 00:00:06,0.04,0.96
2025-03-31 00:00:05,0.0365,0.9635
2025-04-01 00:00:05,0.036,0.964
2025-04-02 00:00:06,0.036,0.964
2025-04-03 00:00:05,0.036,0.964
2025-04-04 00:00:05,0.0375,0.9625
2025-04-05 00:00:05,0.226,0.774
2025-04-06 00:00:05,0.144,0.856
2025-04-07 00:00:06,0.1225,0.8775
2025-04-08 00:00:06,0.1205,0.8795
2025-04-09 00:00:06,0.1125,0.8875
2025-04-10 00:00:05,0.104,0.896
2025-04-11 00:00:05,0.0965,0.9035
2025-04-12 00:00:06,0.089,0.911
2025-04-13 00:00:05,0.057,0.943
2025-04-14 00:00:05,0.0565,0.9435
2025-04-15 00:00:05,0.061,0.939
2025-04-16 00:00:05,0.0595,0.9405
