timestamp,yes,no
2024-01-11 00:00:03,0.075,0.925
2024-01-12 00:00:03,0.074,0.926
2024-01-13 00:00:02,0.0745,0.9255
2024-01-14 00:00:02,0.0745,0.9255
2024-01-15 00:00:03,0.0705,0.9295
2024-01-16 00:00:02,0.069,0.931
2024-01-17 00:00:03,0.0685,0.9315
2024-01-18 00:00:02,0.0685,0.9315
2024-01-19 00:00:02,0.0685,0.9315
2024-01-20 00:00:03,0.0685,0.9315
2024-01-21 00:00:02,0.0685,0.9315
2024-01-22 00:00:02,0.0625,0.9375
2024-01-23 00:00:03,0.061,0.939
2024-01-24 00:00:02,0.0575,0.9425
2024-01-25 00:00:02,0.061,0.939
2024-01-26 00:00:02,0.058,0.942
2024-01-27 00:00:02,0.0605,0.9395
2024-01-28 00:00:02,0.06,0.94
2024-01-29 00:00:02,0.0585,0.9415
2024-01-30 00:00:02,0.059,0.941
2024-01-31 00:00:02,0.059,0.941
2024-02-01 00:00:02,0.0575,0.9425
2024-02-02 00:00:02,0.0575,0.9425
2024-02-03 00:00:02,0.0565,0.9435
2024-02-04 00:00:03,0.0565,0.9435
2024-02-05 00:00:02,0.0565,0.9435
2024-02-06 00:00:02,0.058,0.942
2024-02-07 00:00:02,0.058,0.942
2024-02-08 00:00:02,0.058,0.942
2024-02-09 00:00:02,0.0575,0.9425
2024-02-10 00:00:03,0.057,0.943
2024-02-11 00:00:03,0.0575,0.9425
2024-02-12 00:00:03,0.057,0.943
2024-02-13 00:00:02,0.057,0.943
2024-02-14 00:00:03,0.057,0.943
2024-02-15 00:00:03,0.057,0.943
2024-02-16 00:00:03,0.057,0.943
2024-02-17 00:00:02,0.0565,0.9435
2024-02-18 00:00:02,0.0565,0.9435
2024-02-19 00:00:02,0.0565,0.9435
2024-02-20 00:00:02,0.0565,0.9435
2024-02-21 00:00:03,0.0565,0.9435
2024-02-22 00:00:02,0.0565,0.9435
2024-02-23 00:00:02,0.0565,0.9435
2024-02-24 00:00:02,0.0565,0.9435
2024-02-25 00:00:02,0.0565,0.9435
2024-02-26 00:00:02,0.0565,0.9435
2024-02-27 00:00:02,0.0565,0.9435
2024-02-28 00:00:03,0.0555,0.9445
2024-02-29 00:00:02,0.0555,0.9445
2024-03-01 00:00:02,0.055,0.945
2024-03-02 00:00:03,0.055,0.945
2024-03-03 00:00:03,0.055,0.945
2024-03-04 00:00:03,0.0545,0.9455
2024-03-05 00:00:03,0.054,0.946
2024-03-06 00:00:03,0.054,0.946
2024-03-07 00:00:02,0.0535,0.9465
2024-03-08 00:00:02,0.0525,0.9475
2024-03-09 00:00:03,0.0525,0.9475
2024-03-10 00:00:02,0.0495,0.9505
2024-03-11 00:00:02,0.047,0.953
2024-03-12 00:00:02,0.047,0.953
2024-03-13 00:00:03,0.047,0.953
2024-03-14 00:00:03,0.0465,0.9535
2024-03-15 00:00:03,0.0455,0.9545
2024-03-16 00:00:02,0.0455,0.9545
2024-03-17 00:00:03,0.0435,0.9565
2024-03-18 00:00:03,0.043,0.957
2024-03-19 00:00:02,0.0425,0.9575
2024-03-20 00:00:03,0.0425,0.9575
2024-03-21 00:00:03,0.0425,0.9575
2024-03-22 00:00:02,0.0425,0.9575
2024-03-23 00:00:03,0.0415,0.9585
2024-03-24 00:00:03,0.0415,0.9585
2024-03-25 00:00:03,0.0415,0.9585
2024-03-26 00:00:02,0.0415,0.9585
2024-03-27 00:00:03,0.0415,0.9585
2024-03-28 00:00:03,0.0385,0.9615
2024-03-29 00:00:02,0.0375,0.9625
2024-03-30 00:00:02,0.0375,0.9625
2024-03-31 00:00:03,0.0375,0.9625
2024-04-01 00:00:02,0.0375,0.9625
2024-04-02 00:00:03,0.0375,0.9625
2024-04-03 00:00:03,0.0375,0.9625
2024-04-04 00:00:03,0.0375,0.9625
2024-04-05 00:00:03,0.0375,0.9625
2024-04-06 00:00:03,0.0375,0.9625
2024-04-07 00:00:02,0.0375,0.9625
2024-04-08 00:00:03,0.0365,0.9635
2024-04-09 00:00:03,0.0365,0.9635
2024-04-10 00:00:03,0.0365,0.9635
2024-04-11 00:00:03,0.0365,0.9635
2024-04-12 00:00:03,0.0365,0.9635
2024-04-13 00:00:02,0.0365,0.9635
2024-04-14 00:00:03,0.0365,0.9635
2024-04-15 00:00:03,0.0365,0.9635
2024-04-16 00:00:03,0.0365,0.9635
2024-04-17 00:00:03,0.0365,0.9635
2024-04-18 00:00:03,0.0365,0.9635
2024-04-19 00:00:03,0.0355,0.9645
2024-04-20 00:00:02,0.036,0.964
2024-04-21 00:00:03,0.036,0.964
2024-04-22 00:00:03,0.036,0.964
2024-04-23 00:00:02,0.036,0.964
2024-04-24 00:00:03,0.0355,0.9645
2024-04-25 00:00:03,0.0335,0.9665
2024-04-26 00:00:02,0.0335,0.9665
2024-04-27 00:00:03,0.0335,0.9665
2024-04-28 00:00:03,0.0335,0.9665
2024-04-29 00:00:03,0.0335,0.9665
2024-04-30 00:00:04,0.0335,0.9665
2024-05-01 00:00:03,0.0335,0.9665
2024-05-02 00:00:03,0.0255,0.9745
2024-05-03 00:00:03,0.0255,0.9745
2024-05-04 00:00:03,0.0255,0.9745
2024-05-05 00:00:03,0.0255,0.9745
2024-05-06 00:00:02,0.0255,0.9745
2024-05-07 00:00:02,0.0255,0.9745
2024-05-08 00:00:03,0.0255,0.9745
2024-05-09 00:00:03,0.0255,0.9745
2024-05-10 00:00:03,0.0255,0.9745
2024-05-11 00:00:04,0.0255,0.9745
2024-05-12 00:00:03,0.0255,0.9745
2024-05-13 00:00:04,0.0255,0.9745
2024-05-14 00:00:03,0.023,0.977
2024-05-15 00:00:04,0.0225,0.9775
2024-05-16 00:00:04,0.022,0.978
2024-05-17 00:00:03,0.0215,0.9785
2024-05-18 00:00:03,0.0215,0.9785
2024-05-19 00:00:03,0.0215,0.9785
2024-05-20 00:00:03,0.022,0.978
2024-05-21 00:00:03,0.022,0.978
2024-05-22 00:00:03,0.022,0.978
2024-05-23 00:00:03,0.022,0.978
2024-05-24 00:00:03,0.022,0.978
2024-05-25 00:00:03,0.022,0.978
2024-05-26 00:00:03,0.022,0.978
2024-05-27 00:00:03,0.022,0.978
2024-05-28 00:00:03,0.022,0.978
2024-05-29 00:00:04,0.022,0.978
2024-05-30 00:00:03,0.0215,0.9785
2024-05-31 00:00:03,0.022,0.978
2024-06-01 00:00:03,0.021,0.979
2024-06-02 00:00:03,0.021,0.979
2024-06-03 00:00:03,0.021,0.979
2024-06-04 00:00:02,0.021,0.979
2024-06-05 00:00:02,0.021,0.979
2024-06-06 00:00:03,0.021,0.979
2024-06-07 00:00:02,0.0185,0.9815
2024-06-08 00:00:02,0.0165,0.9835
2024-06-09 00:00:03,0.017,0.983
2024-06-10 00:00:04,0.017,0.983
2024-06-11 00:00:02,0.0165,0.9835
2024-06-12 00:00:03,0.0165,0.9835
2024-06-13 00:00:03,0.0165,0.9835
2024-06-14 00:00:03,0.0165,0.9835
2024-06-15 00:00:04,0.017,0.983
2024-06-16 00:00:04,0.017,0.983
2024-06-17 00:00:04,0.017,0.983
2024-06-18 00:00:03,0.0165,0.9835
2024-06-19 00:00:03,0.0165,0.9835
2024-06-20 00:00:04,0.017,0.983
2024-06-21 00:00:03,0.0165,0.9835
2024-06-22 00:00:02,0.0165,0.9835
2024-06-23 00:00:03,0.0165,0.9835
2024-06-24 00:00:03,0.0165,0.9835
2024-06-25 00:00:03,0.0165,0.9835
2024-06-26 00:00:03,0.015,0.985
2024-06-27 00:00:02,0.0165,0.9835
2024-06-28 00:00:03,0.017,0.983
2024-06-29 00:00:02,0.0415,0.9585
2024-06-30 00:00:02,0.0435,0.9565
2024-07-01 00:00:02,0.0415,0.9585
2024-07-02 00:00:03,0.087,0.913
2024-07-03 00:00:02,0.089,0.911
2024-07-04 00:00:03,0.0895,0.9105
2024-07-05 00:00:02,0.095,0.905
2024-07-06 00:00:02,0.0975,0.9025
2024-07-07 00:00:02,0.1025,0.8975
2024-07-08 00:00:02,0.114,0.886
2024-07-09 00:00:02,0.1135,0.8865
2024-07-10 00:00:03,0.11,0.89
2024-07-11 00:00:03,0.1065,0.8935
2024-07-12 00:00:02,0.104,0.896
2024-07-13 00:00:03,0.1025,0.8975
2024-07-14 00:00:02,0.097,0.903
2024-07-15 00:00:03,0.1,0.9
2024-07-16 00:00:02,0.1285,0.8715
2024-07-17 00:00:01,0.103,0.897
2024-07-18 00:00:02,0.084,0.916
2024-07-19 00:00:01,0.0895,0.9105
2024-07-20 00:00:01,0.0685,0.9315
2024-07-21 00:00:01,0.0515,0.9485
2024-07-22 00:00:01,0.028,0.972
2024-07-23 00:00:01,0.0485,0.9515
2024-07-24 00:00:01,0.044,0.956
2024-07-25 00:00:01,0.056,0.944
2024-07-26 00:00:02,0.055,0.945
2024-07-27 00:00:02,0.0445,0.9555
2024-07-28 00:00:02,0.0425,0.9575
2024-07-29 00:00:02,0.0465,0.9535
2024-07-30 00:00:01,0.0475,0.9525
2024-07-31 00:00:02,0.048,0.952
2024-08-01 00:00:02,0.0415,0.9585
2024-08-02 00:00:01,0.0285,0.9715
2024-08-03 00:00:02,0.0225,0.9775
2024-08-04 00:00:01,0.022,0.978
2024-08-05 00:00:01,0.0215,0.9785
2024-08-06 00:00:01,0.0235,0.9765
2024-08-07 00:00:01,0.0215,0.9785
2024-08-08 00:00:01,0.0245,0.9755
2024-08-09 00:00:02,0.0255,0.9745
2024-08-10 00:00:02,0.033,0.967
2024-08-11 00:00:01,0.0305,0.9695
2024-08-12 00:00:01,0.0305,0.9695
2024-08-13 00:00:02,0.031,0.969
2024-08-14 00:00:02,0.024,0.976
