timestamp,yes,no
2024-06-25 00:00:03,0.3,0.7
2024-06-26 00:00:03,0.275,0.725
2024-06-27 00:00:02,0.265,0.735
2024-06-28 00:00:03,0.275,0.725
2024-06-29 00:00:02,0.285,0.715
2024-06-30 00:00:02,0.275,0.725
2024-07-01 00:00:02,0.135,0.865
2024-07-02 00:00:03,0.12,0.88
2024-07-03 00:00:02,0.12,0.88
2024-07-04 00:00:03,0.08,0.92
2024-07-05 00:00:02,0.08,0.92
2024-07-06 00:00:02,0.085,0.915
2024-07-07 00:00:02,0.075,0.925
2024-07-08 00:00:02,0.075,0.925
2024-07-09 00:00:02,0.055,0.945
2024-07-10 00:00:03,0.06,0.94
2024-07-11 00:00:03,0.06,0.94
2024-07-12 00:00:02,0.06,0.94
2024-07-13 00:00:03,0.055,0.945
2024-07-14 00:00:02,0.055,0.945
2024-07-15 00:00:03,0.055,0.945
2024-07-16 00:00:02,0.065,0.935
2024-07-17 00:00:01,0.05,0.95
2024-07-18 00:00:02,0.055,0.945
2024-07-19 00:00:01,0.06,0.94
2024-07-20 00:00:01,0.035,0.965
2024-07-21 00:00:01,0.035,0.965
2024-07-22 00:00:01,0.0065,0.9935
2024-07-23 00:00:01,0.0175,0.9825
2024-07-24 00:00:01,0.011,0.989
2024-07-25 00:00:01,0.0095,0.9905
2024-07-26 00:00:02,0.0015,0.9985
2024-07-27 00:00:02,0.0015,0.9985
2024-07-28 00:00:02,0.0015,0.9985
2024-07-29 00:00:02,0.0025,0.9975
2024-07-30 00:00:01,0.0095,0.9905
2024-07-31 00:00:02,0.005,0.995
2024-08-01 00:00:02,0.0005,0.9995
