timestamp,yes,no
2024-06-20 00:00:04,0.165,0.835
2024-06-21 00:00:03,0.155,0.845
2024-06-22 00:00:02,0.105,0.895
2024-06-23 00:00:03,0.085,0.915
2024-06-24 00:00:03,0.085,0.915
2024-06-25 00:00:03,0.085,0.915
2024-06-26 00:00:03,0.085,0.915
2024-06-27 00:00:02,0.075,0.925
2024-06-28 00:00:03,0.0455,0.9545
2024-06-29 00:00:02,0.2805,0.7195
2024-06-30 00:00:02,0.287,0.713
2024-07-01 00:00:02,0.4145,0.5855
2024-07-02 00:00:03,0.5,0.5
2024-07-03 00:00:02,0.509,0.491
2024-07-04 00:00:03,0.4975,0.5025
