timestamp,yes,no
2024-06-18 00:00:03,0.735,0.265
2024-06-19 00:00:03,0.725,0.275
2024-06-20 00:00:04,0.675,0.325
2024-06-21 00:00:03,0.72,0.28
2024-06-22 00:00:02,0.705,0.295
2024-06-23 00:00:03,0.695,0.305
2024-06-24 00:00:03,0.705,0.295
2024-06-25 00:00:03,0.705,0.295
2024-06-26 00:00:03,0.72,0.28
2024-06-27 00:00:02,0.725,0.275
2024-06-28 00:00:03,0.67,0.33
2024-06-29 00:00:02,0.695,0.305
2024-06-30 00:00:02,0.685,0.315
2024-07-01 00:00:02,0.74,0.26
2024-07-02 00:00:03,0.85,0.15
2024-07-03 00:00:02,0.835,0.165
2024-07-04 00:00:03,0.87,0.13
2024-07-05 00:00:02,0.9705,0.0295
