timestamp,yes,no
2024-06-18 00:00:03,0.006,0.994
2024-06-19 00:00:03,0.004,0.996
2024-06-20 00:00:04,0.006,0.994
2024-06-21 00:00:03,0.003,0.997
2024-06-22 00:00:02,0.002,0.998
2024-06-23 00:00:03,0.0025,0.9975
2024-06-24 00:00:03,0.002,0.998
2024-06-25 00:00:03,0.002,0.998
2024-06-26 00:00:03,0.002,0.998
2024-06-27 00:00:02,0.003,0.997
2024-06-28 00:00:03,0.0025,0.9975
2024-06-29 00:00:02,0.0025,0.9975
2024-06-30 00:00:02,0.002,0.998
2024-07-01 00:00:02,0.002,0.998
2024-07-02 00:00:03,0.0005,0.9995
2024-07-03 00:00:02,0.0005,0.9995
2024-07-04 00:00:03,0.0005,0.9995
2024-07-05 00:00:02,0.0005,0.9995
