timestamp,yes,no
2024-02-28 00:00:03,0.55,0.45
2024-02-29 00:00:02,0.545,0.455
2024-03-01 00:00:02,0.56,0.44
2024-03-02 00:00:03,0.56,0.44
2024-03-03 00:00:03,0.56,0.44
2024-03-04 00:00:03,0.56,0.44
2024-03-05 00:00:03,0.56,0.44
2024-03-06 00:00:03,0.47,0.53
2024-03-07 00:00:02,0.6,0.4
2024-03-08 00:00:02,0.6,0.4
2024-03-09 00:00:03,0.6,0.4
2024-03-10 00:00:02,0.515,0.485
2024-03-11 00:00:02,0.505,0.495
2024-03-12 00:00:02,0.505,0.495
2024-03-13 00:00:03,0.505,0.495
2024-03-14 00:00:03,0.505,0.495
2024-03-15 00:00:03,0.505,0.495
2024-03-16 00:00:02,0.505,0.495
2024-03-17 00:00:03,0.54,0.46
2024-03-18 00:00:03,0.68,0.32
2024-03-19 00:00:02,0.655,0.345
2024-03-20 00:00:03,0.655,0.345
2024-03-21 00:00:03,0.405,0.595
2024-03-22 00:00:02,0.56,0.44
2024-03-23 00:00:03,0.6,0.4
2024-03-24 00:00:03,0.67,0.33
2024-03-25 00:00:03,0.575,0.425
2024-03-26 00:00:02,0.7,0.3
2024-03-27 00:00:03,0.625,0.375
2024-03-28 00:00:03,0.69,0.31
2024-03-29 00:00:02,0.715,0.285
2024-03-30 00:00:02,0.7,0.3
2024-03-31 00:00:03,0.75,0.25
2024-04-01 00:00:02,0.9965,0.0035
