timestamp,yes,no
2024-06-18 00:00:03,0.215,0.785
2024-06-19 00:00:03,0.205,0.795
2024-06-20 00:00:04,0.245,0.755
2024-06-21 00:00:03,0.205,0.795
2024-06-22 00:00:02,0.185,0.815
2024-06-23 00:00:03,0.175,0.825
2024-06-24 00:00:03,0.18,0.82
2024-06-25 00:00:03,0.185,0.815
2024-06-26 00:00:03,0.21,0.79
2024-06-27 00:00:02,0.225,0.775
2024-06-28 00:00:03,0.295,0.705
2024-06-29 00:00:02,0.24,0.76
2024-06-30 00:00:02,0.27,0.73
2024-07-01 00:00:02,0.2,0.8
2024-07-02 00:00:03,0.1,0.9
2024-07-03 00:00:02,0.16,0.84
2024-07-04 00:00:03,0.13,0.87
2024-07-05 00:00:02,0.0105,0.9895
