timestamp,yes,no
2024-01-17 00:00:03,0.125,0.875
2024-01-18 00:00:02,0.08,0.92
2024-01-19 00:00:02,0.08,0.92
2024-01-20 00:00:03,0.08,0.92
2024-01-21 00:00:02,0.08,0.92
2024-01-22 00:00:02,0.08,0.92
2024-01-23 00:00:03,0.08,0.92
2024-01-24 00:00:02,0.08,0.92
2024-01-25 00:00:02,0.08,0.92
2024-01-26 00:00:02,0.08,0.92
2024-01-27 00:00:02,0.075,0.925
2024-01-28 00:00:02,0.04,0.96
2024-01-29 00:00:02,0.04,0.96
2024-01-30 00:00:02,0.155,0.845
2024-01-31 00:00:02,0.155,0.845
2024-02-01 00:00:02,0.15,0.85
2024-02-02 00:00:02,0.15,0.85
2024-02-03 00:00:02,0.15,0.85
2024-02-04 00:00:03,0.155,0.845
2024-02-05 00:00:02,0.155,0.845
2024-02-06 00:00:02,0.155,0.845
2024-02-07 00:00:02,0.155,0.845
2024-02-08 00:00:02,0.155,0.845
2024-02-09 00:00:02,0.155,0.845
2024-02-10 00:00:03,0.155,0.845
2024-02-11 00:00:03,0.155,0.845
2024-02-12 00:00:03,0.155,0.845
2024-02-13 00:00:02,0.16,0.84
2024-02-14 00:00:03,0.11,0.89
2024-02-15 00:00:03,0.105,0.895
2024-02-16 00:00:03,0.105,0.895
2024-02-17 00:00:02,0.027,0.973
2024-02-18 00:00:02,0.034,0.966
2024-02-19 00:00:02,0.034,0.966
2024-02-20 00:00:02,0.0715,0.9285
2024-02-21 00:00:03,0.0715,0.9285
2024-02-22 00:00:02,0.0715,0.9285
2024-02-23 00:00:02,0.067,0.933
2024-02-24 00:00:02,0.067,0.933
2024-02-25 00:00:02,0.0665,0.9335
2024-02-26 00:00:02,0.0685,0.9315
2024-02-27 00:00:02,0.0685,0.9315
2024-02-28 00:00:03,0.0685,0.9315
2024-02-29 00:00:02,0.0685,0.9315
2024-03-01 00:00:02,0.0685,0.9315
2024-03-02 00:00:03,0.0685,0.9315
2024-03-03 00:00:03,0.0685,0.9315
2024-03-04 00:00:03,0.0685,0.9315
2024-03-05 00:00:03,0.0685,0.9315
2024-03-06 00:00:03,0.069,0.931
2024-03-07 00:00:02,0.069,0.931
2024-03-08 00:00:02,0.069,0.931
2024-03-09 00:00:03,0.069,0.931
2024-03-10 00:00:02,0.0675,0.9325
2024-03-11 00:00:02,0.0675,0.9325
2024-03-12 00:00:02,0.0675,0.9325
2024-03-13 00:00:03,0.0675,0.9325
2024-03-14 00:00:03,0.0675,0.9325
2024-03-15 00:00:03,0.0675,0.9325
2024-03-16 00:00:02,0.0675,0.9325
2024-03-17 00:00:03,0.0675,0.9325
2024-03-18 00:00:03,0.068,0.932
2024-03-19 00:00:02,0.068,0.932
2024-03-20 00:00:03,0.068,0.932
2024-03-21 00:00:03,0.068,0.932
2024-03-22 00:00:02,0.068,0.932
2024-03-23 00:00:03,0.068,0.932
2024-03-24 00:00:03,0.0675,0.9325
2024-03-25 00:00:03,0.068,0.932
2024-03-26 00:00:02,0.068,0.932
2024-03-27 00:00:03,0.068,0.932
2024-03-28 00:00:03,0.068,0.932
2024-03-29 00:00:02,0.0675,0.9325
2024-03-30 00:00:02,0.0565,0.9435
2024-03-31 00:00:03,0.054,0.946
2024-04-01 00:00:02,0.054,0.946
2024-04-02 00:00:03,0.0535,0.9465
2024-04-03 00:00:03,0.053,0.947
2024-04-04 00:00:03,0.053,0.947
2024-04-05 00:00:03,0.053,0.947
2024-04-06 00:00:03,0.053,0.947
2024-04-07 00:00:02,0.053,0.947
2024-04-08 00:00:03,0.0525,0.9475
2024-04-09 00:00:03,0.0525,0.9475
2024-04-10 00:00:03,0.0525,0.9475
2024-04-11 00:00:03,0.0435,0.9565
2024-04-12 00:00:03,0.0435,0.9565
2024-04-13 00:00:02,0.042,0.958
2024-04-14 00:00:03,0.042,0.958
2024-04-15 00:00:03,0.0415,0.9585
2024-04-16 00:00:03,0.0415,0.9585
2024-04-17 00:00:03,0.0415,0.9585
2024-04-18 00:00:03,0.0415,0.9585
2024-04-19 00:00:03,0.0415,0.9585
2024-04-20 00:00:02,0.0365,0.9635
2024-04-21 00:00:03,0.0365,0.9635
2024-04-22 00:00:03,0.0445,0.9555
2024-04-23 00:00:02,0.041,0.959
2024-04-24 00:00:03,0.041,0.959
2024-04-25 00:00:03,0.0405,0.9595
2024-04-26 00:00:02,0.0435,0.9565
2024-04-27 00:00:03,0.0435,0.9565
2024-04-28 00:00:03,0.0435,0.9565
2024-04-29 00:00:03,0.0435,0.9565
2024-04-30 00:00:04,0.0425,0.9575
2024-05-01 00:00:03,0.0365,0.9635
2024-05-02 00:00:03,0.0365,0.9635
2024-05-03 00:00:03,0.04,0.96
2024-05-04 00:00:03,0.04,0.96
2024-05-05 00:00:03,0.0405,0.9595
2024-05-06 00:00:02,0.0405,0.9595
2024-05-07 00:00:02,0.046,0.954
2024-05-08 00:00:03,0.0465,0.9535
2024-05-09 00:00:03,0.0465,0.9535
2024-05-10 00:00:03,0.0465,0.9535
2024-05-11 00:00:04,0.0465,0.9535
2024-05-12 00:00:03,0.0465,0.9535
2024-05-13 00:00:04,0.0465,0.9535
2024-05-14 00:00:03,0.044,0.956
2024-05-15 00:00:04,0.044,0.956
2024-05-16 00:00:04,0.0435,0.9565
2024-05-17 00:00:03,0.057,0.943
2024-05-18 00:00:03,0.0595,0.9405
2024-05-19 00:00:03,0.058,0.942
2024-05-20 00:00:03,0.0585,0.9415
2024-05-21 00:00:03,0.1095,0.8905
2024-05-22 00:00:03,0.097,0.903
2024-05-23 00:00:03,0.1105,0.8895
2024-05-24 00:00:03,0.125,0.875
2024-05-25 00:00:03,0.1245,0.8755
2024-05-26 00:00:03,0.1235,0.8765
2024-05-27 00:00:03,0.1275,0.8725
2024-05-28 00:00:03,0.127,0.873
2024-05-29 00:00:04,0.1085,0.8915
2024-05-30 00:00:03,0.1015,0.8985
2024-05-31 00:00:03,0.1115,0.8885
2024-06-01 00:00:03,0.098,0.902
2024-06-02 00:00:03,0.067,0.933
2024-06-03 00:00:03,0.0825,0.9175
