timestamp,yes,no
2024-06-18 00:00:03,0.05,0.95
2024-06-19 00:00:03,0.075,0.925
2024-06-20 00:00:04,0.085,0.915
2024-06-21 00:00:03,0.09,0.91
2024-06-22 00:00:02,0.105,0.895
2024-06-23 00:00:03,0.085,0.915
2024-06-24 00:00:03,0.09,0.91
2024-06-25 00:00:03,0.075,0.925
2024-06-26 00:00:03,0.06,0.94
2024-06-27 00:00:02,0.05,0.95
2024-06-28 00:00:03,0.05,0.95
2024-06-29 00:00:02,0.06,0.94
2024-06-30 00:00:02,0.075,0.925
2024-07-01 00:00:02,0.065,0.935
2024-07-02 00:00:03,0.0355,0.9645
2024-07-03 00:00:02,0.037,0.963
2024-07-04 00:00:03,0.0375,0.9625
2024-07-05 00:00:02,0.0105,0.9895
