timestamp,yes,no
2024-04-16 00:00:03,0.795,0.205
2024-04-17 00:00:03,0.755,0.245
2024-04-18 00:00:03,0.76,0.24
2024-04-19 00:00:03,0.745,0.255
2024-04-20 00:00:02,0.755,0.245
2024-04-21 00:00:03,0.755,0.245
2024-04-22 00:00:03,0.755,0.245
2024-04-23 00:00:02,0.755,0.245
2024-04-24 00:00:03,0.755,0.245
2024-04-25 00:00:03,0.765,0.235
2024-04-26 00:00:02,0.775,0.225
2024-04-27 00:00:03,0.775,0.225
2024-04-28 00:00:03,0.775,0.225
2024-04-29 00:00:03,0.775,0.225
2024-04-30 00:00:04,0.775,0.225
2024-05-01 00:00:03,0.775,0.225
2024-05-02 00:00:03,0.775,0.225
2024-05-03 00:00:03,0.775,0.225
2024-05-04 00:00:03,0.775,0.225
2024-05-05 00:00:03,0.775,0.225
2024-05-06 00:00:02,0.775,0.225
2024-05-07 00:00:02,0.775,0.225
2024-05-08 00:00:03,0.775,0.225
2024-05-09 00:00:03,0.775,0.225
2024-05-10 00:00:03,0.775,0.225
2024-05-11 00:00:04,0.815,0.185
2024-05-12 00:00:03,0.815,0.185
2024-05-13 00:00:04,0.815,0.185
2024-05-14 00:00:03,0.815,0.185
2024-05-15 00:00:04,0.815,0.185
2024-05-16 00:00:04,0.815,0.185
2024-05-17 00:00:03,0.815,0.185
2024-05-18 00:00:03,0.815,0.185
2024-05-19 00:00:03,0.815,0.185
2024-05-20 00:00:03,0.815,0.185
2024-05-21 00:00:03,0.815,0.185
2024-05-22 00:00:03,0.805,0.195
2024-05-23 00:00:03,0.805,0.195
2024-05-24 00:00:03,0.805,0.195
2024-05-25 00:00:03,0.805,0.195
2024-05-26 00:00:03,0.805,0.195
2024-05-27 00:00:03,0.805,0.195
2024-05-28 00:00:03,0.805,0.195
2024-05-29 00:00:04,0.805,0.195
2024-05-30 00:00:03,0.805,0.195
2024-05-31 00:00:03,0.81,0.19
2024-06-01 00:00:03,0.81,0.19
2024-06-02 00:00:03,0.81,0.19
2024-06-03 00:00:03,0.81,0.19
2024-06-04 00:00:02,0.81,0.19
2024-06-05 00:00:02,0.82,0.18
2024-06-06 00:00:03,0.82,0.18
2024-06-07 00:00:02,0.82,0.18
2024-06-08 00:00:02,0.82,0.18
2024-06-09 00:00:03,0.82,0.18
2024-06-10 00:00:04,0.82,0.18
2024-06-11 00:00:02,0.82,0.18
2024-06-12 00:00:03,0.82,0.18
2024-06-13 00:00:03,0.825,0.175
2024-06-14 00:00:03,0.825,0.175
2024-06-15 00:00:04,0.825,0.175
2024-06-16 00:00:04,0.825,0.175
2024-06-17 00:00:04,0.825,0.175
2024-06-18 00:00:03,0.83,0.17
2024-06-19 00:00:03,0.83,0.17
2024-06-20 00:00:04,0.83,0.17
2024-06-21 00:00:03,0.83,0.17
2024-06-22 00:00:02,0.83,0.17
2024-06-23 00:00:03,0.825,0.175
2024-06-24 00:00:03,0.825,0.175
2024-06-25 00:00:03,0.825,0.175
2024-06-26 00:00:03,0.825,0.175
2024-06-27 00:00:02,0.825,0.175
2024-06-28 00:00:03,0.83,0.17
2024-06-29 00:00:02,0.83,0.17
2024-06-30 00:00:02,0.86,0.14
2024-07-01 00:00:02,0.855,0.145
2024-07-02 00:00:03,0.85,0.15
2024-07-03 00:00:02,0.85,0.15
2024-07-04 00:00:03,0.85,0.15
2024-07-05 00:00:02,0.855,0.145
2024-07-06 00:00:02,0.855,0.145
2024-07-07 00:00:02,0.855,0.145
2024-07-08 00:00:02,0.85,0.15
2024-07-09 00:00:02,0.85,0.15
2024-07-10 00:00:03,0.85,0.15
2024-07-11 00:00:03,0.85,0.15
2024-07-12 00:00:02,0.86,0.14
2024-07-13 00:00:03,0.86,0.14
2024-07-14 00:00:02,0.86,0.14
2024-07-15 00:00:03,0.865,0.135
2024-07-16 00:00:02,0.865,0.135
2024-07-17 00:00:01,0.86,0.14
2024-07-18 00:00:02,0.85,0.15
2024-07-19 00:00:01,0.85,0.15
2024-07-20 00:00:01,0.855,0.145
2024-07-21 00:00:01,0.86,0.14
2024-07-22 00:00:01,0.855,0.145
2024-07-23 00:00:01,0.855,0.145
2024-07-24 00:00:01,0.86,0.14
2024-07-25 00:00:01,0.86,0.14
