timestamp,yes,no
2025-02-21 00:00:05,0.125,0.875
2025-02-22 00:00:05,0.47,0.53
2025-02-23 00:00:04,0.51,0.49
2025-02-24 00:00:04,0.265,0.735
2025-02-25 00:00:04,0.265,0.735
2025-02-26 00:00:05,0.295,0.705
2025-02-27 00:00:05,0.24,0.76
2025-02-28 00:00:05,0.31,0.69
2025-03-01 00:00:05,0.265,0.735
2025-03-02 00:00:05,0.265,0.735
2025-03-03 00:00:05,0.28,0.72
2025-03-04 00:00:05,0.305,0.695
2025-03-05 00:00:04,0.29,0.71
2025-03-06 00:00:05,0.285,0.715
2025-03-07 00:00:05,0.265,0.735
2025-03-08 00:00:05,0.265,0.735
2025-03-09 00:00:05,0.265,0.735
2025-03-10 00:00:04,0.265,0.735
2025-03-11 00:00:05,0.255,0.745
2025-03-12 00:00:05,0.255,0.745
2025-03-13 00:00:06,0.26,0.74
2025-03-14 00:00:05,0.255,0.745
2025-03-15 00:00:04,0.255,0.745
2025-03-16 00:00:04,0.255,0.745
2025-03-17 00:00:04,0.255,0.745
2025-03-18 00:00:05,0.265,0.735
2025-03-19 00:00:05,0.27,0.73
2025-03-20 00:00:05,0.26,0.74
2025-03-21 00:00:05,0.25,0.75
2025-03-22 00:00:06,0.185,0.815
2025-03-23 00:00:06,0.18,0.82
2025-03-24 00:00:05,0.18,0.82
2025-03-25 00:00:06,0.145,0.855
2025-03-26 00:00:05,0.18,0.82
2025-03-27 00:00:06,0.165,0.835
2025-03-28 00:00:06,0.145,0.855
2025-03-29 00:00:06,0.14,0.86
2025-03-30 00:00:06,0.145,0.855
2025-03-31 00:00:05,0.145,0.855
2025-04-01 00:00:05,0.145,0.855
2025-04-02 00:00:06,0.145,0.855
2025-04-03 00:00:05,0.145,0.855
2025-04-04 00:00:05,0.145,0.855
2025-04-05 00:00:05,0.145,0.855
2025-04-06 00:00:05,0.145,0.855
2025-04-07 00:00:06,0.15,0.85
2025-04-08 00:00:06,0.145,0.855
2025-04-09 00:00:06,0.145,0.855
2025-04-10 00:00:05,0.145,0.855
2025-04-11 00:00:05,0.14,0.86
2025-04-12 00:00:06,0.14,0.86
2025-04-13 00:00:05,0.14,0.86
2025-04-14 00:00:05,0.05,0.95
2025-04-15 00:00:05,0.05,0.95
2025-04-16 00:00:05,0.05,0.95
2025-04-17 00:00:06,0.05,0.95
2025-04-18 00:00:04,0.05,0.95
2025-04-19 00:00:06,0.05,0.95
2025-04-20 00:00:06,0.055,0.945
2025-04-21 00:00:06,0.06,0.94
2025-04-22 00:00:06,0.06,0.94
2025-04-23 00:00:07,0.06,0.94
2025-04-24 00:00:06,0.06,0.94
2025-04-25 00:00:06,0.06,0.94
2025-04-26 00:00:06,0.06,0.94
2025-04-27 00:00:05,0.06,0.94
2025-04-28 00:00:05,0.06,0.94
2025-04-29 00:00:05,0.06,0.94
2025-04-30 00:00:06,0.06,0.94
2025-05-01 00:00:06,0.055,0.945
2025-05-02 00:00:06,0.055,0.945
2025-05-03 00:00:06,0.055,0.945
2025-05-04 00:00:05,0.055,0.945
2025-05-05 00:00:05,0.055,0.945
2025-05-06 00:00:06,0.055,0.945
2025-05-07 00:00:05,0.055,0.945
2025-05-08 00:00:06,0.055,0.945
2025-05-09 00:00:07,0.055,0.945
2025-05-10 00:00:06,0.055,0.945
2025-05-11 00:00:06,0.055,0.945
2025-05-12 00:00:06,0.055,0.945
2025-05-13 00:00:06,0.055,0.945
2025-05-14 00:00:07,0.055,0.945
2025-05-15 00:00:07,0.055,0.945
2025-05-16 00:00:06,0.055,0.945
2025-05-17 00:00:07,0.055,0.945
2025-05-18 00:00:06,0.055,0.945
2025-05-19 00:00:06,0.055,0.945
2025-05-20 00:00:06,0.055,0.945
2025-05-21 00:00:06,0.055,0.945
2025-05-22 00:00:07,0.055,0.945
2025-05-23 00:00:07,0.055,0.945
2025-05-24 00:00:07,0.05,0.95
2025-05-25 00:00:06,0.05,0.95
2025-05-26 00:00:07,0.05,0.95
2025-05-27 00:00:06,0.05,0.95
2025-05-28 00:00:06,0.05,0.95
2025-05-29 00:00:07,0.05,0.95
2025-05-30 00:00:07,0.05,0.95
2025-05-31 00:00:07,0.05,0.95
2025-06-01 00:00:07,0.05,0.95
2025-06-02 00:00:06,0.05,0.95
2025-06-03 00:00:07,0.05,0.95
2025-06-04 00:00:06,0.05,0.95
2025-06-05 00:00:06,0.05,0.95
2025-06-06 00:00:06,0.015,0.985
2025-06-07 00:00:07,0.013,0.987
2025-06-08 00:00:07,0.0135,0.9865
2025-06-09 00:00:07,0.0135,0.9865
2025-06-10 00:00:06,0.013,0.987
2025-06-11 00:00:07,0.0125,0.9875
2025-06-12 00:00:07,0.0125,0.9875
2025-06-13 00:00:07,0.0125,0.9875
2025-06-14 00:00:08,0.0125,0.9875
2025-06-15 00:00:08,0.0125,0.9875
2025-06-16 00:00:07,0.0125,0.9875
2025-06-17 00:00:08,0.0125,0.9875
2025-06-18 00:00:08,0.0125,0.9875
2025-06-19 00:00:07,0.0125,0.9875
2025-06-20 00:00:08,0.0125,0.9875
2025-06-21 00:00:08,0.0125,0.9875
2025-06-22 00:00:06,0.012,0.988
2025-06-23 00:00:07,0.012,0.988
2025-06-24 00:00:07,0.012,0.988
2025-06-25 00:00:07,0.012,0.988
2025-06-26 00:00:08,0.0145,0.9855
2025-06-27 00:00:07,0.014,0.986
2025-06-28 00:00:07,0.014,0.986
2025-06-29 00:00:08,0.014,0.986
2025-06-30 00:00:07,0.014,0.986
2025-07-01 00:00:08,0.0005,0.9995
