timestamp,yes,no
2024-06-01 00:00:03,0.94,0.06
2024-06-02 00:00:03,0.935,0.065
2024-06-03 00:00:03,0.935,0.065
2024-06-04 00:00:02,0.935,0.065
2024-06-05 00:00:02,0.935,0.065
2024-06-06 00:00:03,0.935,0.065
2024-06-07 00:00:02,0.935,0.065
2024-06-08 00:00:02,0.935,0.065
2024-06-09 00:00:03,0.935,0.065
2024-06-10 00:00:04,0.935,0.065
2024-06-11 00:00:02,0.935,0.065
2024-06-12 00:00:03,0.935,0.065
2024-06-13 00:00:03,0.935,0.065
2024-06-14 00:00:03,0.935,0.065
2024-06-15 00:00:04,0.935,0.065
2024-06-16 00:00:04,0.935,0.065
2024-06-17 00:00:04,0.935,0.065
2024-06-18 00:00:03,0.935,0.065
2024-06-19 00:00:03,0.935,0.065
2024-06-20 00:00:04,0.935,0.065
2024-06-21 00:00:03,0.935,0.065
2024-06-22 00:00:02,0.935,0.065
2024-06-23 00:00:03,0.935,0.065
2024-06-24 00:00:03,0.935,0.065
2024-06-25 00:00:03,0.935,0.065
2024-06-26 00:00:03,0.935,0.065
2024-06-27 00:00:02,0.935,0.065
2024-06-28 00:00:03,0.935,0.065
2024-06-29 00:00:02,0.935,0.065
2024-06-30 00:00:02,0.935,0.065
2024-07-01 00:00:02,0.935,0.065
2024-07-02 00:00:03,0.935,0.065
2024-07-03 00:00:02,0.935,0.065
2024-07-04 00:00:03,0.935,0.065
2024-07-05 00:00:02,0.935,0.065
2024-07-06 00:00:02,0.935,0.065
2024-07-07 00:00:02,0.935,0.065
2024-07-08 00:00:02,0.935,0.065
2024-07-09 00:00:02,0.935,0.065
2024-07-10 00:00:03,0.935,0.065
2024-07-11 00:00:03,0.935,0.065
2024-07-12 00:00:02,0.935,0.065
2024-07-13 00:00:03,0.935,0.065
2024-07-14 00:00:02,0.935,0.065
2024-07-15 00:00:03,0.935,0.065
2024-07-16 00:00:02,0.935,0.065
2024-07-17 00:00:01,0.935,0.065
2024-07-18 00:00:02,0.935,0.065
2024-07-19 00:00:01,0.935,0.065
2024-07-20 00:00:01,0.935,0.065
2024-07-21 00:00:01,0.935,0.065
2024-07-22 00:00:01,0.935,0.065
2024-07-23 00:00:01,0.935,0.065
2024-07-24 00:00:01,0.935,0.065
2024-07-25 00:00:01,0.935,0.065
2024-07-26 00:00:02,0.935,0.065
2024-07-27 00:00:02,0.935,0.065
2024-07-28 00:00:02,0.94,0.06
2024-07-29 00:00:02,0.94,0.06
2024-07-30 00:00:01,0.94,0.06
2024-07-31 00:00:02,0.94,0.06
2024-08-01 00:00:02,0.94,0.06
2024-08-02 00:00:01,0.955,0.045
2024-08-03 00:00:02,0.955,0.045
2024-08-04 00:00:01,0.955,0.045
2024-08-05 00:00:01,0.935,0.065
2024-08-06 00:00:01,0.935,0.065
2024-08-07 00:00:01,0.9645,0.0355
2024-08-08 00:00:01,0.965,0.035
2024-08-09 00:00:02,0.9845,0.0155
2024-08-10 00:00:02,0.9855,0.0145
2024-08-11 00:00:01,0.9805,0.0195
2024-08-12 00:00:01,0.9805,0.0195
2024-08-13 00:00:02,0.9805,0.0195
2024-08-14 00:00:02,0.9805,0.0195
2024-08-15 00:00:02,0.9805,0.0195
2024-08-16 00:00:02,0.9805,0.0195
2024-08-17 00:00:02,0.98,0.02
2024-08-18 00:00:02,0.981,0.019
2024-08-19 00:00:02,0.9695,0.0305
2024-08-20 00:00:01,0.967,0.033
2024-08-21 00:00:02,0.966,0.034
2024-08-22 00:00:02,0.965,0.035
2024-08-23 00:00:02,0.967,0.033
2024-08-24 00:00:02,0.967,0.033
2024-08-25 00:00:01,0.966,0.034
2024-08-26 00:00:02,0.9675,0.0325
2024-08-27 00:00:01,0.967,0.033
2024-08-28 00:00:01,0.9535,0.0465
2024-08-29 00:00:02,0.954,0.046
2024-08-30 00:00:02,0.954,0.046
2024-08-31 00:00:02,0.961,0.039
2024-09-01 00:00:02,0.9605,0.0395
2024-09-02 00:00:02,0.961,0.039
2024-09-03 00:00:02,0.964,0.036
2024-09-04 00:00:02,0.964,0.036
2024-09-05 00:00:02,0.964,0.036
2024-09-06 00:00:02,0.9695,0.0305
2024-09-07 00:00:02,0.968,0.032
2024-09-08 00:00:02,0.968,0.032
2024-09-09 00:00:01,0.968,0.032
2024-09-10 00:00:02,0.968,0.032
2024-09-11 00:00:01,0.968,0.032
2024-09-12 00:00:02,0.968,0.032
2024-09-13 00:00:02,0.968,0.032
2024-09-14 00:00:02,0.9705,0.0295
2024-09-15 00:00:02,0.9705,0.0295
2024-09-16 00:00:02,0.962,0.038
2024-09-17 00:00:02,0.962,0.038
2024-09-18 00:00:02,0.9615,0.0385
2024-09-19 00:00:01,0.9615,0.0385
2024-09-20 00:00:02,0.9625,0.0375
2024-09-21 00:00:02,0.9625,0.0375
2024-09-22 00:00:02,0.9625,0.0375
2024-09-23 00:00:02,0.963,0.037
2024-09-24 00:00:02,0.963,0.037
2024-09-25 00:00:02,0.963,0.037
2024-09-26 00:00:02,0.962,0.038
2024-09-27 00:00:02,0.957,0.043
2024-09-28 00:00:02,0.9655,0.0345
2024-09-29 00:00:03,0.967,0.033
2024-09-30 00:00:03,0.972,0.028
2024-10-01 00:00:02,0.9715,0.0285
2024-10-02 00:00:02,0.9715,0.0285
2024-10-03 00:00:02,0.9715,0.0285
2024-10-04 00:00:02,0.9715,0.0285
2024-10-05 00:00:02,0.9715,0.0285
2024-10-06 00:00:02,0.974,0.026
2024-10-07 00:00:02,0.9745,0.0255
2024-10-08 00:00:02,0.9795,0.0205
2024-10-09 00:00:02,0.983,0.017
2024-10-10 00:00:02,0.983,0.017
2024-10-11 00:00:03,0.983,0.017
2024-10-12 00:00:02,0.983,0.017
2024-10-13 00:00:03,0.989,0.011
