timestamp,yes,no
2024-05-03 00:00:03,0.96,0.04
2024-05-04 00:00:03,0.971,0.029
2024-05-05 00:00:03,0.971,0.029
2024-05-06 00:00:02,0.9715,0.0285
2024-05-07 00:00:02,0.968,0.032
2024-05-08 00:00:03,0.967,0.033
2024-05-09 00:00:03,0.967,0.033
2024-05-10 00:00:03,0.967,0.033
2024-05-11 00:00:04,0.967,0.033
2024-05-12 00:00:03,0.967,0.033
2024-05-13 00:00:04,0.967,0.033
2024-05-14 00:00:03,0.9665,0.0335
2024-05-15 00:00:04,0.9665,0.0335
2024-05-16 00:00:04,0.9665,0.0335
2024-05-17 00:00:03,0.9665,0.0335
2024-05-18 00:00:03,0.9665,0.0335
2024-05-19 00:00:03,0.9665,0.0335
2024-05-20 00:00:03,0.9665,0.0335
2024-05-21 00:00:03,0.9665,0.0335
2024-05-22 00:00:03,0.967,0.033
2024-05-23 00:00:03,0.967,0.033
2024-05-24 00:00:03,0.967,0.033
2024-05-25 00:00:03,0.967,0.033
2024-05-26 00:00:03,0.967,0.033
2024-05-27 00:00:03,0.967,0.033
2024-05-28 00:00:03,0.9635,0.0365
2024-05-29 00:00:04,0.9635,0.0365
2024-05-30 00:00:03,0.9635,0.0365
2024-05-31 00:00:03,0.9635,0.0365
2024-06-01 00:00:03,0.9635,0.0365
2024-06-02 00:00:03,0.9635,0.0365
2024-06-03 00:00:03,0.9635,0.0365
2024-06-04 00:00:02,0.9635,0.0365
2024-06-05 00:00:02,0.9635,0.0365
2024-06-06 00:00:03,0.9635,0.0365
2024-06-07 00:00:02,0.9635,0.0365
2024-06-08 00:00:02,0.9635,0.0365
2024-06-09 00:00:03,0.9635,0.0365
2024-06-10 00:00:04,0.9635,0.0365
2024-06-11 00:00:02,0.9635,0.0365
2024-06-12 00:00:03,0.9725,0.0275
2024-06-13 00:00:03,0.9725,0.0275
2024-06-14 00:00:03,0.9725,0.0275
2024-06-15 00:00:04,0.983,0.017
2024-06-16 00:00:04,0.9895,0.0105
2024-06-17 00:00:04,0.99,0.01
2024-06-18 00:00:03,0.99,0.01
2024-06-19 00:00:03,0.9905,0.0095
2024-06-20 00:00:04,0.9905,0.0095
2024-06-21 00:00:03,0.99,0.01
2024-06-22 00:00:02,0.989,0.011
2024-06-23 00:00:03,0.989,0.011
2024-06-24 00:00:03,0.9895,0.0105
2024-06-25 00:00:03,0.9945,0.0055
2024-06-26 00:00:03,0.9995,0.0005
