timestamp,yes,no
2024-06-02 00:00:03,0.017,0.983
2024-06-03 00:00:03,0.019,0.981
2024-06-04 00:00:02,0.019,0.981
2024-06-05 00:00:02,0.0195,0.9805
2024-06-06 00:00:03,0.0185,0.9815
2024-06-07 00:00:02,0.0175,0.9825
2024-06-08 00:00:02,0.0175,0.9825
2024-06-09 00:00:03,0.0495,0.9505
2024-06-10 00:00:04,0.045,0.955
2024-06-11 00:00:02,0.0405,0.9595
2024-06-12 00:00:03,0.0405,0.9595
2024-06-13 00:00:03,0.0405,0.9595
2024-06-14 00:00:03,0.0405,0.9595
2024-06-15 00:00:04,0.0375,0.9625
2024-06-16 00:00:04,0.0375,0.9625
2024-06-17 00:00:04,0.0375,0.9625
2024-06-18 00:00:03,0.0345,0.9655
2024-06-19 00:00:03,0.0345,0.9655
2024-06-20 00:00:04,0.0345,0.9655
2024-06-21 00:00:03,0.0335,0.9665
2024-06-22 00:00:02,0.025,0.975
2024-06-23 00:00:03,0.025,0.975
2024-06-24 00:00:03,0.0245,0.9755
2024-06-25 00:00:03,0.0245,0.9755
2024-06-26 00:00:03,0.0245,0.9755
2024-06-27 00:00:02,0.0245,0.9755
2024-06-28 00:00:03,0.0245,0.9755
2024-06-29 00:00:02,0.024,0.976
2024-06-30 00:00:02,0.0245,0.9755
2024-07-01 00:00:02,0.0245,0.9755
2024-07-02 00:00:03,0.0255,0.9745
2024-07-03 00:00:02,0.0255,0.9745
2024-07-04 00:00:03,0.0255,0.9745
2024-07-05 00:00:02,0.0255,0.9745
2024-07-06 00:00:02,0.0255,0.9745
2024-07-07 00:00:02,0.0255,0.9745
2024-07-08 00:00:02,0.024,0.976
2024-07-09 00:00:02,0.024,0.976
2024-07-10 00:00:03,0.0225,0.9775
2024-07-11 00:00:03,0.021,0.979
2024-07-12 00:00:02,0.0205,0.9795
2024-07-13 00:00:03,0.0195,0.9805
2024-07-14 00:00:02,0.0195,0.9805
2024-07-15 00:00:03,0.0195,0.9805
2024-07-16 00:00:02,0.0195,0.9805
2024-07-17 00:00:01,0.018,0.982
2024-07-18 00:00:02,0.0085,0.9915
2024-07-19 00:00:01,0.0075,0.9925
2024-07-20 00:00:01,0.007,0.993
2024-07-21 00:00:01,0.007,0.993
2024-07-22 00:00:01,0.0065,0.9935
2024-07-23 00:00:01,0.0065,0.9935
2024-07-24 00:00:01,0.005,0.995
2024-07-25 00:00:01,0.005,0.995
2024-07-26 00:00:02,0.003,0.997
2024-07-27 00:00:02,0.0035,0.9965
2024-07-28 00:00:02,0.0005,0.9995
2024-07-29 00:00:02,0.004,0.996
2024-07-30 00:00:01,0.0175,0.9825
2024-07-31 00:00:02,0.014,0.986
2024-08-01 00:00:02,0.0225,0.9775
2024-08-02 00:00:01,0.0285,0.9715
2024-08-03 00:00:02,0.0255,0.9745
2024-08-04 00:00:01,0.0245,0.9755
2024-08-05 00:00:01,0.0285,0.9715
2024-08-06 00:00:01,0.0185,0.9815
