timestamp,yes,no
2024-05-23 00:00:03,0.915,0.085
2024-05-24 00:00:03,0.925,0.075
2024-05-25 00:00:03,0.905,0.095
2024-05-26 00:00:03,0.895,0.105
2024-05-27 00:00:03,0.875,0.125
2024-05-28 00:00:03,0.875,0.125
2024-05-29 00:00:04,0.92,0.08
2024-05-30 00:00:03,0.915,0.085
2024-05-31 00:00:03,0.93,0.07
2024-06-01 00:00:03,0.935,0.065
2024-06-02 00:00:03,0.935,0.065
2024-06-03 00:00:03,0.935,0.065
2024-06-04 00:00:02,0.935,0.065
2024-06-05 00:00:02,0.935,0.065
2024-06-06 00:00:03,0.935,0.065
2024-06-07 00:00:02,0.935,0.065
2024-06-08 00:00:02,0.9,0.1
2024-06-09 00:00:03,0.895,0.105
2024-06-10 00:00:04,0.895,0.105
2024-06-11 00:00:02,0.895,0.105
2024-06-12 00:00:03,0.9,0.1
2024-06-13 00:00:03,0.9,0.1
2024-06-14 00:00:03,0.9,0.1
2024-06-15 00:00:04,0.9,0.1
2024-06-16 00:00:04,0.905,0.095
2024-06-17 00:00:04,0.905,0.095
2024-06-18 00:00:03,0.905,0.095
2024-06-19 00:00:03,0.905,0.095
2024-06-20 00:00:04,0.905,0.095
2024-06-21 00:00:03,0.905,0.095
2024-06-22 00:00:02,0.905,0.095
2024-06-23 00:00:03,0.905,0.095
2024-06-24 00:00:03,0.905,0.095
2024-06-25 00:00:03,0.905,0.095
2024-06-26 00:00:03,0.905,0.095
2024-06-27 00:00:02,0.905,0.095
2024-06-28 00:00:03,0.915,0.085
2024-06-29 00:00:02,0.715,0.285
2024-06-30 00:00:02,0.815,0.185
2024-07-01 00:00:02,0.8,0.2
2024-07-02 00:00:03,0.725,0.275
2024-07-03 00:00:02,0.475,0.525
2024-07-04 00:00:03,0.35,0.65
2024-07-05 00:00:02,0.31,0.69
2024-07-06 00:00:02,0.355,0.645
2024-07-07 00:00:02,0.4,0.6
2024-07-08 00:00:02,0.43,0.57
2024-07-09 00:00:02,0.63,0.37
2024-07-10 00:00:03,0.665,0.335
2024-07-11 00:00:03,0.555,0.445
2024-07-12 00:00:02,0.435,0.565
2024-07-13 00:00:03,0.39,0.61
2024-07-14 00:00:02,0.61,0.39
2024-07-15 00:00:03,0.66,0.34
2024-07-16 00:00:02,0.73,0.27
2024-07-17 00:00:01,0.8,0.2
2024-07-18 00:00:02,0.44,0.56
2024-07-19 00:00:01,0.095,0.905
2024-07-20 00:00:01,0.24,0.76
2024-07-21 00:00:01,0.28,0.72
2024-07-22 00:00:01,0.0045,0.9955
2024-07-23 00:00:01,0.01,0.99
2024-07-24 00:00:01,0.027,0.973
2024-07-25 00:00:01,0.0265,0.9735
2024-07-26 00:00:02,0.0265,0.9735
2024-07-27 00:00:02,0.0275,0.9725
2024-07-28 00:00:02,0.0275,0.9725
2024-07-29 00:00:02,0.0345,0.9655
2024-07-30 00:00:01,0.0345,0.9655
2024-07-31 00:00:02,0.0185,0.9815
2024-08-01 00:00:02,0.016,0.984
2024-08-02 00:00:01,0.0175,0.9825
2024-08-03 00:00:02,0.015,0.985
2024-08-04 00:00:01,0.0125,0.9875
2024-08-05 00:00:01,0.012,0.988
2024-08-06 00:00:01,0.015,0.985
2024-08-07 00:00:01,0.0125,0.9875
2024-08-08 00:00:01,0.0075,0.9925
2024-08-09 00:00:02,0.008,0.992
2024-08-10 00:00:02,0.008,0.992
2024-08-11 00:00:01,0.0075,0.9925
2024-08-12 00:00:01,0.0075,0.9925
2024-08-13 00:00:02,0.0075,0.9925
2024-08-14 00:00:02,0.007,0.993
2024-08-15 00:00:02,0.007,0.993
2024-08-16 00:00:02,0.007,0.993
2024-08-17 00:00:02,0.007,0.993
2024-08-18 00:00:02,0.0075,0.9925
2024-08-19 00:00:02,0.0075,0.9925
2024-08-20 00:00:01,0.0075,0.9925
2024-08-21 00:00:02,0.0075,0.9925
2024-08-22 00:00:02,0.0075,0.9925
2024-08-23 00:00:02,0.008,0.992
2024-08-24 00:00:02,0.008,0.992
2024-08-25 00:00:01,0.008,0.992
2024-08-26 00:00:02,0.008,0.992
2024-08-27 00:00:01,0.008,0.992
2024-08-28 00:00:01,0.012,0.988
2024-08-29 00:00:02,0.012,0.988
2024-08-30 00:00:02,0.012,0.988
