timestamp,yes,no
2023-10-28 00:00:02,0.5095,0.4905
2023-10-29 00:00:03,0.05,0.95
2023-10-30 00:00:03,0.055,0.945
2023-10-31 00:00:02,0.055,0.945
2023-11-01 00:00:02,0.055,0.945
2023-11-02 00:00:02,0.0525,0.9475
2023-11-03 00:00:02,0.055,0.945
2023-11-04 00:00:02,0.05,0.95
2023-11-05 00:00:02,0.0475,0.9525
2023-11-06 00:00:06,0.045,0.955
2023-11-07 00:00:02,0.045,0.955
2023-11-08 00:00:02,0.045,0.955
2023-11-09 00:00:03,0.0425,0.9575
2023-11-10 00:00:02,0.045,0.955
2023-11-11 00:00:02,0.045,0.955
2023-11-12 00:00:02,0.0375,0.9625
2023-11-13 00:00:02,0.045,0.955
2023-11-14 00:00:02,0.045,0.955
2023-11-15 00:00:02,0.045,0.955
2023-11-16 00:00:02,0.0425,0.9575
2023-11-17 00:00:03,0.0325,0.9675
2023-11-18 00:00:02,0.5,0.5
2023-11-19 00:00:03,0.5,0.5
2023-11-20 00:00:02,0.52,0.48
2023-11-21 00:00:02,0.071,0.929
2023-11-22 00:00:02,0.071,0.929
2023-11-23 00:00:02,0.066,0.934
2023-11-24 00:00:02,0.066,0.934
2023-11-25 00:00:02,0.066,0.934
2023-11-26 00:00:02,0.064,0.936
2023-11-27 00:00:02,0.059,0.941
2023-11-28 00:00:02,0.059,0.941
2023-11-29 00:00:02,0.057,0.943
2023-11-30 00:00:02,0.059,0.941
2023-12-01 00:00:02,0.061,0.939
2023-12-02 00:00:03,0.059,0.941
2023-12-03 00:00:02,0.059,0.941
2023-12-04 00:00:02,0.059,0.941
2023-12-05 00:00:02,0.0585,0.9415
2023-12-06 00:00:03,0.055,0.945
2023-12-07 00:00:02,0.055,0.945
2023-12-08 00:00:02,0.054,0.946
2023-12-09 00:00:02,0.0535,0.9465
2023-12-10 00:00:02,0.0535,0.9465
2023-12-11 00:00:02,0.0535,0.9465
2023-12-12 00:00:02,0.0435,0.9565
2023-12-13 00:00:02,0.039,0.961
2023-12-14 00:00:02,0.039,0.961
2023-12-15 00:00:02,0.038,0.962
2023-12-16 00:00:02,0.0385,0.9615
2023-12-17 00:00:02,0.038,0.962
2023-12-18 00:00:02,0.0375,0.9625
2023-12-19 00:00:02,0.0375,0.9625
2023-12-20 00:00:02,0.0265,0.9735
2023-12-21 00:00:03,0.021,0.979
2023-12-22 00:00:02,0.021,0.979
2023-12-23 00:00:02,0.021,0.979
2023-12-24 00:00:02,0.0455,0.9545
2023-12-25 00:00:02,0.0455,0.9545
2023-12-26 00:00:02,0.0455,0.9545
2023-12-27 00:00:03,0.0455,0.9545
2023-12-28 00:00:03,0.0455,0.9545
2023-12-29 00:00:02,0.0435,0.9565
2023-12-30 00:00:02,0.043,0.957
2023-12-31 00:00:02,0.043,0.957
2024-01-01 00:00:02,0.016,0.984
2024-01-02 00:00:02,0.0165,0.9835
2024-01-03 00:00:02,0.0165,0.9835
2024-01-04 00:00:02,0.017,0.983
2024-01-05 00:00:03,0.017,0.983
2024-01-06 00:00:02,0.017,0.983
2024-01-07 00:00:02,0.017,0.983
2024-01-08 00:00:02,0.017,0.983
2024-01-09 00:00:03,0.017,0.983
