timestamp,yes,no
2025-05-06 00:00:06,0.055,0.945
2025-05-07 00:00:05,0.055,0.945
2025-05-08 00:00:06,0.039,0.961
2025-05-09 00:00:07,0.04,0.96
2025-05-10 00:00:06,0.04,0.96
2025-05-11 00:00:06,0.053,0.947
2025-05-12 00:00:06,0.0515,0.9485
2025-05-13 00:00:06,0.051,0.949
2025-05-14 00:00:07,0.051,0.949
2025-05-15 00:00:07,0.051,0.949
2025-05-16 00:00:06,0.051,0.949
2025-05-17 00:00:07,0.048,0.952
2025-05-18 00:00:06,0.0475,0.9525
2025-05-19 00:00:06,0.044,0.956
2025-05-20 00:00:06,0.042,0.958
2025-05-21 00:00:06,0.0405,0.9595
2025-05-22 00:00:07,0.042,0.958
2025-05-23 00:00:07,0.042,0.958
2025-05-24 00:00:07,0.041,0.959
2025-05-25 00:00:06,0.041,0.959
2025-05-26 00:00:07,0.041,0.959
2025-05-27 00:00:06,0.041,0.959
2025-05-28 00:00:06,0.0395,0.9605
2025-05-29 00:00:07,0.0395,0.9605
2025-05-30 00:00:07,0.0395,0.9605
2025-05-31 00:00:07,0.039,0.961
2025-06-01 00:00:07,0.0375,0.9625
2025-06-02 00:00:06,0.0235,0.9765
2025-06-03 00:00:07,0.0225,0.9775
2025-06-04 00:00:06,0.023,0.977
2025-06-05 00:00:06,0.0185,0.9815
2025-06-06 00:00:06,0.0085,0.9915
2025-06-07 00:00:07,0.014,0.986
2025-06-08 00:00:07,0.0115,0.9885
2025-06-09 00:00:07,0.014,0.986
2025-06-10 00:00:06,0.014,0.986
2025-06-11 00:00:07,0.0135,0.9865
2025-06-12 00:00:07,0.02,0.98
2025-06-13 00:00:07,0.02,0.98
2025-06-14 00:00:08,0.019,0.981
2025-06-15 00:00:08,0.018,0.982
2025-06-16 00:00:07,0.0205,0.9795
2025-06-17 00:00:08,0.0205,0.9795
2025-06-18 00:00:08,0.02,0.98
2025-06-19 00:00:07,0.021,0.979
2025-06-20 00:00:08,0.0185,0.9815
2025-06-21 00:00:08,0.0195,0.9805
2025-06-22 00:00:06,0.0195,0.9805
2025-06-23 00:00:07,0.0215,0.9785
2025-06-24 00:00:07,0.0195,0.9805
2025-06-25 00:00:07,0.0205,0.9795
2025-06-26 00:00:08,0.02,0.98
2025-06-27 00:00:07,0.0205,0.9795
2025-06-28 00:00:07,0.0215,0.9785
2025-06-29 00:00:08,0.0215,0.9785
2025-06-30 00:00:07,0.0215,0.9785
2025-07-01 00:00:08,0.02,0.98
2025-07-02 00:00:07,0.0195,0.9805
2025-07-03 00:00:08,0.02,0.98
2025-07-04 00:00:08,0.0225,0.9775
2025-07-05 00:00:08,0.018,0.982
2025-07-06 00:00:07,0.018,0.982
2025-07-07 00:00:07,0.018,0.982
2025-07-08 00:00:08,0.018,0.982
2025-07-09 00:00:07,0.026,0.974
2025-07-10 00:00:08,0.026,0.974
2025-07-11 00:00:08,0.026,0.974
2025-07-12 00:00:09,0.067,0.933
2025-07-13 00:00:08,0.0465,0.9535
2025-07-14 00:00:07,0.0415,0.9585
2025-07-15 00:00:08,0.0415,0.9585
2025-07-16 00:00:08,0.0415,0.9585
2025-07-17 00:00:08,0.0415,0.9585
2025-07-18 00:00:08,0.0415,0.9585
2025-07-19 00:00:09,0.0415,0.9585
2025-07-20 00:00:08,0.0415,0.9585
2025-07-21 00:00:07,0.0415,0.9585
2025-07-22 00:00:09,0.0405,0.9595
2025-07-23 00:00:09,0.0415,0.9585
2025-07-24 00:00:09,0.0415,0.9585
2025-07-25 00:00:09,0.0415,0.9585
2025-07-26 00:00:09,0.0415,0.9585
2025-07-27 00:00:10,0.0415,0.9585
2025-07-28 00:00:09,0.0415,0.9585
2025-07-29 00:00:10,0.0415,0.9585
2025-07-30 00:00:10,0.039,0.961
2025-07-31 00:00:08,0.0415,0.9585
2025-08-01 00:00:09,0.039,0.961
2025-08-02 00:00:09,0.0405,0.9595
2025-08-03 00:00:08,0.04,0.96
2025-08-04 00:00:07,0.0395,0.9605
2025-08-05 00:00:08,0.0415,0.9585
2025-08-06 00:00:09,0.0415,0.9585
2025-08-07 00:00:08,0.039,
2025-08-08 00:00:05,0.0415,0.9585
2025-08-09 00:00:05,0.0415,
2025-08-10 00:00:10,0.0415,
2025-08-11 00:00:10,0.0415,
2025-08-12 00:00:03,0.0405,
2025-08-13 00:00:03,0.0415,
2025-08-14 00:00:04,0.0415,
2025-08-15 00:00:14,0.0415,
2025-08-16 00:00:04,0.044,
2025-08-17 00:00:07,0.039,
2025-08-18 00:00:08,0.0415,
2025-08-19 00:00:12,0.0395,
2025-08-20 00:00:07,0.0415,
2025-08-21 00:00:06,0.0415,
2025-08-22 00:00:05,0.0415,
2025-08-23 00:00:11,0.0415,
2025-08-24 00:00:04,0.0415,
2025-08-25 00:00:12,0.0415,
2025-08-26 00:00:06,0.0415,0.9585
2025-08-27 00:00:10,0.0415,
2025-08-28 00:00:06,0.0415,0.9585
2025-08-29 00:00:08,0.0415,
2025-08-30 00:00:03,0.0415,
2025-08-31 00:00:04,0.0415,
2025-09-01 00:00:10,0.0825,
2025-09-02 00:00:07,0.0825,
2025-09-03 00:00:12,0.0675,
2025-09-04 00:00:04,0.0525,
2025-09-05 00:00:10,0.035,
2025-09-06 00:00:14,0.03,
2025-09-07 00:00:13,0.03,
2025-09-08 00:00:11,0.03,
2025-09-09 00:00:15,0.03,
2025-09-10 00:00:13,0.03,
2025-09-11 00:00:07,0.03,
2025-09-12 00:00:07,0.03,
2025-09-13 00:00:10,0.03,
2025-09-14 00:00:21,0.0325,
2025-09-15 00:00:07,0.0325,
2025-09-16 00:00:10,0.0325,
2025-09-17 00:00:21,0.0325,
2025-09-18 00:00:02,0.033,
2025-09-19 00:00:09,0.0325,
2025-09-20 00:00:12,0.0325,
2025-09-21 00:00:04,0.032,
2025-09-22 00:00:09,0.032,
2025-09-23 00:00:02,0.0325,
2025-09-24 00:00:13,0.032,
2025-09-25 00:00:07,0.03,
2025-09-26 00:00:04,0.032,
2025-09-27 00:00:06,0.0315,
2025-09-28 00:00:10,0.0315,0.9685
2025-09-29 00:00:08,0.0315,
2025-09-30 00:00:09,0.0315,
2025-10-01 00:00:09,0.0315,
2025-10-02 00:00:02,0.0315,
2025-10-03 00:00:06,0.0315,
2025-10-04 00:00:08,0.0315,
2025-10-05 00:00:08,0.0315,
2025-10-06 00:00:04,0.0295,
2025-10-07 00:00:04,0.0295,
2025-10-08 00:00:04,0.0295,
2025-10-09 00:00:03,0.0295,
2025-10-10 00:00:11,0.0295,
2025-10-11 00:00:10,0.0295,
2025-10-12 00:00:18,0.0295,
2025-10-13 00:00:14,0.0295,
2025-10-14 00:00:08,0.0295,
2025-10-15 00:00:15,0.0295,
2025-10-16 00:00:12,0.0295,
2025-10-17 00:00:07,0.027,
2025-10-18 00:00:18,0.027,
2025-10-19 00:00:14,0.027,
2025-10-20 00:00:11,0.027,
2025-10-21 00:00:20,0.0265,
2025-10-22 00:00:03,0.0265,
2025-10-23 00:00:05,0.0265,
2025-10-24 00:00:04,0.0265,
2025-10-25 00:00:05,0.0265,
2025-10-26 00:00:04,0.0265,
2025-10-26 16:26:04,0.0265,
