timestamp,yes,no
2023-01-10 00:00:25,0.5,0.5
2023-01-11 00:00:44,0.5,0.5
2023-01-12 00:00:34,0.05,0.95
2023-01-13 00:00:19,0.05,0.95
2023-01-14 00:00:24,0.5,0.5
2023-01-15 00:00:41,0.5,0.5
2023-01-16 00:00:43,0.5,0.5
2023-01-17 00:00:43,0.5,0.5
2023-01-18 00:00:15,0.51,0.49
2023-01-19 00:00:05,0.51,0.49
2023-01-20 00:00:37,0.51,0.49
2023-01-21 00:00:08,0.51,0.49
2023-01-22 00:00:54,0.51,0.49
2023-01-24 00:00:12,0.51,0.5
2023-01-25 00:00:14,0.51,0.5
2023-01-26 00:00:54,0.06,0.94
2023-01-27 00:00:34,0.49,0.52
2023-01-28 00:00:35,0.49,0.52
2023-01-29 00:00:40,0.49,0.52
2023-01-30 00:00:39,0.49,0.51
2023-01-31 00:00:18,0.49,0.51
2023-02-01 00:00:10,0.49,0.51
2023-02-02 00:00:46,0.49,0.51
2023-02-03 00:00:56,0.49,0.51
2023-02-04 00:00:47,0.49,0.51
2023-02-05 00:00:32,0.48,0.53
2023-02-07 00:00:52,0.45,0.55
2023-02-09 00:00:09,0.45,0.55
2023-02-12 00:00:46,0.46,0.54
2023-02-13 00:00:17,0.46,0.54
2023-02-14 00:00:04,0.46,0.54
2023-02-15 00:00:17,0.46,0.54
2023-02-16 00:00:30,0.46,0.54
2023-02-17 00:00:47,0.46,0.54
2023-02-18 00:00:06,0.46,0.54
2023-02-19 00:00:52,0.46,0.54
2023-02-21 00:00:06,0.46,0.54
2023-02-22 00:00:19,0.46,0.54
2023-02-23 00:00:35,0.46,0.54
2023-02-24 00:00:26,0.46,0.54
2023-02-25 00:00:05,0.46,0.54
2023-02-26 00:00:29,0.46,0.54
2023-02-27 00:00:26,0.46,0.54
2023-02-28 00:00:03,0.46,0.54
2023-03-01 00:00:18,0.46,0.54
2023-03-02 00:00:26,0.46,0.54
2023-03-03 00:00:31,0.46,0.54
2023-03-04 00:00:15,0.46,0.54
2023-03-05 00:00:51,0.46,0.54
2023-03-06 00:00:14,0.46,0.54
2023-03-07 00:00:05,0.46,0.54
2023-03-08 00:00:50,0.46,0.54
2023-03-09 00:00:32,0.46,0.54
2023-03-10 00:00:35,0.46,0.54
2023-03-11 00:00:54,0.46,0.54
2023-03-12 00:00:54,0.46,0.54
2023-03-14 00:00:49,0.46,0.54
2023-03-15 00:00:25,0.46,0.54
2023-03-16 00:00:06,0.46,0.54
2023-03-17 00:00:03,0.46,0.54
2023-03-18 00:00:45,0.46,0.54
2023-03-19 00:00:22,0.46,0.54
2023-03-20 00:00:30,0.46,0.54
2023-03-21 00:00:35,0.46,0.54
2023-03-23 00:00:39,0.5,0.51
2023-03-24 00:00:48,0.5,0.51
2023-03-25 00:00:22,0.49,0.51
2023-03-26 00:00:06,0.49,0.51
2023-03-27 00:00:45,0.49,0.51
2023-03-28 00:00:19,0.49,0.51
2023-03-29 00:00:49,0.49,0.51
2023-03-30 00:00:16,0.49,0.51
2023-03-31 00:00:17,0.49,0.51
2023-04-01 00:00:48,0.49,0.51
2023-04-02 00:00:52,0.49,0.51
2023-04-03 00:00:00,0.05,0.95
2023-04-04 00:00:35,0.05,0.96
2023-04-05 00:00:24,0.05,0.96
2023-04-08 00:00:08,0.08,0.93
2023-04-09 00:00:48,0.08,0.93
2023-04-10 00:00:31,0.08,0.93
2023-04-11 00:00:29,0.06,0.95
2023-04-12 00:00:03,0.06,0.95
2023-04-13 00:00:22,0.06,0.95
2023-04-14 00:00:30,0.06,0.95
2023-04-15 00:00:26,0.48,0.53
2023-04-16 00:00:45,0.48,0.53
2023-04-17 00:00:23,0.48,0.53
2023-04-18 00:00:27,0.1,0.9
2023-04-19 00:00:23,0.1,0.9
2023-04-20 00:00:46,0.1,0.9
2023-04-21 00:00:40,0.275,0.725
2023-04-22 00:00:24,0.275,0.725
2023-04-23 00:00:24,0.275,0.725
2023-04-24 00:00:06,0.26,0.74
2023-04-25 00:00:30,0.26,0.74
2023-04-26 00:00:54,0.26,0.74
2023-04-27 00:00:53,0.255,0.745
2023-04-28 00:00:34,0.245,0.755
2023-04-30 00:00:13,0.245,0.755
2023-05-01 00:00:19,0.245,0.755
2023-05-02 00:00:47,0.05,0.95
2023-05-04 00:00:54,0.05,0.95
2023-05-05 00:00:04,0.245,0.755
2023-05-06 00:00:12,0.245,0.755
2023-05-07 00:00:24,0.245,0.755
2023-05-08 00:00:41,0.245,0.755
2023-05-09 00:00:08,0.24,0.76
2023-05-10 00:00:45,0.24,0.76
2023-05-11 00:00:36,0.215,0.785
2023-05-12 00:00:54,0.215,0.785
2023-05-13 00:00:42,0.215,0.785
2023-05-15 00:00:02,0.215,0.785
2023-05-16 00:00:23,0.215,0.785
2023-05-17 00:00:23,0.1,0.9
2023-05-18 00:00:02,0.095,0.905
2023-05-19 00:00:02,0.095,0.905
2023-05-20 00:00:02,0.095,0.905
2023-05-21 00:00:02,0.095,0.905
2023-05-22 00:00:02,0.095,0.905
2023-05-23 00:00:02,0.095,0.905
2023-05-24 00:00:02,0.095,0.905
2023-05-25 00:00:02,0.095,0.905
2023-05-26 00:00:02,0.255,0.745
2023-05-27 00:00:02,0.255,0.745
2023-05-28 00:00:02,0.255,0.745
2023-05-29 00:00:02,0.13,0.87
2023-05-30 00:00:02,0.13,0.87
2023-05-31 00:00:02,0.255,0.745
2023-06-01 00:00:02,0.255,0.745
2023-06-02 00:00:02,0.12,0.88
2023-06-03 00:00:02,0.115,0.885
2023-06-04 00:00:02,0.115,0.885
2023-06-05 00:00:02,0.115,0.885
2023-06-06 00:00:02,0.095,0.905
2023-06-07 00:00:02,0.095,0.905
2023-06-08 00:00:02,0.095,0.905
2023-06-09 00:00:02,0.095,0.905
2023-06-10 00:00:02,0.095,0.905
2023-06-11 00:00:02,0.075,0.925
2023-06-12 00:00:02,0.075,0.925
2023-06-13 00:00:02,0.07,0.93
2023-06-14 00:00:02,0.07,0.93
2023-06-15 00:00:02,0.07,0.93
2023-06-16 00:00:02,0.07,0.93
2023-06-17 00:00:02,0.07,0.93
2023-06-18 00:00:02,0.07,0.93
2023-06-19 00:00:02,0.07,0.93
2023-06-20 00:00:02,0.065,0.935
2023-06-21 00:00:02,0.065,0.935
2023-06-22 00:00:02,0.065,0.935
2023-06-23 00:00:02,0.065,0.935
2023-06-24 00:00:02,0.125,0.875
2023-06-25 00:00:02,0.125,0.875
2023-06-26 00:00:02,0.125,0.875
2023-06-27 00:00:02,0.12,0.88
2023-06-28 00:00:02,0.12,0.88
2023-06-29 00:00:02,0.12,0.88
2023-06-30 00:00:02,0.12,0.88
2023-07-01 00:00:02,0.11,0.89
2023-07-02 00:00:02,0.1,0.9
2023-07-03 00:00:02,0.1,0.9
2023-07-04 00:00:02,0.095,0.905
2023-07-05 00:00:02,0.09,0.91
2023-07-06 00:00:02,0.09,0.91
2023-07-07 00:00:02,0.09,0.91
2023-07-08 00:00:02,0.09,0.91
2023-07-09 00:00:02,0.095,0.905
2023-07-10 00:00:02,0.085,0.915
2023-07-11 00:00:02,0.085,0.915
2023-07-12 00:00:02,0.085,0.915
2023-07-13 00:00:02,0.085,0.915
2023-07-14 00:00:02,0.1,0.9
2023-07-15 00:00:02,0.095,0.905
2023-07-16 00:00:02,0.09,0.91
2023-07-17 00:00:02,0.085,0.915
2023-07-18 00:00:02,0.09,0.91
2023-07-19 00:00:02,0.09,0.91
2023-07-20 00:00:02,0.09,0.91
2023-07-21 00:00:02,0.09,0.91
2023-07-22 00:00:02,0.09,0.91
2023-07-23 00:00:02,0.09,0.91
2023-07-24 00:00:02,0.09,0.91
2023-07-25 00:00:03,0.09,0.91
2023-07-26 00:00:02,0.09,0.91
2023-07-27 00:00:02,0.085,0.915
2023-07-28 00:00:02,0.045,0.955
2023-07-29 00:00:03,0.08,0.92
2023-07-30 00:00:03,0.07,0.93
2023-07-31 00:00:02,0.07,0.93
2023-08-01 00:00:02,0.07,0.93
2023-08-02 00:00:02,0.065,0.935
2023-08-03 00:00:02,0.065,0.935
2023-08-04 00:00:02,0.065,0.935
2023-08-05 00:00:02,0.06,0.94
2023-08-06 00:00:02,0.06,0.94
2023-08-07 00:00:02,0.06,0.94
2023-08-08 00:00:02,0.06,0.94
2023-08-09 00:00:02,0.06,0.94
2023-08-10 00:00:02,0.055,0.945
2023-08-11 00:00:02,0.055,0.945
2023-08-12 00:00:02,0.055,0.945
2023-08-13 00:00:02,0.055,0.945
2023-08-14 00:00:02,0.055,0.945
2023-08-15 00:00:02,0.055,0.945
2023-08-16 00:00:02,0.055,0.945
2023-08-17 00:00:02,0.055,0.945
2023-08-18 00:00:02,0.055,0.945
2023-08-19 00:00:02,0.06,0.94
2023-08-20 00:00:02,0.06,0.94
2023-08-21 00:00:02,0.06,0.94
2023-08-22 00:00:02,0.06,0.94
2023-08-23 00:00:02,0.065,0.935
2023-08-24 00:00:02,0.08,0.92
2023-08-25 00:00:02,0.085,0.915
2023-08-26 00:00:02,0.085,0.915
2023-08-27 00:00:02,0.195,0.805
2023-08-28 00:00:02,0.185,0.815
2023-08-29 00:00:02,0.185,0.815
2023-08-30 00:00:02,0.185,0.815
2023-08-31 00:00:02,0.185,0.815
2023-09-01 00:00:02,0.185,0.815
2023-09-02 00:00:02,0.185,0.815
2023-09-03 00:00:02,0.175,0.825
2023-09-04 00:00:02,0.08,0.92
2023-09-05 00:00:02,0.08,0.92
2023-09-06 00:00:02,0.07,0.93
2023-09-07 00:00:02,0.07,0.93
2023-09-08 00:00:02,0.07,0.93
2023-09-09 00:00:02,0.07,0.93
2023-09-10 00:00:02,0.07,0.93
2023-09-11 00:00:02,0.07,0.93
2023-09-12 00:00:02,0.115,0.885
2023-09-13 00:00:02,0.115,0.885
2023-09-14 00:00:02,0.115,0.885
2023-09-15 00:00:02,0.17,0.83
2023-09-16 00:00:02,0.16,0.84
2023-09-17 00:00:02,0.155,0.845
2023-09-18 00:00:02,0.16,0.84
2023-09-19 00:00:02,0.16,0.84
2023-09-20 00:00:02,0.095,0.905
2023-09-21 00:00:02,0.08,0.92
2023-09-22 00:00:02,0.08,0.92
2023-09-23 00:00:02,0.08,0.92
2023-09-24 00:00:02,0.08,0.92
2023-09-25 00:00:02,0.08,0.92
2023-09-26 00:00:02,0.08,0.92
2023-09-27 00:00:03,0.075,0.925
2023-09-28 00:00:03,0.075,0.925
2023-09-29 00:00:02,0.075,0.925
2023-09-30 00:00:02,0.07,0.93
2023-10-01 00:00:02,0.07,0.93
2023-10-02 00:00:02,0.07,0.93
2023-10-03 00:00:02,0.075,0.925
2023-10-04 00:00:03,0.075,0.925
2023-10-05 00:00:02,0.075,0.925
2023-10-06 00:00:02,0.075,0.925
2023-10-07 00:00:02,0.075,0.925
2023-10-08 00:00:02,0.075,0.925
2023-10-09 00:00:02,0.075,0.925
2023-10-10 00:00:02,0.075,0.925
2023-10-11 00:00:02,0.07,0.93
2023-10-12 00:00:02,0.07,0.93
2023-10-13 00:00:02,0.07,0.93
2023-10-14 00:00:02,0.07,0.93
2023-10-15 00:00:02,0.07,0.93
2023-10-16 00:00:02,0.07,0.93
2023-10-17 00:00:02,0.07,0.93
2023-10-18 00:00:02,0.07,0.93
2023-10-19 00:00:02,0.07,0.93
2023-10-20 00:00:02,0.07,0.93
2023-10-21 00:00:02,0.075,0.925
2023-10-22 00:00:02,0.075,0.925
2023-10-23 00:00:02,0.075,0.925
2023-10-24 00:00:02,0.07,0.93
2023-10-25 00:00:02,0.07,0.93
2023-10-26 00:00:02,0.07,0.93
2023-10-27 00:00:02,0.07,0.93
2023-10-28 00:00:02,0.07,0.93
2023-10-29 00:00:03,0.075,0.925
2023-10-30 00:00:03,0.075,0.925
2023-10-31 00:00:02,0.075,0.925
2023-11-01 00:00:02,0.075,0.925
2023-11-02 00:00:02,0.075,0.925
2023-11-03 00:00:02,0.075,0.925
2023-11-04 00:00:02,0.075,0.925
2023-11-05 00:00:02,0.075,0.925
2023-11-06 00:00:06,0.075,0.925
2023-11-07 00:00:02,0.075,0.925
2023-11-08 00:00:02,0.07,0.93
2023-11-09 00:00:03,0.07,0.93
2023-11-10 00:00:02,0.07,0.93
2023-11-11 00:00:02,0.075,0.925
2023-11-12 00:00:02,0.075,0.925
2023-11-13 00:00:02,0.075,0.925
2023-11-14 00:00:02,0.075,0.925
2023-11-15 00:00:02,0.075,0.925
2023-11-16 00:00:02,0.075,0.925
2023-11-17 00:00:03,0.075,0.925
2023-11-18 00:00:02,0.075,0.925
2023-11-19 00:00:03,0.075,0.925
2023-11-20 00:00:02,0.075,0.925
2023-11-21 00:00:02,0.075,0.925
2023-11-22 00:00:02,0.075,0.925
2023-11-23 00:00:02,0.075,0.925
2023-11-24 00:00:02,0.16,0.84
2023-11-25 00:00:02,0.135,0.865
2023-11-26 00:00:02,0.135,0.865
2023-11-27 00:00:02,0.14,0.86
2023-11-28 00:00:02,0.14,0.86
2023-11-29 00:00:02,0.115,0.885
2023-11-30 00:00:02,0.115,0.885
2023-12-01 00:00:02,0.115,0.885
2023-12-02 00:00:03,0.11,0.89
2023-12-03 00:00:02,0.105,0.895
2023-12-04 00:00:02,0.105,0.895
2023-12-05 00:00:02,0.17,0.83
2023-12-06 00:00:03,0.175,0.825
2023-12-07 00:00:02,0.175,0.825
2023-12-08 00:00:02,0.165,0.835
2023-12-09 00:00:02,0.165,0.835
2023-12-10 00:00:02,0.125,0.875
2023-12-11 00:00:02,0.13,0.87
2023-12-12 00:00:02,0.13,0.87
2023-12-13 00:00:02,0.165,0.835
2023-12-14 00:00:02,0.11,0.89
2023-12-15 00:00:02,0.11,0.89
2023-12-16 00:00:02,0.11,0.89
2023-12-17 00:00:02,0.065,0.935
2023-12-18 00:00:02,0.08,0.92
2023-12-19 00:00:02,0.165,0.835
2023-12-20 00:00:02,0.095,0.905
2023-12-21 00:00:03,0.095,0.905
2023-12-22 00:00:02,0.165,0.835
2023-12-23 00:00:02,0.085,0.915
2023-12-24 00:00:02,0.165,0.835
2023-12-25 00:00:02,0.165,0.835
2023-12-26 00:00:02,0.165,0.835
2023-12-27 00:00:03,0.165,0.835
2023-12-28 00:00:03,0.165,0.835
2023-12-29 00:00:02,0.165,0.835
2023-12-30 00:00:02,0.165,0.835
2023-12-31 00:00:02,0.165,0.835
2024-01-01 00:00:02,0.165,0.835
2024-01-02 00:00:02,0.125,0.875
2024-01-03 00:00:02,0.155,0.845
2024-01-04 00:00:02,0.1,0.9
2024-01-05 00:00:03,0.1,0.9
2024-01-06 00:00:02,0.095,0.905
2024-01-07 00:00:02,0.15,0.85
2024-01-08 00:00:02,0.11,0.89
2024-01-09 00:00:03,0.115,0.885
2024-01-10 00:00:03,0.155,0.845
2024-01-11 00:00:03,0.13,0.87
2024-01-12 00:00:03,0.115,0.885
2024-01-13 00:00:02,0.1,0.9
2024-01-14 00:00:02,0.11,0.89
2024-01-15 00:00:03,0.11,0.89
2024-01-16 00:00:02,0.11,0.89
2024-01-17 00:00:03,0.11,0.89
2024-01-18 00:00:02,0.105,0.895
2024-01-19 00:00:02,0.11,0.89
2024-01-20 00:00:03,0.11,0.89
2024-01-21 00:00:02,0.11,0.89
2024-01-22 00:00:02,0.11,0.89
2024-01-23 00:00:03,0.1,0.9
2024-01-24 00:00:02,0.1,0.9
2024-01-25 00:00:02,0.1,0.9
2024-01-26 00:00:02,0.1,0.9
2024-01-27 00:00:02,0.11,0.89
2024-01-28 00:00:02,0.115,0.885
2024-01-29 00:00:02,0.11,0.89
2024-01-30 00:00:02,0.11,0.89
2024-01-31 00:00:02,0.105,0.895
2024-02-01 00:00:02,0.105,0.895
2024-02-02 00:00:02,0.105,0.895
2024-02-03 00:00:02,0.105,0.895
2024-02-04 00:00:03,0.105,0.895
2024-02-05 00:00:02,0.105,0.895
2024-02-06 00:00:02,0.105,0.895
2024-02-07 00:00:02,0.105,0.895
2024-02-08 00:00:02,0.105,0.895
2024-02-09 00:00:02,0.105,0.895
2024-02-10 00:00:03,0.11,0.89
2024-02-11 00:00:03,0.11,0.89
2024-02-12 00:00:03,0.11,0.89
2024-02-13 00:00:02,0.11,0.89
2024-02-14 00:00:03,0.11,0.89
2024-02-15 00:00:03,0.11,0.89
2024-02-16 00:00:03,0.11,0.89
2024-02-17 00:00:02,0.11,0.89
2024-02-18 00:00:02,0.11,0.89
2024-02-19 00:00:02,0.11,0.89
2024-02-20 00:00:02,0.11,0.89
2024-02-21 00:00:03,0.1,0.9
2024-02-22 00:00:02,0.1,0.9
2024-02-23 00:00:02,0.1,0.9
2024-02-24 00:00:02,0.1,0.9
2024-02-25 00:00:02,0.1,0.9
2024-02-26 00:00:02,0.1,0.9
2024-02-27 00:00:02,0.1,0.9
2024-02-28 00:00:03,0.1,0.9
2024-02-29 00:00:02,0.11,0.89
