timestamp,yes,no
2024-11-20 00:00:03,0.34,0.66
2024-11-21 00:00:03,0.245,0.755
2024-11-22 00:00:03,0.255,0.745
2024-11-23 00:00:04,0.255,0.745
2024-11-24 00:00:03,0.255,0.745
2024-11-25 00:00:03,0.27,0.73
2024-11-26 00:00:04,0.265,0.735
2024-11-27 00:00:03,0.275,0.725
2024-11-28 00:00:03,0.285,0.715
2024-11-29 00:00:04,0.32,0.68
2024-11-30 00:00:03,0.32,0.68
2024-12-01 00:00:03,0.335,0.665
2024-12-02 00:00:03,0.24,0.76
2024-12-03 00:00:03,0.245,0.755
2024-12-04 00:00:03,0.43,0.57
2024-12-05 00:00:03,0.345,0.655
2024-12-06 00:00:03,0.34,0.66
2024-12-07 00:00:03,0.375,0.625
2024-12-08 00:00:03,0.47,0.53
2024-12-09 00:00:02,0.425,0.575
2024-12-10 00:00:03,0.43,0.57
2024-12-11 00:00:03,0.45,0.55
2024-12-12 00:00:03,0.425,0.575
2024-12-13 00:00:03,0.355,0.645
2024-12-14 00:00:03,0.35,0.65
2024-12-15 00:00:03,0.32,0.68
2024-12-16 00:00:03,0.29,0.71
2024-12-17 00:00:04,0.285,0.715
2024-12-18 00:00:03,0.31,0.69
2024-12-19 00:00:03,0.305,0.695
2024-12-20 00:00:04,0.305,0.695
2024-12-21 00:00:03,0.305,0.695
2024-12-22 00:00:04,0.3,0.7
2024-12-23 00:00:04,0.365,0.635
2024-12-24 00:00:03,0.34,0.66
2024-12-25 00:00:03,0.5,0.5
2024-12-26 00:00:04,0.5,0.5
2024-12-27 00:00:03,0.5,0.5
2024-12-28 00:00:03,0.52,0.48
2024-12-29 00:00:03,0.52,0.48
2024-12-30 00:00:03,0.53,0.47
2024-12-31 00:00:04,0.54,0.46
2025-01-01 00:00:04,0.62,0.38
2025-01-02 00:00:03,0.56,0.44
2025-01-03 00:00:04,0.26,0.74
2025-01-04 00:00:03,0.255,0.745
2025-01-05 00:00:03,0.255,0.745
2025-01-06 00:00:03,0.305,0.695
2025-01-07 00:00:04,0.32,0.68
2025-01-08 00:00:03,0.31,0.69
2025-01-09 00:00:03,0.3,0.7
2025-01-10 00:00:04,0.26,0.74
2025-01-11 00:00:04,0.33,0.67
2025-01-12 00:00:04,0.39,0.61
2025-01-13 00:00:04,0.4,0.6
2025-01-14 00:00:03,0.39,0.61
2025-01-15 00:00:03,0.39,0.61
2025-01-16 00:00:04,0.52,0.48
2025-01-17 00:00:04,0.575,0.425
2025-01-18 00:00:04,0.55,0.45
2025-01-19 00:00:04,0.605,0.395
2025-01-20 00:00:04,0.59,0.41
2025-01-21 00:00:03,0.59,0.41
2025-01-22 00:00:03,0.695,0.305
2025-01-23 00:00:04,0.725,0.275
2025-01-24 00:00:03,0.705,0.295
2025-01-25 00:00:05,0.615,0.385
2025-01-26 00:00:04,0.58,0.42
2025-01-27 00:00:04,0.59,0.41
2025-01-28 00:00:04,0.655,0.345
2025-01-29 00:00:04,0.625,0.375
2025-01-30 00:00:05,0.38,0.62
2025-01-31 00:00:04,0.265,0.735
2025-02-01 00:00:05,0.43,0.57
2025-02-02 00:00:04,0.9985,0.0015
2025-02-03 00:00:05,0.9995,0.0005
