timestamp,yes,no
2024-06-01 00:00:03,0.5,0.5
2024-06-02 00:00:03,0.905,0.095
2024-06-03 00:00:03,0.83,0.17
2024-06-04 00:00:02,0.815,0.185
2024-06-05 00:00:02,0.815,0.185
2024-06-06 00:00:03,0.815,0.185
2024-06-07 00:00:02,0.815,0.185
2024-06-08 00:00:02,0.815,0.185
2024-06-09 00:00:03,0.805,0.195
2024-06-10 00:00:04,0.815,0.185
2024-06-11 00:00:02,0.805,0.195
2024-06-12 00:00:03,0.805,0.195
2024-06-13 00:00:03,0.805,0.195
2024-06-14 00:00:03,0.805,0.195
2024-06-15 00:00:04,0.805,0.195
2024-06-16 00:00:04,0.805,0.195
2024-06-17 00:00:04,0.805,0.195
2024-06-18 00:00:03,0.795,0.205
2024-06-19 00:00:03,0.795,0.205
2024-06-20 00:00:04,0.795,0.205
2024-06-21 00:00:03,0.63,0.37
2024-06-22 00:00:02,0.495,0.505
2024-06-23 00:00:03,0.695,0.305
2024-06-24 00:00:03,0.75,0.25
2024-06-25 00:00:03,0.745,0.255
2024-06-26 00:00:03,0.655,0.345
2024-06-27 00:00:02,0.67,0.33
2024-06-28 00:00:03,0.7,0.3
2024-06-29 00:00:02,0.685,0.315
2024-06-30 00:00:02,0.655,0.345
2024-07-01 00:00:02,0.71,0.29
2024-07-02 00:00:03,0.715,0.285
2024-07-03 00:00:02,0.675,0.325
2024-07-04 00:00:03,0.685,0.315
2024-07-05 00:00:02,0.695,0.305
2024-07-06 00:00:02,0.69,0.31
2024-07-07 00:00:02,0.69,0.31
2024-07-08 00:00:02,0.795,0.205
2024-07-09 00:00:02,0.785,0.215
2024-07-10 00:00:03,0.785,0.215
2024-07-11 00:00:03,0.785,0.215
2024-07-12 00:00:02,0.795,0.205
2024-07-13 00:00:03,0.795,0.205
2024-07-14 00:00:02,0.805,0.195
2024-07-15 00:00:03,0.795,0.205
2024-07-16 00:00:02,0.81,0.19
2024-07-17 00:00:01,0.795,0.205
2024-07-18 00:00:02,0.75,0.25
2024-07-19 00:00:01,0.775,0.225
2024-07-20 00:00:01,0.785,0.215
2024-07-21 00:00:01,0.8,0.2
2024-07-22 00:00:01,0.8,0.2
2024-07-23 00:00:01,0.83,0.17
2024-07-24 00:00:01,0.82,0.18
2024-07-25 00:00:01,0.695,0.305
2024-07-26 00:00:02,0.765,0.235
2024-07-27 00:00:02,0.825,0.175
2024-07-28 00:00:02,0.845,0.155
2024-07-29 00:00:02,0.565,0.435
2024-07-30 00:00:01,0.8445,0.1555
2024-07-31 00:00:02,0.8715,0.1285
2024-08-01 00:00:02,0.873,0.127
2024-08-02 00:00:01,0.8145,0.1855
2024-08-03 00:00:02,0.7425,0.2575
2024-08-04 00:00:01,0.6945,0.3055
2024-08-05 00:00:01,0.6655,0.3345
2024-08-06 00:00:01,0.5495,0.4505
