timestamp,yes,no
2024-06-04 00:00:02,0.69,0.31
2024-06-05 00:00:02,0.715,0.285
2024-06-06 00:00:03,0.735,0.265
2024-06-07 00:00:02,0.74,0.26
2024-06-08 00:00:02,0.74,0.26
2024-06-09 00:00:03,0.78,0.22
2024-06-10 00:00:04,0.795,0.205
2024-06-11 00:00:02,0.79,0.21
2024-06-12 00:00:03,0.79,0.21
2024-06-13 00:00:03,0.795,0.205
2024-06-14 00:00:03,0.8,0.2
2024-06-15 00:00:04,0.825,0.175
2024-06-16 00:00:04,0.815,0.185
2024-06-17 00:00:04,0.81,0.19
2024-06-18 00:00:03,0.83,0.17
2024-06-19 00:00:03,0.83,0.17
2024-06-20 00:00:04,0.865,0.135
2024-06-21 00:00:03,0.855,0.145
2024-06-22 00:00:02,0.845,0.155
2024-06-23 00:00:03,0.895,0.105
2024-06-24 00:00:03,0.9355,0.0645
2024-06-25 00:00:03,0.935,0.065
2024-06-26 00:00:03,0.89,0.11
2024-06-27 00:00:02,0.925,0.075
2024-06-28 00:00:03,0.935,0.065
2024-06-29 00:00:02,0.935,0.065
2024-06-30 00:00:02,0.934,0.066
2024-07-01 00:00:02,0.937,0.063
2024-07-02 00:00:03,0.9445,0.0555
2024-07-03 00:00:02,0.955,0.045
2024-07-04 00:00:03,0.9415,0.0585
2024-07-05 00:00:02,0.9725,0.0275
