timestamp,yes,no
2024-04-26 00:00:02,0.09,0.91
2024-04-27 00:00:03,0.045,0.955
2024-04-28 00:00:03,0.055,0.945
2024-04-29 00:00:03,0.055,0.945
2024-04-30 00:00:04,0.055,0.945
2024-05-01 00:00:03,0.055,0.945
2024-05-02 00:00:03,0.045,0.955
2024-05-03 00:00:03,0.045,0.955
2024-05-04 00:00:03,0.045,0.955
2024-05-05 00:00:03,0.045,0.955
2024-05-06 00:00:02,0.035,0.965
2024-05-07 00:00:02,0.035,0.965
2024-05-08 00:00:03,0.035,0.965
2024-05-09 00:00:03,0.035,0.965
2024-05-10 00:00:03,0.035,0.965
2024-05-11 00:00:04,0.035,0.965
2024-05-12 00:00:03,0.0575,0.9425
2024-05-13 00:00:04,0.0575,0.9425
2024-05-14 00:00:03,0.0575,0.9425
2024-05-15 00:00:04,0.0575,0.9425
2024-05-16 00:00:04,0.0575,0.9425
2024-05-17 00:00:03,0.0405,0.9595
2024-05-18 00:00:03,0.038,0.962
2024-05-19 00:00:03,0.038,0.962
2024-05-20 00:00:03,0.0355,0.9645
2024-05-21 00:00:03,0.04,0.96
2024-05-22 00:00:03,0.04,0.96
2024-05-23 00:00:03,0.359,0.641
2024-05-24 00:00:03,0.565,0.435
2024-05-25 00:00:03,0.6275,0.3725
2024-05-26 00:00:03,0.62,0.38
2024-05-27 00:00:03,0.988,0.012
2024-05-28 00:00:03,0.9965,0.0035
2024-05-29 00:00:04,0.9965,0.0035
