timestamp,yes,no
2023-04-26 00:00:54,0.25,0.75
2023-04-27 00:00:53,0.235,0.765
2023-04-28 00:00:34,0.225,0.775
2023-04-30 00:00:13,0.23,0.77
2023-05-01 00:00:19,0.23,0.77
2023-05-02 00:00:47,0.03,0.97
2023-05-04 00:00:54,0.03,0.97
2023-05-05 00:00:04,0.235,0.765
2023-05-06 00:00:12,0.23,0.77
2023-05-07 00:00:24,0.23,0.77
2023-05-08 00:00:41,0.175,0.825
2023-05-09 00:00:08,0.17,0.83
2023-05-10 00:00:45,0.075,0.925
2023-05-11 00:00:36,0.075,0.925
2023-05-12 00:00:54,0.195,0.805
2023-05-13 00:00:42,0.195,0.805
2023-05-15 00:00:02,0.195,0.805
2023-05-16 00:00:23,0.195,0.805
2023-05-17 00:00:23,0.085,0.915
2023-05-18 00:00:02,0.075,0.925
2023-05-19 00:00:02,0.075,0.925
2023-05-20 00:00:02,0.075,0.925
2023-05-21 00:00:02,0.075,0.925
2023-05-22 00:00:02,0.08,0.92
2023-05-23 00:00:02,0.075,0.925
2023-05-24 00:00:02,0.075,0.925
2023-05-25 00:00:02,0.075,0.925
2023-05-26 00:00:02,0.075,0.925
2023-05-27 00:00:02,0.075,0.925
2023-05-28 00:00:02,0.075,0.925
2023-05-29 00:00:02,0.075,0.925
2023-05-30 00:00:02,0.075,0.925
2023-05-31 00:00:02,0.065,0.935
2023-06-01 00:00:02,0.07,0.93
2023-06-02 00:00:02,0.08,0.92
2023-06-03 00:00:02,0.075,0.925
2023-06-04 00:00:02,0.075,0.925
2023-06-05 00:00:02,0.075,0.925
2023-06-06 00:00:02,0.09,0.91
2023-06-07 00:00:02,0.095,0.905
2023-06-08 00:00:02,0.085,0.915
2023-06-09 00:00:02,0.085,0.915
2023-06-10 00:00:02,0.08,0.92
2023-06-11 00:00:02,0.08,0.92
2023-06-12 00:00:02,0.08,0.92
2023-06-13 00:00:02,0.075,0.925
2023-06-14 00:00:02,0.075,0.925
2023-06-15 00:00:02,0.075,0.925
2023-06-16 00:00:02,0.08,0.92
2023-06-17 00:00:02,0.085,0.915
2023-06-18 00:00:02,0.085,0.915
2023-06-19 00:00:02,0.095,0.905
2023-06-20 00:00:02,0.105,0.895
2023-06-21 00:00:02,0.085,0.915
2023-06-22 00:00:02,0.085,0.915
2023-06-23 00:00:02,0.085,0.915
2023-06-24 00:00:02,0.085,0.915
2023-06-25 00:00:02,0.085,0.915
2023-06-26 00:00:02,0.075,0.925
2023-06-27 00:00:02,0.075,0.925
2023-06-28 00:00:02,0.07,0.93
2023-06-29 00:00:02,0.08,0.92
2023-06-30 00:00:02,0.08,0.92
2023-07-01 00:00:02,0.08,0.92
2023-07-02 00:00:02,0.075,0.925
2023-07-03 00:00:02,0.08,0.92
2023-07-04 00:00:02,0.08,0.92
2023-07-05 00:00:02,0.075,0.925
2023-07-06 00:00:02,0.07,0.93
2023-07-07 00:00:02,0.07,0.93
2023-07-08 00:00:02,0.06,0.94
2023-07-09 00:00:02,0.06,0.94
2023-07-10 00:00:02,0.065,0.935
2023-07-11 00:00:02,0.06,0.94
2023-07-12 00:00:02,0.065,0.935
2023-07-13 00:00:02,0.055,0.945
2023-07-14 00:00:02,0.06,0.94
2023-07-15 00:00:02,0.065,0.935
2023-07-16 00:00:02,0.07,0.93
2023-07-17 00:00:02,0.06,0.94
2023-07-18 00:00:02,0.075,0.925
2023-07-19 00:00:02,0.08,0.92
2023-07-20 00:00:02,0.085,0.915
2023-07-21 00:00:02,0.085,0.915
2023-07-22 00:00:02,0.1,0.9
2023-07-23 00:00:02,0.09,0.91
2023-07-24 00:00:02,0.085,0.915
2023-07-25 00:00:03,0.085,0.915
2023-07-26 00:00:02,0.075,0.925
2023-07-27 00:00:02,0.08,0.92
2023-07-28 00:00:02,0.08,0.92
2023-07-29 00:00:03,0.08,0.92
2023-07-30 00:00:03,0.075,0.925
2023-07-31 00:00:02,0.085,0.915
2023-08-01 00:00:02,0.075,0.925
2023-08-02 00:00:02,0.075,0.925
2023-08-03 00:00:02,0.075,0.925
2023-08-04 00:00:02,0.075,0.925
2023-08-05 00:00:02,0.075,0.925
2023-08-06 00:00:02,0.075,0.925
2023-08-07 00:00:02,0.075,0.925
2023-08-08 00:00:02,0.075,0.925
2023-08-09 00:00:02,0.065,0.935
2023-08-10 00:00:02,0.065,0.935
2023-08-11 00:00:02,0.07,0.93
2023-08-12 00:00:02,0.07,0.93
2023-08-13 00:00:02,0.07,0.93
2023-08-14 00:00:02,0.07,0.93
2023-08-15 00:00:02,0.075,0.925
2023-08-16 00:00:02,0.075,0.925
2023-08-17 00:00:02,0.08,0.92
2023-08-18 00:00:02,0.075,0.925
2023-08-19 00:00:02,0.075,0.925
2023-08-20 00:00:02,0.08,0.92
2023-08-21 00:00:02,0.08,0.92
2023-08-22 00:00:02,0.075,0.925
2023-08-23 00:00:02,0.075,0.925
2023-08-24 00:00:02,0.075,0.925
2023-08-25 00:00:02,0.075,0.925
2023-08-26 00:00:02,0.075,0.925
2023-08-27 00:00:02,0.075,0.925
2023-08-28 00:00:02,0.08,0.92
2023-08-29 00:00:02,0.075,0.925
2023-08-30 00:00:02,0.075,0.925
2023-08-31 00:00:02,0.08,0.92
2023-09-01 00:00:02,0.08,0.92
2023-09-02 00:00:02,0.075,0.925
2023-09-03 00:00:02,0.07,0.93
2023-09-04 00:00:02,0.07,0.93
2023-09-05 00:00:02,0.065,0.935
2023-09-06 00:00:02,0.065,0.935
2023-09-07 00:00:02,0.065,0.935
2023-09-08 00:00:02,0.065,0.935
2023-09-09 00:00:02,0.065,0.935
2023-09-10 00:00:02,0.07,0.93
2023-09-11 00:00:02,0.07,0.93
2023-09-12 00:00:02,0.07,0.93
2023-09-13 00:00:02,0.07,0.93
2023-09-14 00:00:02,0.065,0.935
2023-09-15 00:00:02,0.065,0.935
2023-09-16 00:00:02,0.065,0.935
2023-09-17 00:00:02,0.065,0.935
2023-09-18 00:00:02,0.075,0.925
2023-09-19 00:00:02,0.075,0.925
2023-09-20 00:00:02,0.075,0.925
2023-09-21 00:00:02,0.075,0.925
2023-09-22 00:00:02,0.075,0.925
2023-09-23 00:00:02,0.075,0.925
2023-09-24 00:00:02,0.075,0.925
2023-09-25 00:00:02,0.065,0.935
2023-09-26 00:00:02,0.065,0.935
2023-09-27 00:00:03,0.07,0.93
2023-09-28 00:00:03,0.065,0.935
2023-09-29 00:00:02,0.055,0.945
2023-09-30 00:00:02,0.055,0.945
2023-10-01 00:00:02,0.05,0.95
2023-10-02 00:00:02,0.05,0.95
2023-10-03 00:00:02,0.045,0.955
2023-10-04 00:00:03,0.035,0.965
2023-10-05 00:00:02,0.0335,0.9665
2023-10-06 00:00:02,0.0335,0.9665
2023-10-07 00:00:02,0.0355,0.9645
2023-10-08 00:00:02,0.0355,0.9645
2023-10-09 00:00:02,0.036,0.964
2023-10-10 00:00:02,0.0335,0.9665
2023-10-11 00:00:02,0.0335,0.9665
2023-10-12 00:00:02,0.036,0.964
2023-10-13 00:00:02,0.036,0.964
2023-10-14 00:00:02,0.036,0.964
2023-10-15 00:00:02,0.036,0.964
2023-10-16 00:00:02,0.036,0.964
2023-10-17 00:00:02,0.036,0.964
2023-10-18 00:00:02,0.0525,0.9475
2023-10-19 00:00:02,0.0525,0.9475
2023-10-20 00:00:02,0.0505,0.9495
2023-10-21 00:00:02,0.0505,0.9495
2023-10-22 00:00:02,0.049,0.951
2023-10-23 00:00:02,0.049,0.951
2023-10-24 00:00:02,0.0465,0.9535
2023-10-25 00:00:02,0.046,0.954
2023-10-26 00:00:02,0.0445,0.9555
2023-10-27 00:00:02,0.044,0.956
2023-10-28 00:00:02,0.045,0.955
2023-10-29 00:00:03,0.045,0.955
2023-10-30 00:00:03,0.045,0.955
2023-10-31 00:00:02,0.044,0.956
2023-11-01 00:00:02,0.044,0.956
2023-11-02 00:00:02,0.0415,0.9585
2023-11-03 00:00:02,0.0415,0.9585
2023-11-04 00:00:02,0.0415,0.9585
2023-11-05 00:00:02,0.05,0.95
2023-11-06 00:00:06,0.05,0.95
2023-11-07 00:00:02,0.0515,0.9485
2023-11-08 00:00:02,0.0515,0.9485
2023-11-09 00:00:03,0.0565,0.9435
2023-11-10 00:00:02,0.0565,0.9435
2023-11-11 00:00:02,0.0515,0.9485
2023-11-12 00:00:02,0.049,0.951
2023-11-13 00:00:02,0.0515,0.9485
2023-11-14 00:00:02,0.0515,0.9485
2023-11-15 00:00:02,0.0515,0.9485
2023-11-16 00:00:02,0.0515,0.9485
2023-11-17 00:00:03,0.0515,0.9485
2023-11-18 00:00:02,0.0515,0.9485
2023-11-19 00:00:03,0.0515,0.9485
2023-11-20 00:00:02,0.052,0.948
2023-11-21 00:00:02,0.0665,0.9335
2023-11-22 00:00:02,0.0665,0.9335
2023-11-23 00:00:02,0.069,0.931
2023-11-24 00:00:02,0.0635,0.9365
2023-11-25 00:00:02,0.0625,0.9375
2023-11-26 00:00:02,0.0665,0.9335
2023-11-27 00:00:02,0.061,0.939
2023-11-28 00:00:02,0.0615,0.9385
2023-11-29 00:00:02,0.06,0.94
2023-11-30 00:00:02,0.06,0.94
2023-12-01 00:00:02,0.06,0.94
2023-12-02 00:00:03,0.06,0.94
2023-12-03 00:00:02,0.052,0.948
2023-12-04 00:00:02,0.052,0.948
2023-12-05 00:00:02,0.0395,0.9605
2023-12-06 00:00:03,0.038,0.962
2023-12-07 00:00:02,0.0355,0.9645
2023-12-08 00:00:02,0.0355,0.9645
2023-12-09 00:00:02,0.0355,0.9645
2023-12-10 00:00:02,0.039,0.961
2023-12-11 00:00:02,0.039,0.961
2023-12-12 00:00:02,0.039,0.961
2023-12-13 00:00:02,0.0425,0.9575
2023-12-14 00:00:02,0.0425,0.9575
2023-12-15 00:00:02,0.0425,0.9575
2023-12-16 00:00:02,0.0495,0.9505
2023-12-17 00:00:02,0.0495,0.9505
2023-12-18 00:00:02,0.0495,0.9505
2023-12-19 00:00:02,0.0495,0.9505
2023-12-20 00:00:02,0.0485,0.9515
2023-12-21 00:00:03,0.0485,0.9515
2023-12-22 00:00:02,0.0485,0.9515
2023-12-23 00:00:02,0.0485,0.9515
2023-12-24 00:00:02,0.045,0.955
2023-12-25 00:00:02,0.045,0.955
2023-12-26 00:00:02,0.045,0.955
2023-12-27 00:00:03,0.046,0.954
2023-12-28 00:00:03,0.046,0.954
2023-12-29 00:00:02,0.046,0.954
2023-12-30 00:00:02,0.046,0.954
2023-12-31 00:00:02,0.046,0.954
2024-01-01 00:00:02,0.046,0.954
2024-01-02 00:00:02,0.0435,0.9565
2024-01-03 00:00:02,0.041,0.959
2024-01-04 00:00:02,0.045,0.955
2024-01-05 00:00:03,0.055,0.945
2024-01-06 00:00:02,0.0505,0.9495
2024-01-07 00:00:02,0.0495,0.9505
2024-01-08 00:00:02,0.049,0.951
2024-01-09 00:00:03,0.0485,0.9515
2024-01-10 00:00:03,0.059,0.941
2024-01-11 00:00:03,0.0525,0.9475
2024-01-12 00:00:03,0.0505,0.9495
2024-01-13 00:00:02,0.0495,0.9505
2024-01-14 00:00:02,0.0525,0.9475
2024-01-15 00:00:03,0.05,0.95
2024-01-16 00:00:02,0.056,0.944
2024-01-17 00:00:03,0.0475,0.9525
2024-01-18 00:00:02,0.0425,0.9575
2024-01-19 00:00:02,0.0415,0.9585
2024-01-20 00:00:03,0.0415,0.9585
2024-01-21 00:00:02,0.0425,0.9575
2024-01-22 00:00:02,0.0425,0.9575
2024-01-23 00:00:03,0.0435,0.9565
2024-01-24 00:00:02,0.044,0.956
2024-01-25 00:00:02,0.044,0.956
2024-01-26 00:00:02,0.0435,0.9565
2024-01-27 00:00:02,0.0425,0.9575
2024-01-28 00:00:02,0.0385,0.9615
2024-01-29 00:00:02,0.0385,0.9615
2024-01-30 00:00:02,0.0385,0.9615
2024-01-31 00:00:02,0.0385,0.9615
2024-02-01 00:00:02,0.0585,0.9415
2024-02-02 00:00:02,0.0585,0.9415
2024-02-03 00:00:02,0.06,0.94
2024-02-04 00:00:03,0.06,0.94
2024-02-05 00:00:02,0.062,0.938
2024-02-06 00:00:02,0.0595,0.9405
2024-02-07 00:00:02,0.0595,0.9405
2024-02-08 00:00:02,0.0595,0.9405
2024-02-09 00:00:02,0.0595,0.9405
2024-02-10 00:00:03,0.062,0.938
2024-02-11 00:00:03,0.062,0.938
2024-02-12 00:00:03,0.0615,0.9385
2024-02-13 00:00:02,0.0615,0.9385
2024-02-14 00:00:03,0.062,0.938
2024-02-15 00:00:03,0.062,0.938
2024-02-16 00:00:03,0.062,0.938
2024-02-17 00:00:02,0.062,0.938
2024-02-18 00:00:02,0.0625,0.9375
2024-02-19 00:00:02,0.0625,0.9375
2024-02-20 00:00:02,0.0625,0.9375
2024-02-21 00:00:03,0.0575,0.9425
2024-02-22 00:00:02,0.0575,0.9425
2024-02-23 00:00:02,0.0575,0.9425
2024-02-24 00:00:02,0.0575,0.9425
2024-02-25 00:00:02,0.062,0.938
2024-02-26 00:00:02,0.0625,0.9375
2024-02-27 00:00:02,0.05,0.95
2024-02-28 00:00:03,0.05,0.95
2024-02-29 00:00:02,0.062,0.938
2024-03-01 00:00:02,0.0575,0.9425
2024-03-02 00:00:03,0.0575,0.9425
2024-03-03 00:00:03,0.0575,0.9425
2024-03-04 00:00:03,0.0575,0.9425
2024-03-05 00:00:03,0.065,0.935
2024-03-06 00:00:03,0.065,0.935
2024-03-07 00:00:02,0.0565,0.9435
2024-03-08 00:00:02,0.057,0.943
2024-03-09 00:00:03,0.057,0.943
2024-03-10 00:00:02,0.057,0.943
