timestamp,yes,no
2024-03-27 00:00:03,0.61,0.39
2024-03-28 00:00:03,0.605,0.395
2024-03-29 00:00:02,0.595,0.405
2024-03-30 00:00:02,0.595,0.405
2024-03-31 00:00:03,0.595,0.405
2024-04-01 00:00:02,0.595,0.405
2024-04-02 00:00:03,0.595,0.405
2024-04-03 00:00:03,0.605,0.395
2024-04-04 00:00:03,0.615,0.385
2024-04-05 00:00:03,0.64,0.36
2024-04-06 00:00:03,0.64,0.36
2024-04-07 00:00:02,0.64,0.36
2024-04-08 00:00:03,0.64,0.36
2024-04-09 00:00:03,0.64,0.36
2024-04-10 00:00:03,0.64,0.36
2024-04-11 00:00:03,0.64,0.36
2024-04-12 00:00:03,0.64,0.36
2024-04-13 00:00:02,0.64,0.36
2024-04-14 00:00:03,0.64,0.36
2024-04-15 00:00:03,0.64,0.36
2024-04-16 00:00:03,0.64,0.36
2024-04-17 00:00:03,0.64,0.36
2024-04-18 00:00:03,0.635,0.365
2024-04-19 00:00:03,0.64,0.36
2024-04-20 00:00:02,0.64,0.36
2024-04-21 00:00:03,0.665,0.335
2024-04-22 00:00:03,0.69,0.31
2024-04-23 00:00:02,0.69,0.31
2024-04-24 00:00:03,0.685,0.315
2024-04-25 00:00:03,0.68,0.32
2024-04-26 00:00:02,0.675,0.325
2024-04-27 00:00:03,0.675,0.325
2024-04-28 00:00:03,0.675,0.325
2024-04-29 00:00:03,0.66,0.34
2024-04-30 00:00:04,0.66,0.34
2024-05-01 00:00:03,0.66,0.34
2024-05-02 00:00:03,0.66,0.34
2024-05-03 00:00:03,0.685,0.315
2024-05-04 00:00:03,0.705,0.295
2024-05-05 00:00:03,0.715,0.285
2024-05-06 00:00:02,0.715,0.285
2024-05-07 00:00:02,0.76,0.24
2024-05-08 00:00:03,0.795,0.205
2024-05-09 00:00:03,0.795,0.205
2024-05-10 00:00:03,0.8,0.2
2024-05-11 00:00:04,0.83,0.17
2024-05-12 00:00:03,0.835,0.165
2024-05-13 00:00:04,0.825,0.175
2024-05-14 00:00:03,0.815,0.185
2024-05-15 00:00:04,0.815,0.185
2024-05-16 00:00:04,0.815,0.185
2024-05-17 00:00:03,0.88,0.12
2024-05-18 00:00:03,0.875,0.125
2024-05-19 00:00:03,0.875,0.125
2024-05-20 00:00:03,0.88,0.12
2024-05-21 00:00:03,0.88,0.12
2024-05-22 00:00:03,0.88,0.12
2024-05-23 00:00:03,0.88,0.12
2024-05-24 00:00:03,0.88,0.12
2024-05-25 00:00:03,0.88,0.12
2024-05-26 00:00:03,0.88,0.12
2024-05-27 00:00:03,0.88,0.12
2024-05-28 00:00:03,0.88,0.12
2024-05-29 00:00:04,0.88,0.12
2024-05-30 00:00:03,0.88,0.12
2024-05-31 00:00:03,0.875,0.125
2024-06-01 00:00:03,0.87,0.13
2024-06-02 00:00:03,0.87,0.13
2024-06-03 00:00:03,0.875,0.125
2024-06-04 00:00:02,0.875,0.125
2024-06-05 00:00:02,0.875,0.125
2024-06-06 00:00:03,0.885,0.115
2024-06-07 00:00:02,0.885,0.115
2024-06-08 00:00:02,0.92,0.08
2024-06-09 00:00:03,0.92,0.08
2024-06-10 00:00:04,0.92,0.08
2024-06-11 00:00:02,0.925,0.075
2024-06-12 00:00:03,0.925,0.075
2024-06-13 00:00:03,0.925,0.075
2024-06-14 00:00:03,0.93,0.07
2024-06-15 00:00:04,0.93,0.07
2024-06-16 00:00:04,0.945,0.055
2024-06-17 00:00:04,0.96,0.04
2024-06-18 00:00:03,0.945,0.055
2024-06-19 00:00:03,0.945,0.055
2024-06-20 00:00:04,0.94,0.06
2024-06-21 00:00:03,0.935,0.065
2024-06-22 00:00:02,0.935,0.065
2024-06-23 00:00:03,0.82,0.18
2024-06-24 00:00:03,0.915,0.085
2024-06-25 00:00:03,0.825,0.175
2024-06-26 00:00:03,0.49,0.51
2024-06-27 00:00:02,0.525,0.475
2024-06-28 00:00:03,0.515,0.485
2024-06-29 00:00:02,0.555,0.445
2024-06-30 00:00:02,0.96,0.04
2024-07-01 00:00:02,0.945,0.055
2024-07-02 00:00:03,0.9625,0.0375
2024-07-03 00:00:02,0.96,0.04
2024-07-04 00:00:03,0.96,0.04
2024-07-05 00:00:02,0.9605,0.0395
2024-07-06 00:00:02,0.9595,0.0405
2024-07-07 00:00:02,0.9605,0.0395
2024-07-08 00:00:02,0.9795,0.0205
2024-07-09 00:00:02,0.9835,0.0165
2024-07-10 00:00:03,0.987,0.013
2024-07-11 00:00:03,0.9805,0.0195
2024-07-12 00:00:02,0.982,0.018
2024-07-13 00:00:03,0.983,0.017
2024-07-14 00:00:02,0.975,0.025
2024-07-15 00:00:03,0.9765,0.0235
2024-07-16 00:00:02,0.9985,0.0015
