timestamp,yes,no
2024-03-27 00:00:03,0.045,0.955
2024-03-28 00:00:03,0.065,0.935
2024-03-29 00:00:02,0.055,0.945
2024-03-30 00:00:02,0.06,0.94
2024-03-31 00:00:03,0.06,0.94
2024-04-01 00:00:02,0.06,0.94
2024-04-02 00:00:03,0.055,0.945
2024-04-03 00:00:03,0.055,0.945
2024-04-04 00:00:03,0.055,0.945
2024-04-05 00:00:03,0.055,0.945
2024-04-06 00:00:03,0.055,0.945
2024-04-07 00:00:02,0.055,0.945
2024-04-08 00:00:03,0.055,0.945
2024-04-09 00:00:03,0.055,0.945
2024-04-10 00:00:03,0.055,0.945
2024-04-11 00:00:03,0.055,0.945
2024-04-12 00:00:03,0.055,0.945
2024-04-13 00:00:02,0.055,0.945
2024-04-14 00:00:03,0.0345,0.9655
2024-04-15 00:00:03,0.0335,0.9665
2024-04-16 00:00:03,0.0335,0.9665
2024-04-17 00:00:03,0.0335,0.9665
2024-04-18 00:00:03,0.033,0.967
2024-04-19 00:00:03,0.033,0.967
2024-04-20 00:00:02,0.0325,0.9675
2024-04-21 00:00:03,0.032,0.968
2024-04-22 00:00:03,0.0315,0.9685
2024-04-23 00:00:02,0.0265,0.9735
2024-04-24 00:00:03,0.0265,0.9735
2024-04-25 00:00:03,0.0265,0.9735
2024-04-26 00:00:02,0.025,0.975
2024-04-27 00:00:03,0.021,0.979
2024-04-28 00:00:03,0.019,0.981
2024-04-29 00:00:03,0.0195,0.9805
2024-04-30 00:00:04,0.018,0.982
2024-05-01 00:00:03,0.0175,0.9825
2024-05-02 00:00:03,0.017,0.983
2024-05-03 00:00:03,0.0175,0.9825
2024-05-04 00:00:03,0.017,0.983
2024-05-05 00:00:03,0.0125,0.9875
2024-05-06 00:00:02,0.012,0.988
2024-05-07 00:00:02,0.008,0.992
2024-05-08 00:00:03,0.008,0.992
2024-05-09 00:00:03,0.008,0.992
2024-05-10 00:00:03,0.008,0.992
2024-05-11 00:00:04,0.004,0.996
2024-05-12 00:00:03,0.004,0.996
2024-05-13 00:00:04,0.017,0.983
2024-05-14 00:00:03,0.0195,0.9805
2024-05-15 00:00:04,0.012,0.988
2024-05-16 00:00:04,0.012,0.988
2024-05-17 00:00:03,0.0145,0.9855
2024-05-18 00:00:03,0.0135,0.9865
2024-05-19 00:00:03,0.011,0.989
2024-05-20 00:00:03,0.012,0.988
2024-05-21 00:00:03,0.012,0.988
2024-05-22 00:00:03,0.011,0.989
2024-05-23 00:00:03,0.011,0.989
2024-05-24 00:00:03,0.011,0.989
2024-05-25 00:00:03,0.0095,0.9905
2024-05-26 00:00:03,0.01,0.99
2024-05-27 00:00:03,0.0115,0.9885
2024-05-28 00:00:03,0.0105,0.9895
2024-05-29 00:00:04,0.0105,0.9895
2024-05-30 00:00:03,0.01,0.99
2024-05-31 00:00:03,0.0075,0.9925
2024-06-01 00:00:03,0.0045,0.9955
