timestamp,yes,no
2024-03-27 00:00:03,0.0445,0.9555
2024-03-28 00:00:03,0.0425,0.9575
2024-03-29 00:00:02,0.031,0.969
2024-03-30 00:00:02,0.0305,0.9695
2024-03-31 00:00:03,0.0305,0.9695
2024-04-01 00:00:02,0.0305,0.9695
2024-04-02 00:00:03,0.0305,0.9695
2024-04-03 00:00:03,0.0315,0.9685
2024-04-04 00:00:03,0.0315,0.9685
2024-04-05 00:00:03,0.0315,0.9685
2024-04-06 00:00:03,0.0325,0.9675
2024-04-07 00:00:02,0.0325,0.9675
2024-04-08 00:00:03,0.032,0.968
2024-04-09 00:00:03,0.032,0.968
2024-04-10 00:00:03,0.032,0.968
2024-04-11 00:00:03,0.032,0.968
2024-04-12 00:00:03,0.032,0.968
2024-04-13 00:00:02,0.032,0.968
2024-04-14 00:00:03,0.046,0.954
2024-04-15 00:00:03,0.048,0.952
2024-04-16 00:00:03,0.048,0.952
2024-04-17 00:00:03,0.048,0.952
2024-04-18 00:00:03,0.0505,0.9495
2024-04-19 00:00:03,0.0505,0.9495
2024-04-20 00:00:02,0.0505,0.9495
2024-04-21 00:00:03,0.0505,0.9495
2024-04-22 00:00:03,0.051,0.949
2024-04-23 00:00:02,0.051,0.949
2024-04-24 00:00:03,0.051,0.949
2024-04-25 00:00:03,0.0505,0.9495
2024-04-26 00:00:02,0.0505,0.9495
2024-04-27 00:00:03,0.05,0.95
2024-04-28 00:00:03,0.05,0.95
2024-04-29 00:00:03,0.05,0.95
2024-04-30 00:00:04,0.0345,0.9655
2024-05-01 00:00:03,0.0345,0.9655
2024-05-02 00:00:03,0.0345,0.9655
2024-05-03 00:00:03,0.0335,0.9665
2024-05-04 00:00:03,0.0335,0.9665
2024-05-05 00:00:03,0.033,0.967
2024-05-06 00:00:02,0.0325,0.9675
2024-05-07 00:00:02,0.03,0.97
2024-05-08 00:00:03,0.0275,0.9725
2024-05-09 00:00:03,0.0275,0.9725
2024-05-10 00:00:03,0.0275,0.9725
2024-05-11 00:00:04,0.0195,0.9805
2024-05-12 00:00:03,0.0195,0.9805
2024-05-13 00:00:04,0.0165,0.9835
2024-05-14 00:00:03,0.0165,0.9835
2024-05-15 00:00:04,0.0165,0.9835
2024-05-16 00:00:04,0.0165,0.9835
2024-05-17 00:00:03,0.027,0.973
2024-05-18 00:00:03,0.027,0.973
2024-05-19 00:00:03,0.027,0.973
2024-05-20 00:00:03,0.027,0.973
2024-05-21 00:00:03,0.027,0.973
2024-05-22 00:00:03,0.027,0.973
2024-05-23 00:00:03,0.027,0.973
2024-05-24 00:00:03,0.0265,0.9735
2024-05-25 00:00:03,0.0265,0.9735
2024-05-26 00:00:03,0.0265,0.9735
2024-05-27 00:00:03,0.0265,0.9735
2024-05-28 00:00:03,0.0265,0.9735
2024-05-29 00:00:04,0.0265,0.9735
2024-05-30 00:00:03,0.027,0.973
2024-05-31 00:00:03,0.029,0.971
2024-06-01 00:00:03,0.029,0.971
2024-06-02 00:00:03,0.029,0.971
2024-06-03 00:00:03,0.0295,0.9705
2024-06-04 00:00:02,0.03,0.97
2024-06-05 00:00:02,0.0305,0.9695
2024-06-06 00:00:03,0.0295,0.9705
2024-06-07 00:00:02,0.028,0.972
2024-06-08 00:00:02,0.026,0.974
2024-06-09 00:00:03,0.0265,0.9735
2024-06-10 00:00:04,0.0265,0.9735
2024-06-11 00:00:02,0.0265,0.9735
2024-06-12 00:00:03,0.0275,0.9725
2024-06-13 00:00:03,0.0275,0.9725
2024-06-14 00:00:03,0.0295,0.9705
2024-06-15 00:00:04,0.0295,0.9705
2024-06-16 00:00:04,0.0295,0.9705
2024-06-17 00:00:04,0.0295,0.9705
2024-06-18 00:00:03,0.0305,0.9695
2024-06-19 00:00:03,0.0305,0.9695
2024-06-20 00:00:04,0.0425,0.9575
2024-06-21 00:00:03,0.0425,0.9575
2024-06-22 00:00:02,0.042,0.958
2024-06-23 00:00:03,0.028,0.972
2024-06-24 00:00:03,0.021,0.979
2024-06-25 00:00:03,0.021,0.979
2024-06-26 00:00:03,0.0205,0.9795
2024-06-27 00:00:02,0.0205,0.9795
2024-06-28 00:00:03,0.0225,0.9775
2024-06-29 00:00:02,0.0235,0.9765
2024-06-30 00:00:02,0.022,0.978
2024-07-01 00:00:02,0.022,0.978
2024-07-02 00:00:03,0.024,0.976
2024-07-03 00:00:02,0.024,0.976
2024-07-04 00:00:03,0.031,0.969
2024-07-05 00:00:02,0.031,0.969
2024-07-06 00:00:02,0.0375,0.9625
2024-07-07 00:00:02,0.0375,0.9625
2024-07-08 00:00:02,0.016,0.984
2024-07-09 00:00:02,0.018,0.982
2024-07-10 00:00:03,0.018,0.982
2024-07-11 00:00:03,0.0185,0.9815
2024-07-12 00:00:02,0.0175,0.9825
2024-07-13 00:00:03,0.017,0.983
2024-07-14 00:00:02,0.024,0.976
2024-07-15 00:00:03,0.019,0.981
2024-07-16 00:00:02,0.0005,0.9995
