timestamp,yes,no
2024-05-03 00:00:03,0.645,0.355
2024-05-04 00:00:03,0.645,0.355
2024-05-05 00:00:03,0.64,0.36
2024-05-06 00:00:02,0.625,0.375
2024-05-07 00:00:02,0.63,0.37
2024-05-08 00:00:03,0.63,0.37
2024-05-09 00:00:03,0.63,0.37
2024-05-10 00:00:03,0.63,0.37
2024-05-11 00:00:04,0.63,0.37
2024-05-12 00:00:03,0.63,0.37
2024-05-13 00:00:04,0.63,0.37
2024-05-14 00:00:03,0.63,0.37
2024-05-15 00:00:04,0.63,0.37
2024-05-16 00:00:04,0.63,0.37
2024-05-17 00:00:03,0.63,0.37
2024-05-18 00:00:03,0.63,0.37
2024-05-19 00:00:03,0.63,0.37
2024-05-20 00:00:03,0.63,0.37
2024-05-21 00:00:03,0.63,0.37
2024-05-22 00:00:03,0.63,0.37
2024-05-23 00:00:03,0.63,0.37
2024-05-24 00:00:03,0.63,0.37
2024-05-25 00:00:03,0.63,0.37
2024-05-26 00:00:03,0.63,0.37
2024-05-27 00:00:03,0.63,0.37
2024-05-28 00:00:03,0.63,0.37
2024-05-29 00:00:04,0.635,0.365
2024-05-30 00:00:03,0.635,0.365
2024-05-31 00:00:03,0.635,0.365
2024-06-01 00:00:03,0.635,0.365
2024-06-02 00:00:03,0.635,0.365
2024-06-03 00:00:03,0.635,0.365
2024-06-04 00:00:02,0.63,0.37
2024-06-05 00:00:02,0.63,0.37
2024-06-06 00:00:03,0.63,0.37
2024-06-07 00:00:02,0.63,0.37
2024-06-08 00:00:02,0.63,0.37
2024-06-09 00:00:03,0.63,0.37
2024-06-10 00:00:04,0.63,0.37
2024-06-11 00:00:02,0.63,0.37
2024-06-12 00:00:03,0.63,0.37
2024-06-13 00:00:03,0.63,0.37
2024-06-14 00:00:03,0.63,0.37
2024-06-15 00:00:04,0.625,0.375
2024-06-16 00:00:04,0.625,0.375
2024-06-17 00:00:04,0.625,0.375
2024-06-18 00:00:03,0.495,0.505
2024-06-19 00:00:03,0.495,0.505
2024-06-20 00:00:04,0.495,0.505
2024-06-21 00:00:03,0.52,0.48
2024-06-22 00:00:02,0.52,0.48
2024-06-23 00:00:03,0.52,0.48
2024-06-24 00:00:03,0.77,0.23
2024-06-25 00:00:03,0.77,0.23
2024-06-26 00:00:03,0.77,0.23
2024-06-27 00:00:02,0.65,0.35
2024-06-28 00:00:03,0.525,0.475
2024-06-29 00:00:02,0.525,0.475
2024-06-30 00:00:02,0.525,0.475
2024-07-01 00:00:02,0.3,0.7
2024-07-02 00:00:03,0.3,0.7
2024-07-03 00:00:02,0.3,0.7
2024-07-04 00:00:03,0.3,0.7
2024-07-05 00:00:02,0.3,0.7
2024-07-06 00:00:02,0.3,0.7
2024-07-07 00:00:02,0.3,0.7
2024-07-08 00:00:02,0.3,0.7
2024-07-09 00:00:02,0.3,0.7
2024-07-10 00:00:03,0.3,0.7
2024-07-11 00:00:03,0.3,0.7
2024-07-12 00:00:02,0.3,0.7
2024-07-13 00:00:03,0.3,0.7
2024-07-14 00:00:02,0.3,0.7
2024-07-15 00:00:03,0.4,0.6
2024-07-16 00:00:02,0.475,0.525
2024-07-17 00:00:01,0.475,0.525
2024-07-18 00:00:02,0.475,0.525
2024-07-19 00:00:01,0.68,0.32
2024-07-20 00:00:01,0.68,0.32
2024-07-21 00:00:01,0.765,0.235
2024-07-22 00:00:01,0.765,0.235
2024-07-23 00:00:01,0.765,0.235
2024-07-24 00:00:01,0.765,0.235
2024-07-25 00:00:01,0.765,0.235
2024-07-26 00:00:02,0.765,0.235
2024-07-27 00:00:02,0.575,0.425
2024-07-28 00:00:02,0.675,0.325
2024-07-29 00:00:02,0.675,0.325
2024-07-30 00:00:01,0.765,0.235
2024-07-31 00:00:02,0.775,0.225
2024-08-01 00:00:02,0.785,0.215
2024-08-02 00:00:01,0.83,0.17
2024-08-03 00:00:02,0.825,0.175
2024-08-04 00:00:01,0.815,0.185
2024-08-05 00:00:01,0.81,0.19
2024-08-06 00:00:01,0.81,0.19
2024-08-07 00:00:01,0.625,0.375
