timestamp,yes,no
2025-04-23 00:00:07,0.775,0.225
2025-04-24 00:00:06,0.775,0.225
2025-04-25 00:00:06,0.775,0.225
2025-04-26 00:00:06,0.775,0.225
2025-04-27 00:00:05,0.775,0.225
2025-04-28 00:00:05,0.775,0.225
2025-04-29 00:00:05,0.775,0.225
2025-04-30 00:00:06,0.775,0.225
2025-05-01 00:00:06,0.775,0.225
2025-05-02 00:00:06,0.775,0.225
2025-05-03 00:00:06,0.775,0.225
2025-05-04 00:00:05,0.775,0.225
2025-05-05 00:00:05,0.775,0.225
2025-05-06 00:00:06,0.775,0.225
2025-05-07 00:00:05,0.775,0.225
2025-05-08 00:00:06,0.815,0.185
2025-05-09 00:00:07,0.825,0.175
2025-05-10 00:00:06,0.825,0.175
2025-05-11 00:00:06,0.825,0.175
2025-05-12 00:00:06,0.83,0.17
2025-05-13 00:00:06,0.83,0.17
2025-05-14 00:00:07,0.83,0.17
2025-05-15 00:00:07,0.83,0.17
2025-05-16 00:00:06,0.83,0.17
2025-05-17 00:00:07,0.83,0.17
2025-05-18 00:00:06,0.825,0.175
2025-05-19 00:00:06,0.825,0.175
2025-05-20 00:00:06,0.86,0.14
2025-05-21 00:00:06,0.865,0.135
2025-05-22 00:00:07,0.865,0.135
2025-05-23 00:00:07,0.865,0.135
2025-05-24 00:00:07,0.865,0.135
2025-05-25 00:00:06,0.865,0.135
2025-05-26 00:00:07,0.865,0.135
2025-05-27 00:00:06,0.865,0.135
2025-05-28 00:00:06,0.865,0.135
2025-05-29 00:00:07,0.865,0.135
2025-05-30 00:00:07,0.84,0.16
2025-05-31 00:00:07,0.825,0.175
2025-06-01 00:00:07,0.83,0.17
2025-06-02 00:00:06,0.83,0.17
2025-06-03 00:00:07,0.8,0.2
2025-06-04 00:00:06,0.8,0.2
2025-06-05 00:00:06,0.805,0.195
2025-06-06 00:00:06,0.78,0.22
2025-06-07 00:00:07,0.75,0.25
2025-06-08 00:00:07,0.735,0.265
2025-06-09 00:00:07,0.735,0.265
2025-06-10 00:00:06,0.695,0.305
2025-06-11 00:00:07,0.68,0.32
2025-06-12 00:00:07,0.605,0.395
2025-06-13 00:00:07,0.525,0.475
2025-06-14 00:00:08,0.55,0.45
2025-06-15 00:00:08,0.565,0.435
2025-06-16 00:00:07,0.6,0.4
2025-06-17 00:00:08,0.65,0.35
2025-06-18 00:00:08,0.725,0.275
2025-06-19 00:00:07,0.77,0.23
2025-06-20 00:00:08,0.765,0.235
2025-06-21 00:00:08,0.73,0.27
2025-06-22 00:00:06,0.715,0.285
2025-06-23 00:00:07,0.66,0.34
2025-06-24 00:00:07,0.51,0.49
2025-06-25 00:00:07,0.47,0.53
2025-06-26 00:00:08,0.003,0.997
2025-06-27 00:00:07,0.0475,0.9525
2025-06-28 00:00:07,0.1105,0.8895
2025-06-29 00:00:08,0.091,0.909
