timestamp,yes,no
2025-07-19 00:00:09,0.03,0.97
2025-07-20 00:00:08,0.0345,0.9655
2025-07-21 00:00:07,0.0345,0.9655
2025-07-22 00:00:09,0.036,0.964
2025-07-23 00:00:09,0.039,0.961
2025-07-24 00:00:09,0.0425,0.9575
2025-07-25 00:00:09,0.042,0.958
2025-07-26 00:00:09,0.0425,0.9575
2025-07-27 00:00:10,0.0855,0.9145
2025-07-28 00:00:09,0.0735,0.9265
2025-07-29 00:00:10,0.074,0.926
2025-07-30 00:00:10,0.0735,0.9265
2025-07-31 00:00:08,0.0995,0.9005
2025-08-01 00:00:09,0.082,0.918
2025-08-02 00:00:09,0.0795,0.9205
2025-08-03 00:00:08,0.068,0.932
2025-08-04 00:00:07,0.066,0.934
2025-08-05 00:00:08,0.0575,0.9425
2025-08-06 00:00:09,0.064,0.936
2025-08-07 00:00:05,0.063,
2025-08-08 00:00:07,0.063,
2025-08-09 00:00:10,0.0625,
2025-08-10 00:00:07,0.0645,
2025-08-11 00:00:11,0.063,
2025-08-12 00:00:08,0.062,
2025-08-13 00:00:03,0.06,
2025-08-14 00:00:07,0.057,
2025-08-15 00:00:13,0.056,
2025-08-16 00:00:09,0.048,
2025-08-17 00:00:05,0.052,
2025-08-18 00:00:02,0.054,
2025-08-19 00:00:14,0.057,0.943
2025-08-20 00:00:03,0.057,
2025-08-21 00:00:04,0.058,
2025-08-22 00:00:05,0.055,0.945
2025-08-23 00:00:11,0.0505,0.9495
2025-08-24 00:00:05,0.0515,
2025-08-25 00:00:11,0.0515,
2025-08-26 00:00:02,0.0485,
2025-08-27 00:00:15,0.0505,
2025-08-28 00:00:05,0.049,
2025-08-29 00:00:05,0.0495,
2025-08-30 00:00:10,0.0485,
2025-08-31 00:00:06,0.049,0.951
2025-09-01 00:00:11,0.052,
2025-09-02 00:00:08,0.052,
2025-09-03 00:00:04,0.0515,
2025-09-04 00:00:08,0.051,
2025-09-05 00:00:10,0.0515,
2025-09-06 00:00:14,0.052,
2025-09-07 00:00:06,0.0465,
2025-09-08 00:00:12,0.0455,0.9545
2025-09-09 00:00:04,0.0405,
2025-09-10 00:00:12,0.0405,
2025-09-11 00:00:02,0.0405,
2025-09-12 00:00:27,0.041,
2025-09-13 00:00:05,0.0405,
2025-09-14 00:00:18,0.0405,
2025-09-15 00:00:13,0.0405,
2025-09-16 00:00:10,0.0405,
2025-09-17 00:00:09,0.038,
2025-09-18 00:00:08,0.0365,
2025-09-19 00:00:10,0.036,
2025-09-20 00:00:17,0.036,
2025-09-21 00:00:08,0.0365,
2025-09-22 00:00:14,0.037,
2025-09-23 00:00:12,0.036,
2025-09-24 00:00:19,0.037,
2025-09-25 00:00:04,0.0365,
2025-09-26 00:00:10,0.0365,
2025-09-27 00:00:09,0.037,
2025-09-28 00:00:07,0.0365,
2025-09-29 00:00:08,0.035,
2025-09-30 00:00:07,0.0365,0.9635
2025-10-01 00:00:04,0.0365,
2025-10-02 00:00:02,0.0365,
2025-10-03 00:00:09,0.037,
2025-10-04 00:00:07,0.0355,
2025-10-05 00:00:09,0.036,
2025-10-06 00:00:02,0.0335,
2025-10-07 00:00:04,0.0335,
2025-10-08 00:00:04,0.033,
2025-10-09 00:00:12,0.031,
2025-10-10 00:00:10,0.0325,0.9675
2025-10-11 00:00:14,0.032,
2025-10-12 00:00:09,0.031,
2025-10-13 00:00:08,0.0295,
2025-10-14 00:00:18,0.0295,
2025-10-15 00:00:14,0.0265,
2025-10-16 00:00:13,0.0265,
2025-10-17 00:00:04,0.028,
2025-10-18 00:00:12,0.0285,
2025-10-19 00:00:21,0.027,
2025-10-20 00:00:15,0.028,
2025-10-21 00:00:05,0.028,
2025-10-22 00:00:21,0.0285,
2025-10-23 00:00:11,0.0285,
2025-10-23 11:53:06,0.0275,0.9725
