timestamp,yes,no
2024-01-07 00:00:02,0.002,0.998
2024-01-08 00:00:02,0.0015,0.9985
2024-01-09 00:00:03,0.002,0.998
2024-01-10 00:00:03,0.005,0.995
2024-01-11 00:00:03,0.005,0.995
2024-01-12 00:00:03,0.0045,0.9955
2024-01-13 00:00:02,0.004,0.996
2024-01-14 00:00:02,0.004,0.996
2024-01-15 00:00:03,0.0035,0.9965
2024-01-16 00:00:02,0.007,0.993
2024-01-17 00:00:03,0.0015,0.9985
2024-01-18 00:00:02,0.0015,0.9985
2024-01-19 00:00:02,0.0015,0.9985
2024-01-20 00:00:03,0.0005,0.9995
2024-01-21 00:00:02,0.0005,0.9995
2024-01-22 00:00:02,0.0005,0.9995
2024-01-23 00:00:03,0.0005,0.9995
2024-01-24 00:00:02,0.0005,0.9995
