timestamp,yes,no
2024-01-18 00:00:02,0.96,0.04
2024-01-19 00:00:02,0.9615,0.0385
2024-01-20 00:00:03,0.965,0.035
2024-01-21 00:00:02,0.966,0.034
2024-01-22 00:00:02,0.9695,0.0305
2024-01-23 00:00:03,0.973,0.027
2024-01-24 00:00:02,0.977,0.023
2024-01-25 00:00:02,0.9885,0.0115
2024-01-26 00:00:02,0.988,0.012
2024-01-27 00:00:02,0.9855,0.0145
2024-01-28 00:00:02,0.9715,0.0285
2024-01-29 00:00:02,0.9715,0.0285
2024-01-30 00:00:02,0.978,0.022
2024-01-31 00:00:02,0.977,0.023
2024-02-01 00:00:02,0.9735,0.0265
2024-02-02 00:00:02,0.975,0.025
2024-02-03 00:00:02,0.975,0.025
2024-02-04 00:00:03,0.978,0.022
2024-02-05 00:00:02,0.978,0.022
2024-02-06 00:00:02,0.981,0.019
2024-02-07 00:00:02,0.981,0.019
2024-02-08 00:00:02,0.9815,0.0185
2024-02-09 00:00:02,0.9835,0.0165
2024-02-10 00:00:03,0.99,0.01
2024-02-11 00:00:03,0.988,0.012
2024-02-12 00:00:03,0.988,0.012
2024-02-13 00:00:02,0.9895,0.0105
2024-02-14 00:00:03,0.9885,0.0115
2024-02-15 00:00:03,0.9895,0.0105
2024-02-16 00:00:03,0.9895,0.0105
2024-02-17 00:00:02,0.9915,0.0085
2024-02-18 00:00:02,0.9915,0.0085
2024-02-19 00:00:02,0.9915,0.0085
2024-02-20 00:00:02,0.991,0.009
2024-02-21 00:00:03,0.9915,0.0085
2024-02-22 00:00:02,0.9925,0.0075
2024-02-23 00:00:02,0.9925,0.0075
2024-02-24 00:00:02,0.992,0.008
2024-02-25 00:00:02,0.9975,0.0025
