timestamp,yes,no
2025-07-24 00:00:09,0.013,0.987
2025-07-25 00:00:09,0.0025,0.9975
2025-07-26 00:00:09,0.011,0.989
2025-07-27 00:00:10,0.0155,0.9845
2025-07-28 00:00:09,0.0255,0.9745
2025-07-29 00:00:10,0.026,0.974
2025-07-30 00:00:10,0.0245,0.9755
2025-07-31 00:00:08,0.0115,0.9885
2025-08-01 00:00:09,0.018,0.982
2025-08-02 00:00:09,0.021,0.979
2025-08-03 00:00:08,0.0225,0.9775
2025-08-04 00:00:07,0.0245,0.9755
2025-08-05 00:00:08,0.0215,0.9785
2025-08-06 00:00:09,0.023,0.977
2025-08-07 00:00:03,0.0245,
2025-08-08 00:00:09,0.0245,
2025-08-09 00:00:09,0.0255,
2025-08-10 00:00:09,0.024,0.976
2025-08-11 00:00:02,0.0255,
2025-08-12 00:00:03,0.026,
2025-08-13 00:00:03,0.026,
2025-08-14 00:00:02,0.0295,
2025-08-15 00:00:02,0.032,
2025-08-16 00:00:08,0.0265,
2025-08-17 00:00:14,0.0265,
2025-08-18 00:00:04,0.027,
2025-08-19 00:00:12,0.0365,
2025-08-20 00:00:07,0.033,0.967
2025-08-21 00:00:06,0.025,0.975
2025-08-22 00:00:09,0.025,0.975
2025-08-23 00:00:07,0.023,
2025-08-24 00:00:04,0.0255,
2025-08-25 00:00:02,0.029,
2025-08-26 00:00:08,0.0435,0.9565
2025-08-27 00:00:12,0.053,0.947
2025-08-28 00:00:09,0.0615,0.9385
2025-08-29 00:00:10,0.066,
2025-08-30 00:00:10,0.062,
2025-08-31 00:00:15,0.057,
2025-09-01 00:00:13,0.0535,
2025-09-02 00:00:05,0.043,
2025-09-03 00:00:09,0.0355,
2025-09-04 00:00:05,0.0345,
2025-09-05 00:00:07,0.0335,
2025-09-06 00:00:20,0.032,
2025-09-07 00:00:14,0.027,
2025-09-08 00:00:12,0.0245,
2025-09-09 00:00:13,0.0225,0.9775
2025-09-10 00:00:09,0.022,
2025-09-11 00:00:12,0.022,
2025-09-12 00:00:16,0.0225,0.9775
2025-09-13 00:00:11,0.027,
2025-09-14 00:00:03,0.027,
2025-09-15 00:00:13,0.027,0.973
2025-09-16 00:00:17,0.0255,
2025-09-17 00:00:20,0.026,
2025-09-18 00:00:13,0.0255,
2025-09-19 00:00:09,0.0315,
2025-09-20 00:00:19,0.0305,
2025-09-21 00:00:10,0.029,
2025-09-22 00:00:19,0.0325,
2025-09-23 00:00:02,0.0375,
2025-09-24 00:00:11,0.035,
2025-09-25 00:00:06,0.033,
2025-09-26 00:00:03,0.0335,
2025-09-27 00:00:08,0.04,
2025-09-28 00:00:15,0.038,
2025-09-29 00:00:05,0.037,
2025-09-30 00:00:07,0.037,
2025-10-01 00:00:06,0.034,
2025-10-02 00:00:03,0.0315,
2025-10-03 00:00:07,0.0365,
2025-10-04 00:00:09,0.035,0.965
2025-10-05 00:00:07,0.0265,
2025-10-06 00:00:03,0.0235,
2025-10-07 00:00:08,0.0295,
2025-10-08 00:00:12,0.0305,
2025-10-09 00:00:05,0.043,
2025-10-10 00:00:03,0.04,
2025-10-11 00:00:11,0.045,
2025-10-12 00:00:15,0.045,
2025-10-13 00:00:02,0.0575,
2025-10-14 00:00:15,0.0435,
2025-10-15 00:00:14,0.039,
2025-10-16 00:00:16,0.034,
2025-10-17 00:00:11,0.0365,
2025-10-18 00:00:10,0.039,
2025-10-19 00:00:17,0.0395,
2025-10-20 00:00:20,0.039,
2025-10-21 00:00:11,0.042,
2025-10-22 00:00:26,0.034,
2025-10-23 00:00:12,0.033,
2025-10-23 11:52:06,0.0305,
