timestamp,yes,no
2025-04-23 00:00:07,0.0305,0.9695
2025-04-24 00:00:06,0.03,0.97
2025-04-25 00:00:06,0.03,0.97
2025-04-26 00:00:06,0.031,0.969
2025-04-27 00:00:05,0.031,0.969
2025-04-28 00:00:05,0.031,0.969
2025-04-29 00:00:05,0.031,0.969
2025-04-30 00:00:06,0.031,0.969
2025-05-01 00:00:06,0.0295,0.9705
2025-05-02 00:00:06,0.032,0.968
2025-05-03 00:00:06,0.0315,0.9685
2025-05-04 00:00:05,0.032,0.968
2025-05-05 00:00:05,0.032,0.968
2025-05-06 00:00:06,0.03,0.97
2025-05-07 00:00:05,0.0325,0.9675
2025-05-08 00:00:06,0.028,0.972
2025-05-09 00:00:07,0.0305,0.9695
2025-05-10 00:00:06,0.029,0.971
2025-05-11 00:00:06,0.027,0.973
2025-05-12 00:00:06,0.026,0.974
2025-05-13 00:00:06,0.0295,0.9705
2025-05-14 00:00:07,0.0265,0.9735
2025-05-15 00:00:07,0.027,0.973
2025-05-16 00:00:06,0.0335,0.9665
2025-05-17 00:00:07,0.035,0.965
2025-05-18 00:00:06,0.0275,0.9725
2025-05-19 00:00:06,0.0295,0.9705
2025-05-20 00:00:06,0.0265,0.9735
2025-05-21 00:00:06,0.027,0.973
2025-05-22 00:00:07,0.0285,0.9715
2025-05-23 00:00:07,0.0315,0.9685
2025-05-24 00:00:07,0.0335,0.9665
2025-05-25 00:00:06,0.033,0.967
2025-05-26 00:00:07,0.026,0.974
2025-05-27 00:00:06,0.0325,0.9675
2025-05-28 00:00:06,0.0275,0.9725
2025-05-29 00:00:07,0.03,0.97
2025-05-30 00:00:07,0.039,0.961
2025-05-31 00:00:07,0.052,0.948
2025-06-01 00:00:07,0.0545,0.9455
2025-06-02 00:00:06,0.052,0.948
2025-06-03 00:00:07,0.052,0.948
2025-06-04 00:00:06,0.052,0.948
2025-06-05 00:00:06,0.0515,0.9485
2025-06-06 00:00:06,0.0515,0.9485
2025-06-07 00:00:07,0.0515,0.9485
2025-06-08 00:00:07,0.0515,0.9485
2025-06-09 00:00:07,0.0605,0.9395
2025-06-10 00:00:06,0.062,0.938
2025-06-11 00:00:07,0.069,0.931
2025-06-12 00:00:07,0.097,0.903
2025-06-13 00:00:07,0.1085,0.8915
2025-06-14 00:00:08,0.099,0.901
2025-06-15 00:00:08,0.0975,0.9025
2025-06-16 00:00:07,0.1,0.9
2025-06-17 00:00:08,0.105,0.895
2025-06-18 00:00:08,0.0995,0.9005
2025-06-19 00:00:07,0.0835,0.9165
2025-06-20 00:00:08,0.0775,0.9225
2025-06-21 00:00:08,0.083,0.917
2025-06-22 00:00:06,0.08,0.92
2025-06-23 00:00:07,0.0775,0.9225
2025-06-24 00:00:07,0.0995,0.9005
2025-06-25 00:00:07,0.1145,0.8855
2025-06-26 00:00:08,0.249,0.751
