timestamp,yes,no
2025-03-21 00:00:05,0.175,0.825
2025-03-22 00:00:06,0.145,0.855
2025-03-23 00:00:06,0.085,0.915
2025-03-24 00:00:05,0.085,0.915
2025-03-25 00:00:06,0.085,0.915
2025-03-26 00:00:05,0.09,0.91
2025-03-27 00:00:06,0.09,0.91
2025-03-28 00:00:06,0.09,0.91
2025-03-29 00:00:06,0.09,0.91
2025-03-30 00:00:06,0.095,0.905
2025-03-31 00:00:05,0.095,0.905
2025-04-01 00:00:05,0.095,0.905
2025-04-02 00:00:06,0.095,0.905
2025-04-03 00:00:05,0.095,0.905
2025-04-04 00:00:05,0.095,0.905
2025-04-05 00:00:05,0.095,0.905
2025-04-06 00:00:05,0.095,0.905
2025-04-07 00:00:06,0.095,0.905
2025-04-08 00:00:06,0.105,0.895
2025-04-09 00:00:06,0.105,0.895
2025-04-10 00:00:05,0.105,0.895
2025-04-11 00:00:05,0.105,0.895
2025-04-12 00:00:06,0.105,0.895
2025-04-13 00:00:05,0.105,0.895
2025-04-14 00:00:05,0.105,0.895
2025-04-15 00:00:05,0.105,0.895
2025-04-16 00:00:05,0.105,0.895
2025-04-17 00:00:06,0.105,0.895
2025-04-18 00:00:04,0.105,0.895
2025-04-19 00:00:06,0.105,0.895
2025-04-20 00:00:06,0.105,0.895
2025-04-21 00:00:06,0.105,0.895
2025-04-22 00:00:06,0.105,0.895
2025-04-23 00:00:07,0.1,0.9
2025-04-24 00:00:06,0.1,0.9
2025-04-25 00:00:06,0.1,0.9
2025-04-26 00:00:06,0.1,0.9
2025-04-27 00:00:05,0.1,0.9
2025-04-28 00:00:05,0.1,0.9
2025-04-29 00:00:05,0.1,0.9
2025-04-30 00:00:06,0.1,0.9
2025-05-01 00:00:06,0.1,0.9
2025-05-02 00:00:06,0.1,0.9
2025-05-03 00:00:06,0.1,0.9
2025-05-04 00:00:05,0.1,0.9
2025-05-05 00:00:05,0.1,0.9
2025-05-06 00:00:06,0.1,0.9
2025-05-07 00:00:05,0.105,0.895
2025-05-08 00:00:06,0.105,0.895
2025-05-09 00:00:07,0.11,0.89
2025-05-10 00:00:06,0.195,0.805
2025-05-11 00:00:06,0.175,0.825
2025-05-12 00:00:06,0.16,0.84
2025-05-13 00:00:06,0.165,0.835
2025-05-14 00:00:07,0.17,0.83
2025-05-15 00:00:07,0.17,0.83
2025-05-16 00:00:06,0.11,0.89
2025-05-17 00:00:07,0.125,0.875
2025-05-18 00:00:06,0.165,0.835
2025-05-19 00:00:06,0.165,0.835
2025-05-20 00:00:06,0.16,0.84
2025-05-21 00:00:06,0.155,0.845
2025-05-22 00:00:07,0.155,0.845
2025-05-23 00:00:07,0.155,0.845
2025-05-24 00:00:07,0.155,0.845
2025-05-25 00:00:06,0.155,0.845
2025-05-26 00:00:07,0.155,0.845
2025-05-27 00:00:06,0.155,0.845
2025-05-28 00:00:06,0.155,0.845
2025-05-29 00:00:07,0.15,0.85
2025-05-30 00:00:07,0.15,0.85
2025-05-31 00:00:07,0.155,0.845
2025-06-01 00:00:07,0.12,0.88
2025-06-02 00:00:06,0.115,0.885
2025-06-03 00:00:07,0.0255,0.9745
2025-06-04 00:00:06,0.049,0.951
2025-06-05 00:00:06,0.0465,0.9535
2025-06-06 00:00:06,0.0505,0.9495
2025-06-07 00:00:07,0.107,0.893
2025-06-08 00:00:07,0.1045,0.8955
2025-06-09 00:00:07,0.102,0.898
2025-06-10 00:00:06,0.1175,0.8825
2025-06-11 00:00:07,0.118,0.882
2025-06-12 00:00:07,0.118,0.882
2025-06-13 00:00:07,0.125,0.875
2025-06-14 00:00:08,0.123,0.877
2025-06-15 00:00:08,0.1205,0.8795
2025-06-16 00:00:07,0.008,0.992
2025-06-17 00:00:08,0.02,0.98
2025-06-18 00:00:08,0.0195,0.9805
2025-06-19 00:00:07,0.0185,0.9815
2025-06-20 00:00:08,0.0175,0.9825
2025-06-21 00:00:08,0.0175,0.9825
2025-06-22 00:00:06,0.0235,0.9765
2025-06-23 00:00:07,0.056,0.944
2025-06-24 00:00:07,0.0435,0.9565
2025-06-25 00:00:07,0.057,0.943
2025-06-26 00:00:08,0.0585,0.9415
2025-06-27 00:00:07,0.0585,0.9415
2025-06-28 00:00:07,0.0585,0.9415
2025-06-29 00:00:08,0.0585,0.9415
2025-06-30 00:00:07,0.0585,0.9415
2025-07-01 00:00:08,0.0585,0.9415
2025-07-02 00:00:07,0.0585,0.9415
2025-07-03 00:00:08,0.0585,0.9415
2025-07-04 00:00:08,0.0645,0.9355
2025-07-05 00:00:08,0.0635,0.9365
2025-07-06 00:00:07,0.0635,0.9365
2025-07-07 00:00:07,0.0625,0.9375
2025-07-08 00:00:08,0.061,0.939
2025-07-09 00:00:07,0.0615,0.9385
2025-07-10 00:00:08,0.052,0.948
2025-07-11 00:00:08,0.0635,0.9365
2025-07-12 00:00:09,0.065,0.935
2025-07-13 00:00:08,0.065,0.935
2025-07-14 00:00:07,0.0645,0.9355
2025-07-15 00:00:08,0.0585,0.9415
2025-07-16 00:00:08,0.054,0.946
2025-07-17 00:00:08,0.046,0.954
2025-07-18 00:00:08,0.0305,0.9695
2025-07-19 00:00:09,0.0305,0.9695
2025-07-20 00:00:08,0.04,0.96
2025-07-21 00:00:07,0.04,0.96
2025-07-22 00:00:09,0.0395,0.9605
2025-07-23 00:00:09,0.038,0.962
2025-07-24 00:00:09,0.039,0.961
2025-07-25 00:00:09,0.038,0.962
2025-07-26 00:00:09,0.037,0.963
2025-07-27 00:00:10,0.038,0.962
