timestamp,yes,no
2025-08-05 00:00:08,0.525,0.475
2025-08-06 00:00:09,0.545,0.455
2025-08-07 00:00:08,0.425,
2025-08-08 00:00:08,0.415,
2025-08-09 00:00:05,0.415,
2025-08-10 00:00:05,0.425,
2025-08-11 00:00:07,0.45,
2025-08-12 00:00:07,0.415,
2025-08-13 00:00:08,0.49,
2025-08-14 00:00:05,0.465,
2025-08-15 00:00:05,0.455,
2025-08-16 00:00:07,0.45,
2025-08-17 00:00:10,0.435,
2025-08-18 00:00:05,0.43,
2025-08-19 00:00:10,0.43,
2025-08-20 00:00:05,0.43,
2025-08-21 00:00:06,0.43,
2025-08-22 00:00:03,0.44,
2025-08-23 00:00:15,0.44,
2025-08-24 00:00:09,0.445,
2025-08-25 00:00:05,0.45,
2025-08-26 00:00:08,0.465,
2025-08-27 00:00:15,0.46,
2025-08-28 00:00:10,0.45,
2025-08-29 00:00:15,0.445,
2025-08-30 00:00:10,0.435,
2025-08-31 00:00:16,0.43,
2025-09-01 00:00:06,0.42,
2025-09-02 00:00:07,0.43,
2025-09-03 00:00:16,0.47,
2025-09-04 00:00:16,0.545,
2025-09-05 00:00:12,0.54,
2025-09-06 00:00:19,0.535,
2025-09-07 00:00:14,0.54,0.46
2025-09-08 00:00:02,0.555,
2025-09-09 00:00:04,0.565,
2025-09-10 00:00:11,0.555,0.445
2025-09-11 00:00:14,0.565,
2025-09-12 00:00:26,0.605,
2025-09-13 00:00:09,0.615,
2025-09-14 00:00:07,0.585,
2025-09-15 00:00:07,0.615,
2025-09-16 00:00:11,0.585,
2025-09-17 00:00:04,0.515,
2025-09-18 00:00:09,0.53,
2025-09-19 00:00:08,0.505,
2025-09-20 00:00:12,0.53,
2025-09-21 00:00:04,0.535,
2025-09-22 00:00:17,0.575,
2025-09-23 00:00:10,0.605,
2025-09-24 00:00:18,0.625,0.375
2025-09-25 00:00:06,0.63,
2025-09-26 00:00:06,0.635,
2025-09-27 00:00:04,0.63,
2025-09-28 00:00:04,0.635,
2025-09-29 00:00:03,0.605,
2025-09-30 00:00:12,0.605,
2025-10-01 00:00:03,0.61,
2025-10-02 00:00:09,0.615,0.385
2025-10-03 00:00:11,0.615,
2025-10-04 00:00:04,0.61,
2025-10-05 00:00:06,0.605,
2025-10-06 00:00:03,0.605,
2025-10-07 00:00:10,0.615,
2025-10-08 00:00:09,0.62,
2025-10-09 00:00:12,0.625,
2025-10-10 00:00:16,0.625,
2025-10-11 00:00:04,0.625,
2025-10-12 00:00:18,0.62,
2025-10-13 00:00:10,0.62,
2025-10-14 00:00:16,0.625,
2025-10-15 00:00:09,0.62,
2025-10-16 00:00:12,0.615,
2025-10-17 00:00:03,0.62,
2025-10-18 00:00:15,0.62,
2025-10-19 00:00:17,0.65,
2025-10-20 00:00:19,0.655,
2025-10-21 00:00:10,0.68,
2025-10-22 00:00:12,0.785,
2025-10-23 00:00:08,0.705,
2025-10-23 11:54:04,0.745,
