timestamp,yes,no
2025-08-05 00:00:08,0.525,0.475
2025-08-06 00:00:09,0.34,0.66
2025-08-07 00:00:10,0.4,
2025-08-08 00:00:02,0.365,
2025-08-09 00:00:11,0.4,
2025-08-10 00:00:07,0.435,
2025-08-11 00:00:14,0.43,
2025-08-12 00:00:05,0.435,
2025-08-13 00:00:10,0.4,
2025-08-14 00:00:04,0.435,0.565
2025-08-15 00:00:13,0.45,
2025-08-16 00:00:07,0.44,0.56
2025-08-17 00:00:07,0.475,
2025-08-18 00:00:09,0.485,0.515
2025-08-19 00:00:10,0.485,
2025-08-20 00:00:07,0.505,0.495
2025-08-21 00:00:08,0.5,
2025-08-22 00:00:05,0.495,0.505
2025-08-23 00:00:07,0.505,
2025-08-24 00:00:02,0.495,
2025-08-25 00:00:10,0.49,
2025-08-26 00:00:04,0.49,
2025-08-27 00:00:10,0.48,
2025-08-28 00:00:02,0.495,
2025-08-29 00:00:18,0.505,
2025-08-30 00:00:07,0.515,
2025-08-31 00:00:12,0.515,
2025-09-01 00:00:13,0.54,
2025-09-02 00:00:18,0.52,
2025-09-03 00:00:09,0.48,
2025-09-04 00:00:09,0.415,0.585
2025-09-05 00:00:14,0.42,
2025-09-06 00:00:20,0.415,
2025-09-07 00:00:10,0.415,
2025-09-08 00:00:19,0.34,
2025-09-09 00:00:17,0.335,0.665
2025-09-10 00:00:05,0.335,
2025-09-11 00:00:11,0.345,
2025-09-12 00:00:18,0.33,
2025-09-13 00:00:08,0.325,
2025-09-14 00:00:07,0.33,
2025-09-15 00:00:07,0.33,
2025-09-16 00:00:21,0.335,
2025-09-17 00:00:18,0.31,
2025-09-18 00:00:09,0.38,
2025-09-19 00:00:15,0.405,0.595
2025-09-20 00:00:17,0.375,
2025-09-21 00:00:04,0.375,
2025-09-22 00:00:19,0.34,
2025-09-23 00:00:10,0.335,
2025-09-24 00:00:07,0.33,0.67
2025-09-25 00:00:05,0.325,0.675
2025-09-26 00:00:08,0.325,
2025-09-27 00:00:05,0.335,
2025-09-28 00:00:12,0.33,
2025-09-29 00:00:09,0.33,
2025-09-30 00:00:05,0.34,
2025-10-01 00:00:02,0.35,
2025-10-02 00:00:03,0.345,
2025-10-03 00:00:06,0.345,
2025-10-04 00:00:07,0.35,
2025-10-05 00:00:02,0.355,
2025-10-06 00:00:05,0.355,
2025-10-07 00:00:05,0.325,0.675
2025-10-08 00:00:10,0.325,
2025-10-09 00:00:06,0.33,0.67
2025-10-10 00:00:19,0.335,
2025-10-11 00:00:12,0.315,0.685
2025-10-12 00:00:18,0.315,
2025-10-13 00:00:15,0.315,
2025-10-14 00:00:12,0.315,
2025-10-15 00:00:12,0.32,
2025-10-16 00:00:17,0.32,
2025-10-17 00:00:13,0.32,
2025-10-18 00:00:20,0.32,
2025-10-19 00:00:14,0.25,
2025-10-20 00:00:19,0.3,
2025-10-21 00:00:09,0.275,
2025-10-22 00:00:17,0.185,
2025-10-23 00:00:09,0.17,
2025-10-23 11:54:05,0.175,
