timestamp,yes,no
2024-11-20 00:00:03,0.245,0.755
2024-11-21 00:00:03,0.073,0.927
2024-11-22 00:00:03,0.069,0.931
2024-11-23 00:00:04,0.068,0.932
2024-11-24 00:00:03,0.073,0.927
2024-11-25 00:00:03,0.076,0.924
2024-11-26 00:00:04,0.0735,0.9265
2024-11-27 00:00:03,0.0685,0.9315
2024-11-28 00:00:03,0.0735,0.9265
2024-11-29 00:00:04,0.0715,0.9285
2024-11-30 00:00:03,0.076,0.924
2024-12-01 00:00:03,0.149,0.851
2024-12-02 00:00:03,0.1915,0.8085
2024-12-03 00:00:03,0.184,0.816
2024-12-04 00:00:03,0.04,0.96
2024-12-05 00:00:03,0.019,0.981
2024-12-06 00:00:03,0.008,0.992
2024-12-07 00:00:03,0.01,0.99
2024-12-08 00:00:03,0.0065,0.9935
2024-12-09 00:00:02,0.0035,0.9965
2024-12-10 00:00:03,0.0075,0.9925
2024-12-11 00:00:03,0.0085,0.9915
2024-12-12 00:00:03,0.0095,0.9905
2024-12-13 00:00:03,0.0125,0.9875
2024-12-14 00:00:03,0.0135,0.9865
2024-12-15 00:00:03,0.0205,0.9795
2024-12-16 00:00:03,0.023,0.977
2024-12-17 00:00:04,0.023,0.977
2024-12-18 00:00:03,0.0165,0.9835
2024-12-19 00:00:03,0.017,0.983
2024-12-20 00:00:04,0.0175,0.9825
2024-12-21 00:00:03,0.017,0.983
2024-12-22 00:00:04,0.0175,0.9825
2024-12-23 00:00:04,0.0205,0.9795
2024-12-24 00:00:03,0.013,0.987
2024-12-25 00:00:03,0.0095,0.9905
2024-12-26 00:00:04,0.0095,0.9905
2024-12-27 00:00:03,0.0095,0.9905
2024-12-28 00:00:03,0.0075,0.9925
2024-12-29 00:00:03,0.01,0.99
2024-12-30 00:00:03,0.008,0.992
2024-12-31 00:00:04,0.007,0.993
2025-01-01 00:00:04,0.007,0.993
2025-01-02 00:00:03,0.0075,0.9925
2025-01-03 00:00:04,0.0055,0.9945
2025-01-04 00:00:03,0.0055,0.9945
2025-01-05 00:00:03,0.0055,0.9945
2025-01-06 00:00:03,0.0055,0.9945
2025-01-07 00:00:04,0.0055,0.9945
2025-01-08 00:00:03,0.0055,0.9945
2025-01-09 00:00:03,0.0045,0.9955
2025-01-10 00:00:04,0.0035,0.9965
2025-01-11 00:00:04,0.0035,0.9965
2025-01-12 00:00:04,0.0035,0.9965
2025-01-13 00:00:04,0.0035,0.9965
2025-01-14 00:00:03,0.004,0.996
2025-01-15 00:00:03,0.004,0.996
2025-01-16 00:00:04,0.004,0.996
2025-01-17 00:00:04,0.004,0.996
2025-01-18 00:00:04,0.004,0.996
2025-01-19 00:00:04,0.004,0.996
2025-01-20 00:00:04,0.004,0.996
2025-01-21 00:00:03,0.004,0.996
2025-01-22 00:00:03,0.0025,0.9975
2025-01-23 00:00:04,0.0025,0.9975
2025-01-24 00:00:03,0.0025,0.9975
2025-01-25 00:00:05,0.003,0.997
2025-01-26 00:00:04,0.003,0.997
2025-01-27 00:00:04,0.0035,0.9965
2025-01-28 00:00:04,0.0035,0.9965
2025-01-29 00:00:04,0.0035,0.9965
2025-01-30 00:00:05,0.0045,0.9955
2025-01-31 00:00:04,0.0035,0.9965
2025-02-01 00:00:05,0.0035,0.9965
2025-02-02 00:00:04,0.0005,0.9995
2025-02-03 00:00:05,0.0005,0.9995
