timestamp,yes,no
2024-01-07 00:00:02,0.235,0.765
2024-01-08 00:00:02,0.235,0.765
2024-01-09 00:00:03,0.235,0.765
2024-01-10 00:00:03,0.235,0.765
2024-01-11 00:00:03,0.37,0.63
2024-01-12 00:00:03,0.33,0.67
2024-01-13 00:00:02,0.3,0.7
2024-01-14 00:00:02,0.315,0.685
2024-01-15 00:00:03,0.315,0.685
2024-01-16 00:00:02,0.325,0.675
2024-01-17 00:00:03,0.23,0.77
2024-01-18 00:00:02,0.125,0.875
2024-01-19 00:00:02,0.095,0.905
2024-01-20 00:00:03,0.065,0.935
2024-01-21 00:00:02,0.055,0.945
2024-01-22 00:00:02,0.029,0.971
2024-01-23 00:00:03,0.014,0.986
2024-01-24 00:00:02,0.0415,0.9585
