timestamp,yes,no
2025-03-21 00:00:05,0.0145,0.9855
2025-03-22 00:00:06,0.014,0.986
2025-03-23 00:00:06,0.014,0.986
2025-03-24 00:00:05,0.0085,0.9915
2025-03-25 00:00:06,0.007,0.993
2025-03-26 00:00:05,0.0055,0.9945
2025-03-27 00:00:06,0.011,0.989
2025-03-28 00:00:06,0.0125,0.9875
2025-03-29 00:00:06,0.013,0.987
2025-03-30 00:00:06,0.013,0.987
2025-03-31 00:00:05,0.011,0.989
2025-04-01 00:00:05,0.0095,0.9905
2025-04-02 00:00:06,0.011,0.989
2025-04-03 00:00:05,0.011,0.989
2025-04-04 00:00:05,0.0125,0.9875
2025-04-05 00:00:05,0.015,0.985
2025-04-06 00:00:05,0.008,0.992
2025-04-07 00:00:06,0.008,0.992
2025-04-08 00:00:06,0.008,0.992
2025-04-09 00:00:06,0.008,0.992
2025-04-10 00:00:05,0.0085,0.9915
2025-04-11 00:00:05,0.0085,0.9915
2025-04-12 00:00:06,0.0085,0.9915
2025-04-13 00:00:05,0.0085,0.9915
2025-04-14 00:00:05,0.0085,0.9915
2025-04-15 00:00:05,0.0085,0.9915
2025-04-16 00:00:05,0.01,0.99
2025-04-17 00:00:06,0.009,0.991
2025-04-18 00:00:04,0.009,0.991
2025-04-19 00:00:06,0.009,0.991
2025-04-20 00:00:06,0.009,0.991
2025-04-21 00:00:06,0.009,0.991
2025-04-22 00:00:06,0.009,0.991
2025-04-23 00:00:07,0.009,0.991
2025-04-24 00:00:06,0.009,0.991
2025-04-25 00:00:06,0.009,0.991
2025-04-26 00:00:06,0.009,0.991
2025-04-27 00:00:05,0.009,0.991
2025-04-28 00:00:05,0.009,0.991
2025-04-29 00:00:05,0.009,0.991
2025-04-30 00:00:06,0.009,0.991
2025-05-01 00:00:06,0.009,0.991
2025-05-02 00:00:06,0.009,0.991
2025-05-03 00:00:06,0.009,0.991
2025-05-04 00:00:05,0.009,0.991
2025-05-05 00:00:05,0.009,0.991
2025-05-06 00:00:06,0.009,0.991
2025-05-07 00:00:05,0.009,0.991
2025-05-08 00:00:06,0.009,0.991
2025-05-09 00:00:07,0.009,0.991
2025-05-10 00:00:06,0.009,0.991
2025-05-11 00:00:06,0.0115,0.9885
2025-05-12 00:00:06,0.009,0.991
2025-05-13 00:00:06,0.009,0.991
2025-05-14 00:00:07,0.0135,0.9865
2025-05-15 00:00:07,0.0145,0.9855
2025-05-16 00:00:06,0.0155,0.9845
