timestamp,yes,no
2024-11-20 00:00:03,0.29,0.71
2024-11-21 00:00:03,0.13,0.87
2024-11-22 00:00:03,0.065,0.935
2024-11-23 00:00:04,0.065,0.935
2024-11-24 00:00:03,0.065,0.935
2024-11-25 00:00:03,0.09,0.91
2024-11-26 00:00:04,0.06,0.94
2024-11-27 00:00:03,0.125,0.875
2024-11-28 00:00:03,0.16,0.84
2024-11-29 00:00:04,0.145,0.855
2024-11-30 00:00:03,0.135,0.865
2024-12-01 00:00:03,0.125,0.875
2024-12-02 00:00:03,0.12,0.88
2024-12-03 00:00:03,0.085,0.915
2024-12-04 00:00:03,0.075,0.925
2024-12-05 00:00:03,0.105,0.895
2024-12-06 00:00:03,0.13,0.87
2024-12-07 00:00:03,0.1,0.9
2024-12-08 00:00:03,0.12,0.88
2024-12-09 00:00:02,0.115,0.885
2024-12-10 00:00:03,0.115,0.885
2024-12-11 00:00:03,0.115,0.885
2024-12-12 00:00:03,0.105,0.895
2024-12-13 00:00:03,0.11,0.89
2024-12-14 00:00:03,0.1,0.9
2024-12-15 00:00:03,0.075,0.925
2024-12-16 00:00:03,0.075,0.925
2024-12-17 00:00:04,0.075,0.925
2024-12-18 00:00:03,0.075,0.925
2024-12-19 00:00:03,0.075,0.925
2024-12-20 00:00:04,0.075,0.925
2024-12-21 00:00:03,0.075,0.925
2024-12-22 00:00:04,0.06,0.94
2024-12-23 00:00:04,0.06,0.94
2024-12-24 00:00:03,0.075,0.925
2024-12-25 00:00:03,0.06,0.94
2024-12-26 00:00:04,0.06,0.94
2024-12-27 00:00:03,0.06,0.94
2024-12-28 00:00:03,0.06,0.94
2024-12-29 00:00:03,0.055,0.945
2024-12-30 00:00:03,0.06,0.94
2024-12-31 00:00:04,0.007,0.993
2025-01-01 00:00:04,0.008,0.992
2025-01-02 00:00:03,0.0075,0.9925
2025-01-03 00:00:04,0.0075,0.9925
2025-01-04 00:00:03,0.0105,0.9895
2025-01-05 00:00:03,0.0085,0.9915
2025-01-06 00:00:03,0.0085,0.9915
2025-01-07 00:00:04,0.0075,0.9925
2025-01-08 00:00:03,0.0085,0.9915
2025-01-09 00:00:03,0.0065,0.9935
2025-01-10 00:00:04,0.0025,0.9975
2025-01-11 00:00:04,0.0025,0.9975
2025-01-12 00:00:04,0.009,0.991
2025-01-13 00:00:04,0.011,0.989
2025-01-14 00:00:03,0.0075,0.9925
2025-01-15 00:00:03,0.0095,0.9905
2025-01-16 00:00:04,0.009,0.991
2025-01-17 00:00:04,0.0085,0.9915
2025-01-18 00:00:04,0.009,0.991
2025-01-19 00:00:04,0.008,0.992
2025-01-20 00:00:04,0.0085,0.9915
2025-01-21 00:00:03,0.0095,0.9905
2025-01-22 00:00:03,0.004,0.996
2025-01-23 00:00:04,0.0025,0.9975
2025-01-24 00:00:03,0.002,0.998
2025-01-25 00:00:05,0.0035,0.9965
2025-01-26 00:00:04,0.0025,0.9975
2025-01-27 00:00:04,0.0015,0.9985
2025-01-28 00:00:04,0.0015,0.9985
2025-01-29 00:00:04,0.0015,0.9985
2025-01-30 00:00:05,0.0015,0.9985
2025-01-31 00:00:04,0.0015,0.9985
2025-02-01 00:00:05,0.0015,0.9985
2025-02-02 00:00:04,0.001,0.999
2025-02-03 00:00:05,0.0005,0.9995
