timestamp,yes,no
2025-08-20 00:00:08,0.51,
2025-08-21 00:00:10,0.465,
2025-08-22 00:00:03,0.475,
2025-08-23 00:00:15,0.505,
2025-08-24 00:00:06,0.52,
2025-08-25 00:00:12,0.52,
2025-08-26 00:00:07,0.535,
2025-08-27 00:00:03,0.43,0.57
2025-08-28 00:00:08,0.43,
2025-08-29 00:00:15,0.345,
2025-08-30 00:00:06,0.355,
2025-08-31 00:00:19,0.355,
2025-09-01 00:00:11,0.345,0.655
2025-09-02 00:00:14,0.48,
2025-09-03 00:00:11,0.465,
2025-09-04 00:00:05,0.55,
2025-09-05 00:00:03,0.425,
2025-09-06 00:00:12,0.455,
2025-09-07 00:00:03,0.43,
2025-09-08 00:00:08,0.415,
2025-09-09 00:00:15,0.9975,
2025-09-10 00:00:03,0.9915,
2025-09-11 00:00:10,0.9935,
2025-09-12 00:00:27,0.9945,
2025-09-13 00:00:13,0.994,
2025-09-14 00:00:03,0.9955,
2025-09-15 00:00:14,0.996,0.004
