timestamp,yes,no
2025-02-20 00:00:04,0.53,0.47
2025-02-21 00:00:05,0.34,0.66
2025-02-22 00:00:05,0.835,0.165
2025-02-23 00:00:04,0.835,0.165
2025-02-24 00:00:04,0.805,0.195
2025-02-25 00:00:04,0.795,0.205
2025-02-26 00:00:05,0.795,0.205
2025-02-27 00:00:05,0.795,0.205
2025-02-28 00:00:05,0.795,0.205
2025-03-01 00:00:05,0.8,0.2
2025-03-02 00:00:05,0.8,0.2
2025-03-03 00:00:05,0.795,0.205
2025-03-04 00:00:05,0.8,0.2
2025-03-05 00:00:04,0.8,0.2
2025-03-06 00:00:05,0.8,0.2
2025-03-07 00:00:05,0.795,0.205
2025-03-08 00:00:05,0.795,0.205
2025-03-09 00:00:05,0.795,0.205
2025-03-10 00:00:04,0.795,0.205
2025-03-11 00:00:05,0.805,0.195
2025-03-12 00:00:05,0.795,0.205
2025-03-13 00:00:06,0.795,0.205
2025-03-14 00:00:05,0.795,0.205
2025-03-15 00:00:04,0.795,0.205
2025-03-16 00:00:04,0.795,0.205
2025-03-17 00:00:04,0.795,0.205
2025-03-18 00:00:05,0.78,0.22
2025-03-19 00:00:05,0.775,0.225
2025-03-20 00:00:05,0.765,0.235
2025-03-21 00:00:05,0.765,0.235
2025-03-22 00:00:06,0.76,0.24
2025-03-23 00:00:06,0.795,0.205
2025-03-24 00:00:05,0.775,0.225
2025-03-25 00:00:06,0.775,0.225
2025-03-26 00:00:05,0.775,0.225
2025-03-27 00:00:06,0.755,0.245
2025-03-28 00:00:06,0.755,0.245
2025-03-29 00:00:06,0.795,0.205
2025-03-30 00:00:06,0.775,0.225
2025-03-31 00:00:05,0.765,0.235
2025-04-01 00:00:05,0.765,0.235
2025-04-02 00:00:06,0.765,0.235
2025-04-03 00:00:05,0.765,0.235
2025-04-04 00:00:05,0.765,0.235
2025-04-05 00:00:05,0.765,0.235
2025-04-06 00:00:05,0.765,0.235
2025-04-07 00:00:06,0.765,0.235
2025-04-08 00:00:06,0.765,0.235
2025-04-09 00:00:06,0.765,0.235
2025-04-10 00:00:05,0.765,0.235
2025-04-11 00:00:05,0.865,0.135
2025-04-12 00:00:06,0.88,0.12
2025-04-13 00:00:05,0.895,0.105
2025-04-14 00:00:05,0.94,0.06
