timestamp,yes,no
2025-02-20 00:00:04,0.485,0.515
2025-02-21 00:00:05,0.255,0.745
2025-02-22 00:00:05,0.265,0.735
2025-02-23 00:00:04,0.265,0.735
2025-02-24 00:00:04,0.405,0.595
2025-02-25 00:00:04,0.345,0.655
2025-02-26 00:00:05,0.35,0.65
2025-02-27 00:00:05,0.36,0.64
2025-02-28 00:00:05,0.34,0.66
2025-03-01 00:00:05,0.34,0.66
2025-03-02 00:00:05,0.34,0.66
2025-03-03 00:00:05,0.345,0.655
2025-03-04 00:00:05,0.325,0.675
2025-03-05 00:00:04,0.305,0.695
2025-03-06 00:00:05,0.315,0.685
2025-03-07 00:00:05,0.325,0.675
2025-03-08 00:00:05,0.35,0.65
2025-03-09 00:00:05,0.35,0.65
2025-03-10 00:00:04,0.245,0.755
2025-03-11 00:00:05,0.245,0.755
2025-03-12 00:00:05,0.265,0.735
2025-03-13 00:00:06,0.27,0.73
2025-03-14 00:00:05,0.315,0.685
2025-03-15 00:00:04,0.285,0.715
2025-03-16 00:00:04,0.22,0.78
2025-03-17 00:00:04,0.22,0.78
2025-03-18 00:00:05,0.22,0.78
2025-03-19 00:00:05,0.215,0.785
2025-03-20 00:00:05,0.215,0.785
2025-03-21 00:00:05,0.23,0.77
2025-03-22 00:00:06,0.4,0.6
2025-03-23 00:00:06,0.355,0.645
2025-03-24 00:00:05,0.4,0.6
2025-03-25 00:00:06,0.32,0.68
2025-03-26 00:00:05,0.33,0.67
2025-03-27 00:00:06,0.395,0.605
2025-03-28 00:00:06,0.405,0.595
2025-03-29 00:00:06,0.385,0.615
2025-03-30 00:00:06,0.41,0.59
2025-03-31 00:00:05,0.415,0.585
2025-04-01 00:00:05,0.415,0.585
2025-04-02 00:00:06,0.415,0.585
2025-04-03 00:00:05,0.41,0.59
2025-04-04 00:00:05,0.415,0.585
2025-04-05 00:00:05,0.415,0.585
2025-04-06 00:00:05,0.415,0.585
2025-04-07 00:00:06,0.4,0.6
2025-04-08 00:00:06,0.4,0.6
2025-04-09 00:00:06,0.41,0.59
2025-04-10 00:00:05,0.41,0.59
2025-04-11 00:00:05,0.34,0.66
2025-04-12 00:00:06,0.375,0.625
