timestamp,yes,no
2025-05-10 00:00:06,0.53,0.47
2025-05-11 00:00:06,0.78,0.22
2025-05-12 00:00:06,0.795,0.205
2025-05-13 00:00:06,0.78,0.22
2025-05-14 00:00:07,0.79,0.21
2025-05-15 00:00:07,0.795,0.205
2025-05-16 00:00:06,0.825,0.175
2025-05-17 00:00:07,0.825,0.175
2025-05-18 00:00:06,0.825,0.175
2025-05-19 00:00:06,0.825,0.175
2025-05-20 00:00:06,0.865,0.135
2025-05-21 00:00:06,0.85,0.15
2025-05-22 00:00:07,0.865,0.135
2025-05-23 00:00:07,0.83,0.17
2025-05-24 00:00:07,0.81,0.19
2025-05-25 00:00:06,0.765,0.235
2025-05-26 00:00:07,0.785,0.215
2025-05-27 00:00:06,0.745,0.255
2025-05-28 00:00:06,0.75,0.25
2025-05-29 00:00:07,0.67,0.33
2025-05-30 00:00:07,0.67,0.33
2025-05-31 00:00:07,0.675,0.325
2025-06-01 00:00:07,0.675,0.325
2025-06-02 00:00:06,0.675,0.325
2025-06-03 00:00:07,0.675,0.325
2025-06-04 00:00:06,0.69,0.31
2025-06-05 00:00:06,0.69,0.31
2025-06-06 00:00:06,0.705,0.295
2025-06-07 00:00:07,0.7,0.3
2025-06-08 00:00:07,0.695,0.305
2025-06-09 00:00:07,0.695,0.305
2025-06-10 00:00:06,0.7,0.3
2025-06-11 00:00:07,0.705,0.295
2025-06-12 00:00:07,0.665,0.335
2025-06-13 00:00:07,0.665,0.335
2025-06-14 00:00:08,0.675,0.325
2025-06-15 00:00:08,0.675,0.325
2025-06-16 00:00:07,0.63,0.37
2025-06-17 00:00:08,0.595,0.405
2025-06-18 00:00:08,0.595,0.405
2025-06-19 00:00:07,0.595,0.405
2025-06-20 00:00:08,0.59,0.41
2025-06-21 00:00:08,0.585,0.415
2025-06-22 00:00:06,0.55,0.45
2025-06-23 00:00:07,0.555,0.445
2025-06-24 00:00:07,0.545,0.455
2025-06-25 00:00:07,0.545,0.455
2025-06-26 00:00:08,0.52,0.48
2025-06-27 00:00:07,0.525,0.475
2025-06-28 00:00:07,0.48,0.52
2025-06-29 00:00:08,0.48,0.52
2025-06-30 00:00:07,0.475,0.525
2025-07-01 00:00:08,0.455,0.545
2025-07-02 00:00:07,0.465,0.535
2025-07-03 00:00:08,0.405,0.595
2025-07-04 00:00:08,0.395,0.605
2025-07-05 00:00:08,0.365,0.635
2025-07-06 00:00:07,0.36,0.64
2025-07-07 00:00:07,0.36,0.64
2025-07-08 00:00:08,0.365,0.635
2025-07-09 00:00:07,0.365,0.635
2025-07-10 00:00:08,0.42,0.58
2025-07-11 00:00:08,0.415,0.585
2025-07-12 00:00:09,0.37,0.63
2025-07-13 00:00:08,0.355,0.645
2025-07-14 00:00:07,0.345,0.655
2025-07-15 00:00:08,0.3,0.7
2025-07-16 00:00:08,0.285,0.715
2025-07-17 00:00:08,0.28,0.72
2025-07-18 00:00:08,0.25,0.75
2025-07-19 00:00:09,0.25,0.75
2025-07-20 00:00:08,0.26,0.74
2025-07-21 00:00:07,0.26,0.74
2025-07-22 00:00:09,0.255,0.745
2025-07-23 00:00:09,0.395,0.605
2025-07-24 00:00:09,0.345,0.655
2025-07-25 00:00:09,0.34,0.66
2025-07-26 00:00:09,0.345,0.655
2025-07-27 00:00:10,0.335,0.665
2025-07-28 00:00:09,0.335,0.665
2025-07-29 00:00:10,0.28,0.72
2025-07-30 00:00:10,0.3,0.7
2025-07-31 00:00:08,0.3,0.7
2025-08-01 00:00:09,0.29,0.71
2025-08-02 00:00:09,0.255,0.745
2025-08-03 00:00:08,0.255,0.745
2025-08-04 00:00:07,0.25,0.75
2025-08-05 00:00:08,0.24,0.76
2025-08-06 00:00:09,0.28,0.72
2025-08-07 00:00:04,0.28,
2025-08-08 00:00:05,0.295,0.705
2025-08-09 00:00:15,0.315,
2025-08-10 00:00:09,0.31,0.69
2025-08-11 00:00:06,0.31,0.69
2025-08-12 00:00:09,0.325,
2025-08-13 00:00:11,0.305,
2025-08-14 00:00:04,0.31,0.69
2025-08-15 00:00:14,0.305,
2025-08-16 00:00:05,0.31,
2025-08-17 00:00:10,0.285,0.715
2025-08-18 00:00:07,0.285,
2025-08-19 00:00:11,0.275,
2025-08-20 00:00:06,0.225,
2025-08-21 00:00:10,0.27,
2025-08-22 00:00:02,0.27,
2025-08-23 00:00:07,0.27,
2025-08-24 00:00:10,0.27,
2025-08-25 00:00:12,0.27,0.73
2025-08-26 00:00:10,0.3,
2025-08-27 00:00:10,0.285,
2025-08-28 00:00:09,0.26,
2025-08-29 00:00:12,0.26,0.74
2025-08-30 00:00:10,0.26,
2025-08-31 00:00:12,0.27,
2025-09-01 00:00:11,0.275,0.725
2025-09-02 00:00:07,0.27,
2025-09-03 00:00:11,0.27,
2025-09-04 00:00:13,0.27,
2025-09-05 00:00:10,0.22,
2025-09-06 00:00:02,0.235,
2025-09-07 00:00:14,0.26,
2025-09-08 00:00:04,0.255,
2025-09-09 00:00:13,0.26,
2025-09-10 00:00:05,0.285,
2025-09-11 00:00:13,0.265,
2025-09-12 00:00:03,0.235,
2025-09-13 00:00:10,0.24,
2025-09-14 00:00:17,0.23,
2025-09-15 00:00:11,0.235,
2025-09-16 00:00:16,0.245,
2025-09-17 00:00:07,0.245,
2025-09-18 00:00:04,0.245,
2025-09-19 00:00:13,0.25,
2025-09-20 00:00:08,0.24,
2025-09-21 00:00:06,0.225,
2025-09-22 00:00:17,0.215,
2025-09-23 00:00:07,0.22,
2025-09-24 00:00:11,0.22,
2025-09-25 00:00:04,0.19,
2025-09-26 00:00:10,0.2,
2025-09-27 00:00:10,0.2,
2025-09-28 00:00:16,0.2,
2025-09-29 00:00:07,0.2,
2025-09-30 00:00:09,0.2,
2025-10-01 00:00:05,0.2,0.8
2025-10-02 00:00:02,0.2,
2025-10-03 00:00:08,0.195,
2025-10-04 00:00:10,0.18,
2025-10-05 00:00:06,0.18,
2025-10-06 00:00:08,0.18,
2025-10-07 00:00:07,0.18,
2025-10-08 00:00:06,0.18,0.82
2025-10-09 00:00:13,0.18,
2025-10-10 00:00:14,0.18,
2025-10-11 00:00:11,0.065,
2025-10-12 00:00:07,0.09,
2025-10-13 00:00:16,0.105,
2025-10-14 00:00:03,0.11,
2025-10-15 00:00:03,0.115,
2025-10-16 00:00:13,0.115,
2025-10-17 00:00:07,0.115,
2025-10-18 00:00:03,0.095,
2025-10-19 00:00:09,0.09,
2025-10-20 00:00:20,0.125,
2025-10-21 00:00:12,0.12,
2025-10-22 00:00:16,0.24,
2025-10-23 00:00:09,0.225,
2025-10-23 11:54:05,0.165,
