timestamp,yes,no
2025-07-22 00:00:09,0.445,0.555
2025-07-23 00:00:09,0.54,0.46
2025-07-24 00:00:09,0.485,0.515
2025-07-25 00:00:09,0.535,0.465
2025-07-26 00:00:09,0.59,0.41
2025-07-27 00:00:10,0.58,0.42
2025-07-28 00:00:09,0.575,0.425
2025-07-29 00:00:10,0.545,0.455
2025-07-30 00:00:10,0.565,0.435
2025-07-31 00:00:08,0.59,0.41
2025-08-01 00:00:09,0.59,0.41
2025-08-02 00:00:09,0.585,0.415
2025-08-03 00:00:08,0.575,0.425
2025-08-04 00:00:07,0.575,0.425
2025-08-05 00:00:08,0.58,0.42
2025-08-06 00:00:09,0.52,0.48
2025-08-07 00:00:03,0.505,
2025-08-08 00:00:07,0.505,
2025-08-09 00:00:14,0.595,
2025-08-10 00:00:05,0.555,
2025-08-11 00:00:03,0.56,0.44
2025-08-12 00:00:06,0.6,0.4
2025-08-13 00:00:14,0.61,
2025-08-14 00:00:06,0.605,
2025-08-15 00:00:12,0.605,
2025-08-16 00:00:05,0.61,
2025-08-17 00:00:07,0.625,
2025-08-18 00:00:07,0.595,0.405
2025-08-19 00:00:16,0.595,
2025-08-20 00:00:04,0.585,
2025-08-21 00:00:05,0.57,
2025-08-22 00:00:05,0.585,
2025-08-23 00:00:04,0.325,
2025-08-24 00:00:08,0.29,
2025-08-25 00:00:12,0.315,
2025-08-26 00:00:09,0.175,
2025-08-27 00:00:13,0.3,
2025-08-28 00:00:10,0.33,
2025-08-29 00:00:05,0.315,
2025-08-30 00:00:02,0.325,
2025-08-31 00:00:18,0.335,
2025-09-01 00:00:11,0.305,
2025-09-02 00:00:11,0.345,0.655
2025-09-03 00:00:11,0.46,
2025-09-04 00:00:06,0.445,
2025-09-05 00:00:13,0.445,
2025-09-06 00:00:17,0.42,
2025-09-07 00:00:07,0.54,
2025-09-08 00:00:21,0.53,
2025-09-09 00:00:14,0.6,
2025-09-10 00:00:07,0.485,
2025-09-11 00:00:06,0.555,
2025-09-12 00:00:14,0.575,
2025-09-13 00:00:03,0.575,
2025-09-14 00:00:09,0.635,
2025-09-15 00:00:03,0.585,
2025-09-16 00:00:17,0.685,
2025-09-17 00:00:06,0.655,0.345
2025-09-18 00:00:10,0.55,
2025-09-19 00:00:07,0.68,0.32
2025-09-20 00:00:05,0.91,
2025-09-21 00:00:08,0.89,
2025-09-22 00:00:14,0.875,
2025-09-23 00:00:08,0.885,
2025-09-24 00:00:07,0.87,
2025-09-25 00:00:06,0.855,0.145
2025-09-26 00:00:05,0.795,
2025-09-27 00:00:10,0.815,
2025-09-28 00:00:16,0.835,
2025-09-29 00:00:04,0.845,
2025-09-30 00:00:12,0.82,
2025-10-01 00:00:09,0.795,
2025-10-02 00:00:03,0.87,
2025-10-03 00:00:09,0.855,
2025-10-04 00:00:03,0.87,
2025-10-05 00:00:06,0.835,
2025-10-06 00:00:04,0.875,
2025-10-07 00:00:09,0.84,
2025-10-08 00:00:14,0.8,
2025-10-09 00:00:10,0.79,
2025-10-10 00:00:11,0.73,
2025-10-11 00:00:16,0.595,
2025-10-12 00:00:05,0.635,
2025-10-13 00:00:11,0.585,
2025-10-14 00:00:12,0.725,
2025-10-15 00:00:17,0.775,0.225
2025-10-16 00:00:08,0.745,
2025-10-17 00:00:07,0.765,
2025-10-18 00:00:17,0.875,
2025-10-19 00:00:08,0.835,0.165
2025-10-20 00:00:09,0.78,
2025-10-21 00:00:18,0.8,
2025-10-22 00:00:16,0.725,
2025-10-23 00:00:09,0.765,
2025-10-23 11:52:04,0.75,
