timestamp,yes,no
2025-02-20 00:00:04,0.405,0.595
2025-02-21 00:00:05,0.09,0.91
2025-02-22 00:00:05,0.095,0.905
2025-02-23 00:00:04,0.1,0.9
2025-02-24 00:00:04,0.105,0.895
2025-02-25 00:00:04,0.105,0.895
2025-02-26 00:00:05,0.105,0.895
2025-02-27 00:00:05,0.115,0.885
2025-02-28 00:00:05,0.115,0.885
2025-03-01 00:00:05,0.115,0.885
2025-03-02 00:00:05,0.115,0.885
2025-03-03 00:00:05,0.125,0.875
2025-03-04 00:00:05,0.19,0.81
2025-03-05 00:00:04,0.175,0.825
2025-03-06 00:00:05,0.17,0.83
2025-03-07 00:00:05,0.16,0.84
2025-03-08 00:00:05,0.17,0.83
2025-03-09 00:00:05,0.17,0.83
2025-03-10 00:00:04,0.17,0.83
2025-03-11 00:00:05,0.17,0.83
2025-03-12 00:00:05,0.175,0.825
2025-03-13 00:00:06,0.19,0.81
2025-03-14 00:00:05,0.395,0.605
2025-03-15 00:00:04,0.405,0.595
2025-03-16 00:00:04,0.25,0.75
2025-03-17 00:00:04,0.255,0.745
2025-03-18 00:00:05,0.25,0.75
2025-03-19 00:00:05,0.25,0.75
2025-03-20 00:00:05,0.25,0.75
2025-03-21 00:00:05,0.26,0.74
2025-03-22 00:00:06,0.28,0.72
2025-03-23 00:00:06,0.28,0.72
2025-03-24 00:00:05,0.275,0.725
2025-03-25 00:00:06,0.28,0.72
2025-03-26 00:00:05,0.285,0.715
2025-03-27 00:00:06,0.295,0.705
2025-03-28 00:00:06,0.295,0.705
2025-03-29 00:00:06,0.295,0.705
2025-03-30 00:00:06,0.4,0.6
2025-03-31 00:00:05,0.45,0.55
2025-04-01 00:00:05,0.61,0.39
2025-04-02 00:00:06,0.465,0.535
2025-04-03 00:00:05,0.38,0.62
2025-04-04 00:00:05,0.355,0.645
2025-04-05 00:00:05,0.045,0.955
2025-04-06 00:00:05,0.0845,0.9155
2025-04-07 00:00:06,0.104,0.896
2025-04-08 00:00:06,0.095,0.905
2025-04-09 00:00:06,0.087,0.913
2025-04-10 00:00:05,0.082,0.918
2025-04-11 00:00:05,0.0815,0.9185
2025-04-12 00:00:06,0.0805,0.9195
2025-04-13 00:00:05,0.082,0.918
2025-04-14 00:00:05,0.0915,0.9085
2025-04-15 00:00:05,0.091,0.909
2025-04-16 00:00:05,0.091,0.909
2025-04-17 00:00:06,0.087,0.913
2025-04-18 00:00:04,0.085,0.915
2025-04-19 00:00:06,0.082,0.918
2025-04-20 00:00:06,0.09,0.91
2025-04-21 00:00:06,0.301,0.699
2025-04-22 00:00:06,0.1285,0.8715
2025-04-23 00:00:07,0.204,0.796
2025-04-24 00:00:06,0.158,0.842
2025-04-25 00:00:06,0.1575,0.8425
2025-04-26 00:00:06,0.1635,0.8365
2025-04-27 00:00:05,0.1465,0.8535
2025-04-28 00:00:05,0.1615,0.8385
2025-04-29 00:00:05,0.14,0.86
2025-04-30 00:00:06,0.1615,0.8385
2025-05-01 00:00:06,0.121,0.879
2025-05-02 00:00:06,0.117,0.883
2025-05-03 00:00:06,0.106,0.894
2025-05-04 00:00:05,0.1055,0.8945
2025-05-05 00:00:05,0.105,0.895
2025-05-06 00:00:06,0.0925,0.9075
2025-05-07 00:00:05,0.0925,0.9075
2025-05-08 00:00:06,0.039,0.961
2025-05-09 00:00:07,0.045,0.955
2025-05-10 00:00:06,0.047,0.953
2025-05-11 00:00:06,0.043,0.957
2025-05-12 00:00:06,0.0435,0.9565
2025-05-13 00:00:06,0.081,0.919
2025-05-14 00:00:07,0.0795,0.9205
2025-05-15 00:00:07,0.077,0.923
2025-05-16 00:00:06,0.0885,0.9115
2025-05-17 00:00:07,0.0855,0.9145
2025-05-18 00:00:06,0.0765,0.9235
2025-05-19 00:00:06,0.0795,0.9205
2025-05-20 00:00:06,0.0795,0.9205
2025-05-21 00:00:06,0.0835,0.9165
2025-05-22 00:00:07,0.0745,0.9255
2025-05-23 00:00:07,0.0755,0.9245
2025-05-24 00:00:07,0.0775,0.9225
2025-05-25 00:00:06,0.0755,0.9245
2025-05-26 00:00:07,0.0805,0.9195
2025-05-27 00:00:06,0.0755,0.9245
2025-05-28 00:00:06,0.0765,0.9235
2025-05-29 00:00:07,0.073,0.927
2025-05-30 00:00:07,0.0745,0.9255
2025-05-31 00:00:07,0.077,0.923
2025-06-01 00:00:07,0.11,0.89
2025-06-02 00:00:06,0.1175,0.8825
2025-06-03 00:00:07,0.14,0.86
2025-06-04 00:00:06,0.0975,0.9025
2025-06-05 00:00:06,0.0985,0.9015
2025-06-06 00:00:06,0.076,0.924
2025-06-07 00:00:07,0.075,0.925
2025-06-08 00:00:07,0.0665,0.9335
2025-06-09 00:00:07,0.0635,0.9365
2025-06-10 00:00:06,0.0625,0.9375
2025-06-11 00:00:07,0.0635,0.9365
2025-06-12 00:00:07,0.0695,0.9305
2025-06-13 00:00:07,0.0755,0.9245
2025-06-14 00:00:08,0.075,0.925
2025-06-15 00:00:08,0.074,0.926
2025-06-16 00:00:07,0.072,0.928
2025-06-17 00:00:08,0.0705,0.9295
2025-06-18 00:00:08,0.0715,0.9285
2025-06-19 00:00:07,0.0715,0.9285
2025-06-20 00:00:08,0.063,0.937
2025-06-21 00:00:08,0.0585,0.9415
2025-06-22 00:00:06,0.0395,0.9605
2025-06-23 00:00:07,0.042,0.958
2025-06-24 00:00:07,0.051,0.949
2025-06-25 00:00:07,0.056,0.944
2025-06-26 00:00:08,0.059,0.941
2025-06-27 00:00:07,0.0595,0.9405
2025-06-28 00:00:07,0.047,0.953
2025-06-29 00:00:08,0.045,0.955
2025-06-30 00:00:07,0.047,0.953
2025-07-01 00:00:08,0.045,0.955
2025-07-02 00:00:07,0.046,0.954
2025-07-03 00:00:08,0.0555,0.9445
2025-07-04 00:00:08,0.0565,0.9435
2025-07-05 00:00:08,0.053,0.947
2025-07-06 00:00:07,0.049,0.951
2025-07-07 00:00:07,0.0455,0.9545
2025-07-08 00:00:08,0.0455,0.9545
2025-07-09 00:00:07,0.0495,0.9505
2025-07-10 00:00:08,0.032,0.968
2025-07-11 00:00:08,0.0175,0.9825
2025-07-12 00:00:09,0.0215,0.9785
2025-07-13 00:00:08,0.0235,0.9765
2025-07-14 00:00:07,0.028,0.972
2025-07-15 00:00:08,0.0295,0.9705
2025-07-16 00:00:08,0.0295,0.9705
2025-07-17 00:00:08,0.033,0.967
2025-07-18 00:00:08,0.032,0.968
2025-07-19 00:00:09,0.0325,0.9675
2025-07-20 00:00:08,0.033,0.967
2025-07-21 00:00:07,0.033,0.967
2025-07-22 00:00:09,0.034,0.966
2025-07-23 00:00:09,0.0355,0.9645
2025-07-24 00:00:09,0.0335,0.9665
2025-07-25 00:00:09,0.035,0.965
2025-07-26 00:00:09,0.0375,0.9625
2025-07-27 00:00:10,0.0345,0.9655
2025-07-28 00:00:09,0.038,0.962
2025-07-29 00:00:10,0.038,0.962
2025-07-30 00:00:10,0.037,0.963
2025-07-31 00:00:08,0.0375,0.9625
2025-08-01 00:00:09,0.0375,0.9625
2025-08-02 00:00:09,0.0385,0.9615
2025-08-03 00:00:08,0.0395,0.9605
2025-08-04 00:00:07,0.0395,0.9605
2025-08-05 00:00:08,0.0385,0.9615
2025-08-06 00:00:09,0.037,0.963
2025-08-07 00:00:11,0.0365,
2025-08-08 00:00:04,0.0375,
2025-08-09 00:00:15,0.037,
2025-08-10 00:00:03,0.037,
2025-08-11 00:00:12,0.037,
2025-08-12 00:00:06,0.039,
2025-08-13 00:00:08,0.0345,0.9655
2025-08-14 00:00:07,0.0375,
2025-08-15 00:00:14,0.038,
2025-08-16 00:00:07,0.0385,
2025-08-17 00:00:07,0.0435,
2025-08-18 00:00:09,0.0425,
2025-08-19 00:00:04,0.0425,
2025-08-20 00:00:07,0.038,
2025-08-21 00:00:05,0.039,
2025-08-22 00:00:08,0.04,
