timestamp,yes,no
2025-04-23 00:00:07,0.095,0.905
2025-04-24 00:00:06,0.085,0.915
2025-04-25 00:00:06,0.09,0.91
2025-04-26 00:00:06,0.09,0.91
2025-04-27 00:00:05,0.08,0.92
2025-04-28 00:00:05,0.08,0.92
2025-04-29 00:00:05,0.08,0.92
2025-04-30 00:00:06,0.08,0.92
2025-05-01 00:00:06,0.08,0.92
2025-05-02 00:00:06,0.08,0.92
2025-05-03 00:00:06,0.08,0.92
2025-05-04 00:00:05,0.08,0.92
2025-05-05 00:00:05,0.08,0.92
2025-05-06 00:00:06,0.08,0.92
2025-05-07 00:00:05,0.08,0.92
2025-05-08 00:00:06,0.07,0.93
2025-05-09 00:00:07,0.07,0.93
2025-05-10 00:00:06,0.07,0.93
2025-05-11 00:00:06,0.07,0.93
2025-05-12 00:00:06,0.07,0.93
2025-05-13 00:00:06,0.07,0.93
2025-05-14 00:00:07,0.07,0.93
2025-05-15 00:00:07,0.07,0.93
2025-05-16 00:00:06,0.07,0.93
2025-05-17 00:00:07,0.07,0.93
2025-05-18 00:00:06,0.065,0.935
2025-05-19 00:00:06,0.06,0.94
2025-05-20 00:00:06,0.055,0.945
2025-05-21 00:00:06,0.045,0.955
2025-05-22 00:00:07,0.045,0.955
2025-05-23 00:00:07,0.045,0.955
2025-05-24 00:00:07,0.0355,0.9645
2025-05-25 00:00:06,0.04,0.96
2025-05-26 00:00:07,0.039,0.961
2025-05-27 00:00:06,0.0455,0.9545
2025-05-28 00:00:06,0.0515,0.9485
2025-05-29 00:00:07,0.0625,0.9375
2025-05-30 00:00:07,0.084,0.916
2025-05-31 00:00:07,0.101,0.899
2025-06-01 00:00:07,0.095,0.905
2025-06-02 00:00:06,0.0985,0.9015
2025-06-03 00:00:07,0.1215,0.8785
2025-06-04 00:00:06,0.1245,0.8755
2025-06-05 00:00:06,0.115,0.885
2025-06-06 00:00:06,0.1345,0.8655
2025-06-07 00:00:07,0.161,0.839
2025-06-08 00:00:07,0.186,0.814
2025-06-09 00:00:07,0.184,0.816
2025-06-10 00:00:06,0.2325,0.7675
2025-06-11 00:00:07,0.2315,0.7685
2025-06-12 00:00:07,0.2985,0.7015
2025-06-13 00:00:07,0.337,0.663
2025-06-14 00:00:08,0.312,0.688
2025-06-15 00:00:08,0.3115,0.6885
2025-06-16 00:00:07,0.2895,0.7105
2025-06-17 00:00:08,0.224,0.776
2025-06-18 00:00:08,0.1295,0.8705
2025-06-19 00:00:07,0.1305,0.8695
2025-06-20 00:00:08,0.1395,0.8605
2025-06-21 00:00:08,0.1575,0.8425
2025-06-22 00:00:06,0.1865,0.8135
2025-06-23 00:00:07,0.1955,0.8045
2025-06-24 00:00:07,0.3685,0.6315
2025-06-25 00:00:07,0.378,0.622
2025-06-26 00:00:08,0.7265,0.2735
2025-06-27 00:00:07,0.7405,0.2595
2025-06-28 00:00:07,0.6915,0.3085
2025-06-29 00:00:08,0.6965,0.3035
2025-06-30 00:00:07,0.6835,0.3165
2025-07-01 00:00:08,0.7025,0.2975
2025-07-02 00:00:07,0.7145,0.2855
2025-07-03 00:00:08,0.722,0.278
2025-07-04 00:00:08,0.7025,0.2975
2025-07-05 00:00:08,0.697,0.303
2025-07-06 00:00:07,0.695,0.305
2025-07-07 00:00:07,0.693,0.307
2025-07-08 00:00:08,0.681,0.319
2025-07-09 00:00:07,0.6885,0.3115
2025-07-10 00:00:08,0.7285,0.2715
2025-07-11 00:00:08,0.735,0.265
2025-07-12 00:00:09,0.729,0.271
2025-07-13 00:00:08,0.7395,0.2605
2025-07-14 00:00:07,0.7315,0.2685
2025-07-15 00:00:08,0.7355,0.2645
2025-07-16 00:00:08,0.722,0.278
2025-07-17 00:00:08,0.71,0.29
2025-07-18 00:00:08,0.7125,0.2875
2025-07-19 00:00:09,0.7085,0.2915
2025-07-20 00:00:08,0.708,0.292
2025-07-21 00:00:07,0.711,0.289
2025-07-22 00:00:09,0.714,0.286
2025-07-23 00:00:09,0.7165,0.2835
2025-07-24 00:00:09,0.7175,0.2825
2025-07-25 00:00:09,0.722,0.278
2025-07-26 00:00:09,0.7275,0.2725
2025-07-27 00:00:10,0.7335,0.2665
2025-07-28 00:00:09,0.732,0.268
2025-07-29 00:00:10,0.73,0.27
2025-07-30 00:00:10,0.763,0.237
2025-07-31 00:00:08,0.796,0.204
2025-08-01 00:00:09,0.803,0.197
2025-08-02 00:00:09,0.8185,0.1815
2025-08-03 00:00:08,0.8165,0.1835
2025-08-04 00:00:07,0.818,0.182
2025-08-05 00:00:08,0.807,0.193
2025-08-06 00:00:09,0.8175,0.1825
2025-08-07 00:00:09,0.8,
2025-08-08 00:00:09,0.8045,
2025-08-09 00:00:08,0.81,
2025-08-10 00:00:09,0.811,0.189
2025-08-11 00:00:07,0.8035,
2025-08-12 00:00:03,0.806,
2025-08-13 00:00:05,0.82,
