timestamp,yes,no
2024-11-07 00:00:03,0.13,0.87
2024-11-08 00:00:02,0.0195,0.9805
2024-11-09 00:00:03,0.0035,0.9965
2024-11-10 00:00:02,0.007,0.993
2024-11-11 00:00:02,0.0035,0.9965
2024-11-12 00:00:02,0.006,0.994
2024-11-13 00:00:03,0.006,0.994
2024-11-14 00:00:03,0.0065,0.9935
2024-11-15 00:00:03,0.014,0.986
2024-11-16 00:00:03,0.0035,0.9965
2024-11-17 00:00:03,0.002,0.998
2024-11-18 00:00:03,0.017,0.983
2024-11-19 00:00:03,0.028,0.972
2024-11-20 00:00:03,0.064,0.936
2024-11-21 00:00:03,0.101,0.899
2024-11-22 00:00:03,0.1115,0.8885
2024-11-23 00:00:04,0.0005,0.9995
