timestamp,yes,no
2024-11-07 00:00:03,0.08,0.92
2024-11-08 00:00:02,0.165,0.835
2024-11-09 00:00:03,0.04,0.96
2024-11-10 00:00:02,0.0075,0.9925
2024-11-11 00:00:02,0.006,0.994
2024-11-12 00:00:02,0.004,0.996
2024-11-13 00:00:03,0.022,0.978
2024-11-14 00:00:03,0.0055,0.9945
2024-11-15 00:00:03,0.005,0.995
2024-11-16 00:00:03,0.006,0.994
2024-11-17 00:00:03,0.0005,0.9995
2024-11-18 00:00:03,0.0005,0.9995
2024-11-19 00:00:03,0.0015,0.9985
2024-11-20 00:00:03,0.0005,0.9995
2024-11-21 00:00:03,0.0005,0.9995
2024-11-22 00:00:03,0.0005,0.9995
2024-11-23 00:00:04,0.0005,0.9995
