timestamp,yes,no
2024-11-07 00:00:03,0.215,0.785
2024-11-08 00:00:02,0.095,0.905
2024-11-09 00:00:03,0.221,0.779
2024-11-10 00:00:02,0.1655,0.8345
2024-11-11 00:00:02,0.103,0.897
2024-11-12 00:00:02,0.145,0.855
2024-11-13 00:00:03,0.0055,0.9945
2024-11-14 00:00:03,0.002,0.998
2024-11-15 00:00:03,0.0025,0.9975
2024-11-16 00:00:03,0.0025,0.9975
2024-11-17 00:00:03,0.0015,0.9985
2024-11-18 00:00:03,0.0015,0.9985
2024-11-19 00:00:03,0.0045,0.9955
2024-11-20 00:00:03,0.003,0.997
2024-11-21 00:00:03,0.0015,0.9985
2024-11-22 00:00:03,0.0015,0.9985
2024-11-23 00:00:04,0.0005,0.9995
