timestamp,yes,no
2024-11-07 00:00:03,0.11,0.89
2024-11-08 00:00:02,0.025,0.975
2024-11-09 00:00:03,0.0145,0.9855
2024-11-10 00:00:02,0.0055,0.9945
2024-11-11 00:00:02,0.0035,0.9965
2024-11-12 00:00:02,0.0045,0.9955
2024-11-13 00:00:03,0.0035,0.9965
2024-11-14 00:00:03,0.009,0.991
2024-11-15 00:00:03,0.0035,0.9965
2024-11-16 00:00:03,0.0265,0.9735
2024-11-17 00:00:03,0.0145,0.9855
2024-11-18 00:00:03,0.0055,0.9945
2024-11-19 00:00:03,0.0065,0.9935
2024-11-20 00:00:03,0.0045,0.9955
2024-11-21 00:00:03,0.004,0.996
2024-11-22 00:00:03,0.0045,0.9955
2024-11-23 00:00:04,0.0005,0.9995
